序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002569,*ST步森,1988952.17,134.018097734816,116851274.72,-7.2905248597,85195915.97,13382675.62,13122428.47,131307.3,112376138.52,1919382.25,1914033.34,2024-09-07
2,300277,海联讯,1860083.01,188.493191901706,38112779.08,146.7949182155,28605613.14,2730223.35,5922216.13,-1515814.43,41488875.73,911214.91,899433.74,2024-08-02
3,000903,ST云动,134107866.1,6.309387773528,1928299111.9,8.7005605795,1610132164.0,61944922.74,69088905.02,31184018.46,1792716753.86,156818149.46,156800612.75,2024-04-26
4,002396,星网锐捷,-7172195.86,0.32,1282863597.56,-1.7778056065,915463942.25,250895456.07,52646776.33,6856103.38,1468175537.91,-70633811.19,-70896289.76,2022-09-24
5,300716,ST泉为,8580001.31,-58.73,366749249.43,51.93,317370367.1,6256533.1,16068141.38,5616542.25,356117504.61,7677611.62,7696546.48,2022-08-29
6,002036,联创电子,40516299.9,82.450097587181,1045284919.98,15.4910386335,897087661.26,7472250.48,31973645.45,46170841.61,1026509405.31,39782949.94,40208462.4,2022-07-18
7,600740,山西焦化,472714796.34,37.618999394225,1441699566.79,-19.9907027392,1477580345.54,11490370.72,59299922.15,43314669.35,1606381865.57,473215864.48,473085235.06,2022-07-14
8,301386,未来电器,8720800.0,-15.962726335367,52578400.0,-29.5569643996,,,,,,,,2022-05-31
9,002255,海陆重工,65136635.36,112.23,395665107.86,-13.8834929326,290735949.48,6731217.05,28185096.19,2132519.15,338258462.38,92071943.5,91751914.83,2022-05-31
10,002586,ST围海,29407325.13,-21.564348630291,718978935.01,4.3163989558,616815168.28,5656630.42,31262798.82,20827869.9,689714103.56,44589944.72,44341113.07,2022-04-30
11,300061,旗天科技,57023796.75,121.029292688184,299112959.04,-26.7322362636,142659634.89,64685319.57,37621441.35,3084427.04,259913378.34,68524931.98,68495018.31,2022-04-27
12,002832,比音勒芬,129882308.85,52.905003283326,471790070.31,27.3711780469,167330415.69,112972428.19,27080932.89,-1218374.15,323481623.95,150903521.36,150324479.88,2022-03-10
13,600872,中炬高新,189361136.86,11.533888393318,1231103067.39,6.7183964067,746308786.98,124845926.2,65686296.01,17227082.41,1007305540.27,250186972.37,249432584.45,2021-12-04
14,000972,*ST中基,-8966936.17,10.162160458427,91484302.22,93.2977372499,87733345.57,174983.01,8424348.49,3938508.46,100687118.35,-9175350.13,-9037033.48,2021-10-29
15,002842,翔鹭钨业,23829425.59,12.437870333144,424442976.7,25.1642832139,361361877.33,2414506.47,10072488.47,7928369.92,395669994.72,29581152.35,29811253.85,2021-09-23
16,300175,ST朗源,8010239.13,275.358499185869,126562196.67,101.6225446714,85846710.79,4743619.44,12370250.18,3345903.05,111676085.57,15143757.95,15066030.72,2021-08-14
17,300703,创源股份,8927070.16,406.329411616838,170030587.16,18.8337361961,108194782.21,13476272.53,20352576.76,8404466.49,163875176.18,8677155.87,11026928.75,2021-07-29
18,600996,贵广网络,55680115.99,0.953421691684,638415690.68,10.4412535371,426904811.85,17185794.72,62721130.92,38312277.94,578669336.09,54698342.05,54488326.27,2021-07-05
19,301189,奥尼电子,11434900.0,,105020400.0,,,,,,,13409500.0,,2021-07-02
20,300376,易事特,88628801.98,4.39,780959188.64,-24.66,536922148.5,51127006.84,14783604.38,41561710.13,670470946.87,95298374.8,94822818.64,2021-06-26
21,002217,合力泰,233503688.81,-19.75,3278949465.59,-10.2594947513,2678012981.81,39730069.1,133001030.52,131537597.83,3093264053.69,231743109.53,239531296.74,2021-06-25
22,603863,松炀资源,17552210.25,-0.381994209378,137337157.53,20.8583959056,106583414.25,1138414.25,3165207.69,2622148.72,118163954.77,20174853.7,20174853.7,2021-06-22
