序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,002842,翔鹭钨业,51035003.9,173.4884337755,-34796737.1,-68.1820994237,-210932271.27,-413.3090137179,296764012.27,581.4911131417,2022-12-03
2,002396,星网锐捷,-1248573200.62,-13.9689857346,-702174949.6,-56.2381884579,-330016522.12,-26.4314917184,-211085549.11,-16.9061412663,2022-09-24
3,002217,合力泰,-1852072421.55,-1491.5916864258,145144671.22,7.8368788138,-1380171084.09,-74.5203625966,-603717056.31,-32.5968385083,2021-06-25
4,688283,坤恒顺维,-12985776.19,-54.7078125933,-12570365.03,-96.8010294193,-415411.16,-3.1989705807,,,2021-05-27
5,301172,君逸数码,23764945.83,143.4314104896,-4569373.72,-19.2273685481,55762.55,0.2346420244,28278557.0,118.9927265237,2021-05-27
6,688292,浩瀚深度,-19282287.01,82.7592102595,1378192.99,7.1474560527,-2891498.71,-14.9956211548,-17768981.29,-92.1518348979,2021-04-26
7,603042,华脉科技,105937833.65,591.4847249685,-165868407.0,-156.5714544891,-845862.73,-0.7984519797,272731183.38,257.4445540212,2021-04-13
8,002323,雅博股份,-67479838.51,-74.5953570404,-318624138.4,-472.1767944847,-2281571.04,-3.3811151455,253425870.93,375.5579096302,2020-12-12
9,300311,ST任子行,-68064841.1,-12.6658280741,-35399649.9,-52.0087159948,-193325155.61,-284.0308630501,160659964.41,236.0395790449,2020-10-13
10,688716,中研股份,76576895.23,2745.7791587844,-1561175.89,-2.0387035611,-63299.0,-0.0826607031,78201370.12,102.1213642641,2020-09-07
11,301178,天亿马,-37117800.23,-1274.2296386684,-27817426.05,-74.9436277948,-563303.21,-1.5176093586,-8714774.58,-23.478693581,2020-08-31
12,300100,双林股份,-9301748.9,84.6666786544,103031207.76,1107.6541505007,-371609286.07,-3995.0474912304,259816012.78,2793.1952966393,2020-07-31
13,001317,三羊马,43360808.4,238.5417779754,13289390.17,30.6483911633,-4679870.98,-10.7928591571,34751289.21,80.1444679938,2020-03-31
