序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,600169,ST太重,-123211548.73,-583.092956060824,8266653650.16,-13.4509902631,7023058071.07,340102935.57,563340606.54,430343314.67,8500259370.43,-233605720.27,-135010343.58,2025-11-01
2,300237,ST美晨,79135452.48,146.383281394835,1125104754.11,85.7790881638,769248691.63,82126364.18,121332445.68,20561879.89,1026689205.13,102660960.22,103880083.25,2025-10-31
3,600624,ST复华,5520918.75,228.758039788047,1007897795.98,5.9100406088,792483755.39,45016709.58,107323610.69,14186908.62,966073601.58,41401588.79,18758357.42,2024-04-30
4,600287,苏豪时尚,-11915328.06,-104.368904501125,4669106062.09,0.8886977372,4243186974.65,240055656.54,114732290.26,51123084.35,4667901360.17,53245012.76,56587187.69,2024-04-30
5,002412,汉森制药,111800116.5,0.872910818201,737424613.87,26.070115632,212040628.87,308985682.64,74913286.35,-1094625.71,607478398.97,129946214.9,132396006.0,2022-11-19
6,000070,特发信息,55588453.43,-9.561556598712,1913254930.98,21.7121787578,1554480591.85,97625067.58,152791799.11,8287513.87,1834748218.54,81776067.2,85846391.09,2022-07-26
7,000839,国安股份,155512440.59,44.99,2841783717.38,29.4715734202,2236492372.09,196779083.36,254229753.64,554170669.66,3329424815.28,123349854.14,213981308.44,2021-08-31
8,002052,同洲电子,-390457613.15,-1243.14176675394,1601835867.88,-18.1101963387,1342924843.38,229590351.58,265208508.95,96988971.18,1986048042.96,-387304139.52,-374738693.04,2021-06-30
9,600965,福成股份,131853259.88,-21.308562562746,1223754790.96,7.1658542157,711956074.88,247085123.51,54070473.74,12531168.14,1061641801.66,163947783.81,167726489.5,2021-06-16
10,601101,昊华能源,182826791.09,-65.264066839718,6859845790.15,-5.6951232719,5647218032.08,179948102.65,536812229.4,92429641.94,6685575166.65,183653868.9,180378715.78,2021-04-27
11,300152,ST新动力,42584434.08,-8.837976207978,842523041.37,47.6455536687,618710889.54,43830772.02,93265470.75,8195713.42,806235571.38,36287469.99,59905981.52,2021-04-20
12,600984,建设机械,-127843502.42,-28.033598679613,283204434.6,-37.3959798517,240384541.36,47009971.34,58376203.87,12008854.58,430306012.32,-147101577.72,-145596669.25,2020-07-16
13,000010,美丽生态,-74553205.01,-2474.22615130894,230299675.35,-36.4487926316,189319056.58,11782057.84,61787560.84,-8434709.43,279364994.79,-51507526.74,-75510672.7,2020-05-29
14,002267,陕天然气,512330157.93,51.698423015093,5322458852.92,31.1568779414,4355376192.0,13533301.18,110691194.55,215613849.64,4729087191.29,606563759.41,608731785.3,2020-04-28
15,300189,神农种业,-90004908.49,-334.282162636137,301602338.43,-33.6212472457,243716419.8,65864269.04,72218388.99,-6085741.81,416916535.17,-115793628.65,-116793498.21,2020-01-07
16,600830,香溢融通,99920873.81,-38.843347081862,1195650528.36,1.2734129915,867596135.91,20746182.12,108709929.42,-8393767.76,1054650259.23,144185046.43,151085071.62,2019-08-30
17,688981,中芯国际,152969000.0,-11.668986066279,1969966000.0,-4.7849068423,1486514000.0,38252000.0,139428000.0,,1853927000.0,130245000.0,138050000.0,2019-04-25
18,001235,里得电科,1748624.83,40.110996364778,45193286.67,33.9308097934,31662324.69,2241773.39,6751852.5,1187725.99,43263741.46,1929545.21,2091910.72,2019-03-27
19,600391,航发科技,28837781.13,-7.290731825847,1963057692.16,8.1547057231,1560190985.14,41408672.32,214014058.35,82907932.87,1925678933.92,37378758.24,45587089.92,2019-03-26
20,300824,北鼎股份,12042896.98,315.768972933378,368341634.01,2.947959891,300700285.33,25179525.6,30364638.33,-421286.86,358270881.24,9161536.4,13927538.07,2019-03-05
21,300838,浙江力诺,26937577.3,-17.513605192661,225145780.63,-3.9699081956,138182740.88,23244103.67,22775113.42,4734558.48,196802779.84,28343000.79,31262776.92,2018-12-25
22,000519,中兵红箭,395900040.14,3.938233753908,2035733241.45,-2.1418089516,1297956040.99,46394668.6,180310088.02,21340549.4,1579480465.81,465782883.42,476407481.31,2018-12-07
23,002982,湘佳股份,61131076.45,1399.39452066824,844730808.43,37.3973755973,663733426.97,92064808.65,23918958.45,5877157.49,787381546.55,57413088.26,61655999.16,2018-12-05
24,300839,博汇股份,27525958.44,580.793188442385,247135019.77,108.819762786,187077390.9,2609373.79,16201654.8,2283470.86,216573194.7,30561825.07,32450534.67,2018-11-19
25,301258,富士莱,5782840.31,-85.348946798959,144463938.17,-13.4497871116,113531816.97,3193036.55,22017962.53,2871975.36,142442435.34,2021502.83,6364151.33,2018-11-05
26,600869,远东股份,182714079.89,-39.677319931676,11351763974.94,-1.9231940506,9477752542.13,970372335.87,352174216.74,236247776.62,11213036993.08,149173498.92,239197153.48,2018-10-17
27,601609,金田股份,145150871.45,54.277764019829,27519933638.33,13.1898925429,26854399764.33,138327811.56,376989681.72,85613923.15,27492169964.39,111991271.08,181370154.73,2018-09-20
28,000793,*ST华闻,976672345.34,85.723088208629,3949716867.54,5.3381988611,2164265838.3,535719255.5,352986729.39,31950292.54,3146668133.13,1240489153.94,1263152410.74,2018-09-01
29,300825,阿尔特,-22436749.7,555.829762027656,313340745.6,19.7108011378,210238200.12,13701601.43,114183390.35,9771275.72,359646040.98,-47943221.24,-20065503.86,2018-08-31
30,000911,广农糖业,-286667055.7,-680.635687269298,2692885366.76,-38.7842101533,2462865339.91,84440766.03,287898221.13,181295934.01,3032462259.15,-339576892.39,-306809171.01,2018-07-27
31,002967,广电计量,25157228.92,188.576641241103,280193480.59,37.2087136732,134567562.98,59189010.17,55517686.82,7106068.82,259852919.48,20340561.11,28885584.96,2018-07-18
32,601916,浙商银行,5095503000.0,3.963357095304,17279885000.0,28.6424557174,,,4895514000.0,,10573130000.0,6706755000.0,6792233000.0,2018-06-08
33,601963,重庆银行,2827143000.0,21.374843250621,7469182000.0,28.2905091707,,,2303562000.0,,3684368000.0,3784814000.0,3790304000.0,2018-06-05
34,000886,海南高速,39739022.21,-69.903937704102,299652739.11,-39.5791685862,178477356.53,17532862.48,87565614.1,-6532970.7,299713907.08,44502757.26,51834543.37,2018-05-31
35,300269,联建光电,128486414.11,723.595226445107,963282873.42,65.6565001084,644269934.45,77835870.2,83580356.64,-5283551.75,812706584.57,150916503.99,156871245.59,2018-05-15
36,600506,统一股份,-15079347.84,-414.705630967939,111809729.71,-2.8652842523,104863540.4,3485396.67,14447694.2,-1063811.62,131064832.12,-19103625.75,-17755439.13,2018-05-10
37,603045,福达合金,45978230.31,264.463699259702,969151559.76,-12.6838593289,826530969.8,5905340.58,67905167.36,18108879.32,923220349.87,46245526.08,51606184.07,2018-05-04
38,601077,渝农商行,6828456000.0,13.977654660754,19710028000.0,21.5933655892,,,7076847000.0,,10698050000.0,9011978000.0,9109830000.0,2018-05-03
39,600029,南方航空,1773000000.0,-6.437994722955,108313000000.0,10.3770508509,95151000000.0,7947000000.0,2582000000.0,2251000000.0,108324000000.0,405000000.0,3095000000.0,2018-05-02
40,300169,天晟新材,20221200.33,125.09134706561,761055517.03,25.6153482889,565571332.77,41048548.38,122853168.59,35171232.87,770645888.87,-8299267.77,29502525.33,2018-04-28
41,301231,荣信文化,13658293.38,5.4555986346,127162995.15,9.9859467374,85135573.28,15362933.25,9514573.07,710734.22,114542460.15,12655183.76,16395415.38,2018-04-26
42,300941,创识科技,23555810.51,49.737727296298,132516293.21,-17.5364598612,84474075.0,2319555.23,17885051.37,87740.9,108152885.17,24363408.04,26836510.18,2018-04-26
43,002323,雅博股份,105895241.1,-57.372428704259,495607351.86,24.8479947938,303593439.5,2160147.41,35402887.02,-116081.22,353464896.19,142142455.67,142245875.81,2018-04-26
44,002715,登云股份,14520022.57,-43.834563067281,296066770.1,-2.4256518956,212560869.52,17984746.6,33443320.52,15138362.48,282274147.54,13983286.19,18094411.1,2018-04-25
45,688390,固德威,2058670.75,125.084357478991,103561360.45,63.9825468429,61722763.05,19580463.87,15846849.45,3260781.6,101828773.11,1732587.34,2533799.31,2018-04-24
46,688257,新锐股份,20764354.36,-20.579891106355,310721274.55,-14.4392402899,218502942.15,13841655.79,49293271.09,3585798.77,288990025.5,21801219.36,24207635.68,2018-04-24
47,301418,协昌科技,2911752.73,9185.67582885779,142850037.87,113.1495210469,122107120.79,2728058.98,12282974.71,1076406.17,140106538.16,2743499.71,4064585.21,2018-04-24
48,688096,京源环保,1559670.91,74.540250703876,39555674.79,56.2719096551,27764253.62,2269837.3,6162268.25,721692.28,37781975.89,1773698.9,2088738.34,2018-04-23
49,300899,*ST凯鑫,13736870.09,13.460883693442,63974660.02,40.6641014983,39314797.09,1706898.9,7888958.23,-5764.03,49503666.58,14640500.31,15497344.81,2018-04-23
50,000012,南玻A,787933030.0,-48.699930081893,7044502645.0,-8.912744257,5323219390.0,265720355.0,597772089.0,231531434.0,6476677653.0,810544641.0,897862489.0,2018-04-23
51,601728,中国电信,17694079275.57,0.698369070439,326826662392.58,-0.6987611582,208779496064.54,59601342834.31,21993179759.96,5291256862.75,303138439008.24,23741079294.85,23271363046.25,2018-04-20
52,003816,中国广核,5559794442.98,31.1256801349,20778512041.9,19.6438556672,10403945261.49,4048561.5,1656703956.73,2623047092.55,15037184176.96,5915193262.91,7529300727.85,2018-04-19
53,605305,中际联合,30385726.98,43.623398854852,119680036.58,47.3632862455,52620013.63,12267773.72,17157279.22,241265.41,85576883.83,34103152.75,35022299.4,2018-04-18
54,601868,中国能建,2267961000.0,61.445230963402,183823961000.0,19.64951207,160187406000.0,1571500000.0,10647031000.0,2906191000.0,179463821000.0,5317408000.0,5896287000.0,2018-04-18
55,300922,天秦装备,18747937.6,82.002787100239,105763804.6,7.4619206753,72731874.49,757435.7,15496783.46,1001532.58,90370131.06,17410373.68,21562679.58,2018-04-18
56,300235,方直科技,21714901.45,-3.437742257889,82827812.22,10.3060997465,21566659.94,19842376.58,28406036.22,-3013132.64,69673259.12,17578659.23,24957559.53,2018-04-18
57,600956,新天绿能,335157354.51,-27.062917710873,5169928212.02,10.4356561823,3853538839.28,388088.95,251276506.37,451527165.9,4580033784.37,666396475.64,674611121.74,2018-04-17
58,301246,宏源药业,66100471.26,142.404514145063,1030600974.86,8.7738213428,827557514.91,49657467.2,45788421.38,37202736.22,966195998.67,65219181.28,76867418.77,2018-04-17
59,605289,罗曼股份,3710356.07,252.152146871413,107310319.96,58.441945517,71100144.27,2801690.49,16809081.56,439290.78,100865138.05,6838475.33,7229312.53,2018-04-16
60,600883,博闻科技,-48530004.91,-822.320625355542,14844251.44,-57.4860520075,16666562.56,668723.88,10974609.77,-1644915.48,28390880.4,-35472556.72,-34720262.32,2018-04-13
61,001289,龙源电力,2401863835.64,25.644674786042,18197528345.55,-2.5475009084,11644517722.49,5097183.08,266023449.34,2903879465.33,14974225413.63,3681563386.47,3968619228.47,2018-04-12
62,002952,亚世光电,31007385.69,79.774881176468,311789493.4,75.5875359594,244902911.44,7655734.31,23086055.72,234363.01,278142869.24,33945129.16,36430087.31,2018-04-09
63,603348,文灿股份,78842131.67,16.333954546937,975799984.36,2.5229338241,728633829.32,45089154.49,75494416.9,31264963.21,894198474.21,89186948.62,93289633.12,2018-04-04
64,605088,冠盛股份,40541557.44,-6.767073679331,958937482.28,12.8370331863,740891426.85,66232045.11,69185007.9,13834060.25,906958580.26,49938949.1,52963560.77,2018-03-30
65,300795,米奥会展,20153791.5,-31.637272055034,209377825.26,-16.0738901138,138203039.11,33896894.32,12194451.96,-2003287.73,182954054.64,26980238.87,28410129.35,2018-03-27
66,688388,嘉元科技,10798870.9,633.323000780733,316264128.65,24.0271738267,274830321.5,5154900.36,22200014.99,7786946.2,311514510.27,4749618.38,11132147.12,2018-03-26
67,301276,嘉曼服饰,45802995.93,,323002055.7,,144501000.26,97414884.41,32550610.54,8394500.73,290665262.52,45002033.57,60863125.74,2018-03-23
68,300782,卓胜微,-165811.82,,43700784.57,,15614152.35,4312066.13,22047835.15,577130.32,42246157.61,1454626.96,1904181.91,2018-03-23
69,300504,天邑股份,39633561.07,20.835406723358,556438923.11,49.7285384391,415603456.56,39299308.34,42238984.54,4031052.47,510419421.67,46019501.44,46972373.18,2018-03-20
70,688168,安博通,4416858.24,,47120732.27,,11401902.09,6406664.38,20776189.63,11220.88,39768816.09,7351916.18,10906187.19,2018-03-19
71,300776,帝尔激光,879631.27,879.356945284549,9228733.97,-9.1611262921,4334518.03,1321599.55,4031199.29,-74782.2,9649110.94,-277815.31,999103.93,2018-03-09
72,002941,新疆交建,81565100.0,82.058331481729,3007733400.0,-30.0828919048,2647121400.0,6352400.0,96683900.0,44929900.0,2898391500.0,111661000.0,113292700.0,2018-03-09
73,601615,明阳智能,296571678.75,1537.60991098062,5331660711.57,48.9570320518,4149776142.83,461553547.28,368498566.08,118315737.75,5205076344.42,273171639.98,322650570.58,2018-03-02
74,300345,华民股份,11308949.86,-49.100738703728,213217432.36,11.5286463051,148009914.39,14981305.53,32274034.91,5472772.87,203233209.32,11856849.39,13863186.8,2018-02-27
75,301263,泰恩康,40458077.69,-15.825727502076,303516165.07,8.3430482973,190771436.11,32467346.41,19980118.31,1444432.53,248234669.13,55281495.94,55281495.94,2018-02-26
76,603259,药明康德,461500977.1,,4139780779.66,,2617192682.88,132151812.37,694915707.59,14557345.7,3473193292.06,861963820.16,968691358.13,2018-02-06
77,603680,今创集团,518082487.84,100.787062452864,2020055812.6,46.4467308365,1256387845.78,92967609.35,195964200.63,33756624.32,1605573446.36,587341336.57,592056592.17,2018-01-31
78,603712,七一二,187053333.38,-12.139719539227,1378631711.21,6.7918139595,797210790.31,28484265.98,313607543.12,38169340.07,1185573728.33,198965957.15,208983332.9,2018-01-30
79,603156,养元饮品,1830536444.1,15.702559393847,8261753751.99,11.1732722003,5036334056.18,857191664.98,53909370.18,-8856393.14,6006297421.49,2387765284.8,2441816367.2,2018-01-30
80,601066,中信建投,3407125500.0,90.665706824984,8587480000.0,51.9996833927,,,3708113600.0,,4083424800.0,4504055200.0,4543348700.0,2018-01-30
81,600901,江苏金租,605996186.27,20.608052039259,1055778799.51,11.4992018534,,,68088767.25,,320416493.0,735362306.51,808156969.53,2018-01-30
82,301335,天元宠物,30411160.84,,489621189.55,,368361919.09,49711978.03,26825968.12,1756610.81,455801579.97,40730503.85,40704351.72,2018-01-30
83,002927,泰永长征,55558027.03,,253916939.03,,109079547.65,50553214.05,29693380.3,193896.96,195500133.2,58802973.12,63204627.23,2018-01-30
84,603700,宁水集团,85863756.11,90.407205008701,798449123.31,16.7847490764,597642271.59,39861467.23,57765062.81,6607557.67,707564905.3,92164173.04,100002396.09,2018-01-26
85,603876,鼎胜新材,75374689.31,,6690214156.25,,6023395513.75,173456654.38,111008491.68,251032144.68,6589225347.4,97908768.95,110380304.66,2018-01-23
86,603267,鸿远电子,108443612.42,,445631716.78,,226531791.5,43945574.18,35436640.54,12347533.76,327983246.71,117597202.64,127001042.16,2018-01-23
87,603220,中贝通信,49854288.87,,569114482.78,,409086568.53,21673931.37,47150379.45,3574592.6,509992037.68,59291311.46,59093791.58,2018-01-23
88,603150,万朗磁塑,30603829.54,,477676781.34,,343756052.9,23578071.51,52297221.91,20486453.04,448845933.49,32471905.59,38595947.83,2018-01-23
89,603516,淳中科技,44560646.42,13.215494650643,149571539.31,37.0836772456,61469427.51,17864021.59,22053925.3,1068246.4,104087308.17,46164170.87,51555440.23,2018-01-22
90,300749,顶固集创,4266108.89,-38.377718508748,475403619.27,22.1535028924,297853940.45,81840039.47,74898105.57,11244376.95,472660206.08,2743413.19,7347616.39,2018-01-22
91,300739,明阳电路,45165849.42,,562633198.78,,396219968.78,25252520.73,77786795.04,5182049.54,511717359.39,50915839.39,54659992.0,2018-01-22
92,603706,东方环宇,87253961.62,,331468433.35,,184813969.97,34400334.99,13812531.7,6341636.88,236588902.98,95408914.64,126822137.69,2018-01-19
93,603693,江苏新能,193120747.79,1269.85188783847,854551563.97,20.185671173,663799235.4,,58668304.42,75565916.69,800702384.04,167931525.39,211847075.82,2018-01-19
94,603214,爱婴室,44207973.39,0.849357849996,1224292444.22,22.2795001965,924163347.62,195794024.94,36987837.01,3006898.4,1168817925.97,56455010.56,63426708.06,2018-01-19
95,601456,国联民生,714955000.0,165.031965650116,1668332000.0,66.6703316769,,,612762000.0,,707906000.0,960426000.0,963125000.0,2018-01-19
96,688699,明微电子,29168496.75,,239460646.01,,176609052.05,6561602.65,38318682.8,-696244.62,224338585.63,17818900.14,28718295.53,2018-01-17
97,603279,景津装备,162362787.02,43.369597421488,2034565214.28,-1.5762781545,1311042639.8,310581794.74,95983035.1,43244839.57,1812113571.41,222451642.87,218903018.15,2018-01-17
98,301076,新瀚新材,19703481.73,186.861204376051,140858533.65,41.7997110391,95419705.77,2608479.72,15995027.05,2483839.18,118032935.43,22825598.22,23084118.64,2018-01-17
99,300807,天迈科技,24332913.62,27.540531019964,155240988.24,36.9419355437,80370211.07,11720320.17,34883146.97,1868564.47,131489017.18,26333787.02,28540296.83,2018-01-17
100,300634,彩讯股份,87891600.0,-34.149044170809,349311900.0,6.7345593079,108052900.0,21892700.0,131342100.0,-3184800.0,271794300.0,82808600.0,93054700.0,2018-01-17
101,603087,甘李药业,305217068.07,49.085384267918,926600711.84,33.7778034848,82447950.31,341691145.83,148102396.33,925389.46,590167729.57,347253704.76,355218823.15,2018-01-16
102,601528,瑞丰银行,748314000.0,-21.965294098682,2342650000.0,9.4145828181,,,669500000.0,,1336031000.0,1006618000.0,1020887000.0,2018-01-16
103,301219,腾远钴业,26530637.66,,705514200.49,,622379758.59,4229251.05,32907136.57,16958380.74,677456914.15,27853935.68,31279384.01,2018-01-16
104,002930,宏川智慧,64167421.44,37.556414746258,287261996.84,19.1699143193,124369628.21,5064545.51,32301075.03,62469998.7,225245697.66,62016299.18,85937406.51,2018-01-16
105,002926,华西证券,691276329.52,5.668533555845,3168013932.48,61.1301397265,,,1086807271.82,,2001360985.8,1166652946.68,1056889142.44,2018-01-16
106,603773,沃格光电,74699487.7,61.403706147587,257383590.3,55.6981108331,125247091.66,19982214.16,29190363.35,6816336.53,183843885.2,73535744.7,86983097.94,2018-01-12
107,601860,紫金银行,748611000.0,29.648917414541,2486356000.0,15.4071557973,,,921509000.0,,1567991000.0,918365000.0,985437000.0,2018-01-12
108,000922,佳电股份,-34291862.56,-410.103263787897,2052091269.56,-23.2545317987,1683957399.46,244093958.7,136853097.01,2087553.97,2111575869.91,-59522739.33,-30989927.89,2018-01-11
109,300745,欣锐科技,12188402.49,,104830649.94,,65149372.31,6260734.27,17982752.96,564287.62,93123356.18,11923753.63,14976316.87,2018-01-10
110,002966,苏州银行,1759953000.0,10.11901931389,5808672000.0,28.8108681797,,,2100719000.0,,3486289000.0,2322383000.0,2389430000.0,2018-01-10
111,002958,青农商行,1731247000.0,4.916557482556,5598583000.0,12.3326071332,,,2292547000.0,,3352371000.0,2246212000.0,2314491000.0,2018-01-10
112,603596,伯特利,63905522.73,99.815616922385,800020514.19,80.9181080248,627910486.35,29219265.52,68314982.44,1846749.21,740465881.0,61023257.7,67154446.12,2018-01-09
113,601330,绿色动力,45969956.61,-69.536395496088,405825517.33,-58.4078563185,153578479.19,,89097172.59,104449288.77,355032833.37,50792683.96,66784683.37,2018-01-09
114,002948,青岛银行,1495352000.0,30.951367616125,4339888000.0,23.1157136016,,,1728814000.0,,2417888000.0,1922000000.0,1958521000.0,2018-01-09
115,603895,天永智能,47371818.93,-5.129051352261,238561177.8,11.937972711,157141052.39,6717894.23,22647665.35,-838948.15,187908020.52,51999843.85,55648527.85,2018-01-08
116,300738,奥飞数据,3996652.75,1305.29281705808,70757717.18,92.4787730643,56275550.7,1821263.2,7130493.19,8879.14,65792699.99,4965017.19,5133327.87,2018-01-08
117,300737,科顺股份,78559778.65,98.721567459148,1059222936.54,27.4646660965,684076208.42,135534478.56,103269424.4,19873160.7,960673246.59,99067571.36,99200449.64,2018-01-08
118,603301,振德医疗,21774560.15,,986914990.61,,768366478.88,45045444.01,101900414.77,44172671.3,967925624.29,16322993.48,24297719.98,2018-01-05
119,600968,海油发展,2132010800.0,10.65611425134,34565672200.0,0.8452396817,29152265200.0,301886300.0,1616103600.0,105600200.0,32028815600.0,2656203000.0,2814333800.0,2018-01-05
120,300786,国林科技,18901759.79,16.155623208657,141578634.32,22.7417989272,83938275.09,10386787.53,20385399.7,1328666.04,120826558.13,20752076.19,21925309.33,2018-01-05
