序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002396,星网锐捷,269598682.51,53.07,4606350893.59,38.0695893336,2878064502.3,698763720.73,143479369.43,7056252.07,4338698452.61,459029022.37,461133899.68,2022-09-24
2,002217,合力泰,907784390.92,57.000294824384,10352464499.12,34.3027880956,8517543650.77,99162413.13,268632088.47,116489964.99,9474595644.78,898665650.46,1024525414.18,2021-06-25
3,603042,华脉科技,60779086.21,-3.578566114701,807695255.32,6.1433719567,565549577.02,82766782.78,36220272.35,2592406.18,741405639.02,72149809.89,73032972.53,2021-04-13
4,002323,雅博股份,180303969.8,71.588721590513,969340213.71,73.1391700076,638958096.47,28646602.31,41411230.37,21468082.99,760392839.18,219132374.53,219717980.52,2020-12-12
5,688579,地纬智能,30377099.34,,163303812.44,,74588607.96,11228981.53,18339460.76,-1389488.42,139031788.08,32687749.9,33392066.35,2019-12-05
6,300363,博腾股份,70997199.72,-41.429867067983,829643802.55,-9.2424976364,500052490.86,12401964.83,120483697.38,53351864.52,748711151.06,84369772.88,84296003.38,2019-10-30
7,000893,亚钾国际,-35659761.19,-298.419911330968,1107346006.7,-33.0647847856,1069279702.96,5906628.89,50518818.83,-2084740.62,1146264300.63,-37029289.26,-37856926.41,2019-09-05
8,300461,田中精机,23152965.9,575.015822647248,367219646.31,387.7022976274,212658717.28,17718426.33,52433512.07,8651005.29,321531165.35,46080081.03,52327735.9,2019-08-30
9,600671,天目药业,8538979.98,1738.61146118782,84494770.25,8.7553839247,50758140.49,15170002.4,21059608.94,5762845.18,96594142.69,-12195709.03,8813205.83,2019-08-28
10,002742,*ST三圣,134638157.35,75.460809785825,1283340394.81,20.5914547257,988201293.38,25127812.72,116971806.82,39590104.94,1189757558.08,160687242.3,164431893.95,2019-08-28
11,300324,旋极信息,285073585.41,42.007054955062,1992373974.06,74.1641014869,1076336124.92,175324485.44,247608273.8,-14225953.84,1585774836.21,431505994.79,443774620.92,2019-08-27
12,300723,一品红,110094769.81,20.83710773924,1037853478.97,16.7147233668,458561554.12,340302098.43,48033657.49,11806119.8,913467245.25,124386233.72,134645002.34,2019-08-12
13,300442,润泽科技,1124126.0,-53.949309632711,486461259.9,30.5172049029,356129750.27,37522426.75,48874524.2,3772710.55,485090725.37,2648773.92,2580903.73,2019-06-25
14,300270,中威电子,35173134.71,7.845499894146,241456306.1,17.7385894412,130372833.35,28733462.66,53666931.2,-254139.47,217030198.97,42487050.38,41002414.56,2019-06-25
15,300183,东软载波,185657396.07,-21.805237827306,610412348.26,-11.0713981605,261169204.04,58950642.08,60619289.81,-20691239.68,480386008.22,171814702.23,182405519.66,2019-05-30
16,300786,国林科技,32616931.75,,147574370.83,,82018226.81,9997454.27,8463538.56,1625469.41,115577693.89,31996676.94,37122332.64,2019-05-06
17,002809,红墙股份,56321243.02,13.885291213806,430206901.08,40.1805876543,313779883.9,27321676.38,26678809.8,-11385898.75,369977401.68,62246438.09,66652705.77,2019-04-30
18,300077,国民技术,51264921.73,7.481542479825,538546111.49,29.8682252264,393280825.05,42713509.63,29795084.63,-4711983.68,540506096.96,39904819.87,52120482.89,2019-04-26
19,002200,*ST交投,-61415147.31,-278.446385772526,489666338.07,-26.0218101473,375900358.74,34474631.84,54516091.13,62136927.88,550181201.39,-60459508.4,-64150511.95,2019-04-25
20,002775,文科股份,173068217.47,70.403250230734,1930401691.18,90.4088248638,1589709062.37,,100520446.26,16295901.84,1724111662.17,206351649.42,207085398.89,2019-04-23
21,300313,*ST天山,3749995.37,106.485779835524,139147734.31,-58.3048774791,89397214.86,7114352.78,28305606.35,9708888.52,136096322.33,6295117.15,6355302.09,2019-04-22
