序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002726,龙大美食,-665931633.77,-1415.64,10106114731.27,-11.7523027186,10064387401.76,115782339.5,201268291.87,71268090.85,10476597720.39,-719779670.9,-717463679.41,2026-01-31
2,300087,荃银高科,10636882.47,-71.88,1553898833.47,1.1676875584,1203535931.62,171790282.25,123500899.98,14861021.36,1570192767.37,10467317.31,9088481.23,2026-01-30
3,300831,派瑞股份,2007439.07,-95.66,70188546.94,-48.560850206,46385725.46,2957718.89,17584553.12,-5990768.79,70722703.15,3433711.67,3413295.63,2025-12-26
4,688270,臻镭科技,40304703.05,-44.07,170478629.98,17.4340886912,17412819.24,11867647.16,26384550.46,-31217726.35,114364193.93,42789765.99,40304703.05,2025-12-25
5,300581,晨曦航空,-32631026.89,-1041.76,97050663.14,-16.9901567961,61477794.07,2177298.82,22525056.07,-1631605.04,108428894.28,-36526065.01,-36566166.35,2025-12-12
6,603402,陕西旅游,391738200.0,,927924500.0,,,,,,,,570208100.0,2025-10-31
7,002160,常铝股份,-24439221.33,70.41,5014843600.24,-0.5864474916,4485227254.56,113308873.81,121534362.33,75505233.54,5039844428.25,-8452178.91,-9621315.82,2025-08-30
8,603398,*ST沐邦,15988537.87,51.37,1016479848.93,41.6536460305,810647972.52,17404443.06,98636763.66,21726715.82,986636205.84,24572115.66,24061888.67,2025-08-28
9,002360,同德化工,150123214.98,4.37,731940826.66,-9.8709402205,420296655.23,8848482.34,77625103.62,25414407.19,562980703.44,188059330.32,190287018.47,2025-08-26
10,002878,元隆雅图,40736126.38,-76.97,2000257884.11,-20.4066271949,1682707586.09,111755922.0,62224497.35,8559785.66,1956308205.04,50563043.99,49641749.65,2025-08-23
11,603613,国联股份,1005413786.73,47.24,37264231544.02,47.6136565902,35306603573.2,187920151.54,68394289.61,3420412.5,35750731233.77,1624120257.01,1629486858.39,2025-07-26
12,600423,柳化股份,11156439.83,45.64,87957262.05,-11.8839154442,79952299.07,445719.67,6482123.04,-10306031.78,76734554.53,11156439.83,11156439.83,2025-07-26
13,300460,ST惠伦,-26306899.5,-360.36,313146458.07,-8.1627408745,257016541.78,19233800.03,41485569.76,16708489.8,361270966.96,-31089535.27,-30668346.38,2025-07-15
14,688573,信宇人,-2108605.77,95.22,377671426.75,32.2137325533,283252081.35,25252271.16,25826392.02,1384467.37,384905865.84,-8093195.17,-7706605.78,2025-07-08
15,603887,城地香江,-5915326.32,-301.39,1312462885.23,-21.5337211347,998008077.62,64661496.03,111211916.17,103818321.34,1348621558.66,776765.64,-1005480.16,2025-06-30
16,300551,古鳌科技,-48732818.93,-78.11,432943951.71,26.3252908483,81168882.06,292725026.93,50752651.5,-2692558.21,464363839.22,-48279883.8,-47957967.54,2025-06-30
17,688246,嘉和美康,18032060.98,1121.77,537712968.92,18.095165083,270088648.91,78620326.18,74493841.39,-2495914.87,551668953.3,-19149698.8,-19188968.02,2025-05-01
18,603322,超讯通信,-30209196.3,-137.7,1365079892.08,13.0210101401,1244010220.6,15836741.56,57448247.84,23424427.24,1394337136.09,-69151812.23,-69041583.61,2025-05-01
19,600525,ST长园,100482817.83,-70.84,5863974662.23,10.5385183751,3759640725.96,536670104.29,705576755.65,197777596.3,5847106673.95,138876506.33,137914831.78,2025-05-01
20,600507,方大特钢,586746417.37,-49.97,19690325079.75,-19.0155125544,18477000926.36,26286376.19,391991870.8,-40146024.91,18981620213.89,794684476.52,777675264.16,2025-05-01
21,688189,南新制药,650517.07,-95.52,562058852.86,2.665056612,51271168.0,341793551.23,39315430.43,3750801.06,508120982.75,-4929907.45,-1900148.51,2025-04-30
22,603922,金鸿顺,-48884718.94,-768.6,290644941.7,-19.2238614854,261969873.4,5950151.45,42838447.29,-3452959.38,335355374.9,-57555541.75,-55135618.2,2025-04-30
23,603387,基蛋生物,229070125.42,-51.8,1000961989.28,-27.317357133,336473326.91,244038062.35,75043791.69,-45344014.17,779963522.08,249620446.82,249393861.89,2025-04-30
