序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,000713,国投丰乐,-25857950.62,61.554888066607,652083767.98,-25.6117540764,565374666.12,76159209.76,76396091.01,10365929.37,731773930.02,-67237562.8,-22478298.96,2017-10-21
2,002490,山东墨龙,10074624.78,-75.146726959247,1946166844.9,16.0442762856,1673630872.22,138847773.17,84072600.37,38244177.48,1939670701.5,9122639.56,12938861.97,2017-09-30
3,000767,晋控电力,319140437.29,40.570736800372,8600519074.04,30.9714833639,7039027789.86,1422776.7,88340616.73,809001176.64,7996713610.23,578144775.81,606527324.29,2016-10-20
4,002041,登海种业,160553338.2,18.92387107633,634601776.57,-0.5724122329,288722136.8,95368425.67,112923366.92,-8848360.25,492028772.6,184892664.2,184331153.2,2016-07-23
5,002366,融发核电,84696144.15,-1.929205622922,292607366.84,-6.2288623198,137679172.68,3879807.46,21790347.58,26331406.76,195102539.72,97504827.12,99644846.33,2016-05-11
6,600802,福建水泥,-14150109.89,87.88186566092,1424366006.58,27.8928197166,1189292310.32,41901098.5,129315143.55,75517150.03,1450158696.73,7517465.73,22637918.23,2016-04-30
7,600123,兰花科创,17573535.1,-97.88016614703,3839229326.29,-21.4069759722,2664528717.28,126560640.97,743644458.1,118092542.91,3969727786.76,33162401.59,28336521.48,2016-04-26
8,688472,阿特斯,114825309.31,,7603584004.21,,6889970809.22,246709720.57,258473855.13,140651317.11,7542703162.55,62162980.81,123471218.64,2016-04-19
9,601728,中国电信,16181521778.85,9.733524346621,246981073437.88,1.0642953869,149559135880.67,47953546952.76,15906256410.73,3995741648.18,224555542183.63,22384021243.13,21431171124.57,2016-03-22
10,600764,中国海防,4618231.07,-54.69089640314,572950904.63,14.801808888,489787714.26,11375125.02,46928517.36,30446020.59,583505378.41,19051075.45,19759615.88,2016-03-17
11,601528,瑞丰银行,702003437.76,,1610706769.45,,,,389885147.99,,703871548.37,906835221.08,909284575.66,2016-03-08
12,300399,天利科技,31849299.61,37.04813340154,109185676.16,-23.6456633722,45016192.81,7753087.23,19269321.67,-552023.34,76779555.12,38115956.74,38229294.14,2016-03-08
13,601916,浙商银行,4445467000.0,,12483821000.0,,,,3551501000.0,,6540606000.0,5943215000.0,5927431000.0,2016-02-19
14,600490,鹏欣资源,53005476.62,11.687856914217,1888702061.86,27.3080732793,1541895957.89,48473262.54,96240759.78,32182263.63,1738498680.7,152216972.77,151727211.9,2016-02-04
15,300500,启迪设计,32658100.0,,221901100.0,,,,,,,41717700.0,41650200.0,2016-01-21
16,601900,南方传媒,287776375.91,,3389621083.64,,2399124460.61,341977075.98,332581465.49,-2460177.95,3121095137.79,292315678.61,348451290.52,2016-01-20
17,300499,高澜股份,18209352.05,,174062224.52,,97388960.18,17227059.32,33661612.56,1128041.37,155050278.89,19011945.63,23050900.68,2016-01-20
18,002639,雪人集团,1196166.79,-96.931439654881,271513224.97,2.1590985454,201047835.19,22666344.43,41687959.51,3695570.65,268931620.53,2676356.75,4443517.22,2016-01-19
19,002404,嘉欣丝绸,71375350.29,2.993464726393,1482023640.72,8.9784924072,1165997569.76,93752940.76,117080220.55,2774114.26,1393855042.5,87829671.7,102546071.71,2016-01-16
20,603722,阿科力,18311200.0,176.338092230971,180674800.0,51.0820354287,,,,,,20289100.0,21570500.0,2016-01-08
21,001979,招商蛇口,1719094322.4,,25164608685.73,,16640576880.53,563898929.45,634085939.23,572067470.42,20843344980.23,5060852816.48,5122789370.1,2015-12-28
22,603508,思维列控,141239192.08,,400756467.46,,,,,,,141538440.56,162509958.78,2015-12-23
23,601868,中国能建,2309444325.74,,124570950383.21,,109030993987.79,1058116538.77,6689747451.5,2083161676.62,121191559604.73,4025013843.59,4531364634.17,2015-12-18
24,603778,国晟科技,23814851.62,,363053088.19,,296380006.89,,24611443.77,5070797.03,337760913.8,28472195.34,28941918.73,2015-12-16
25,300494,盛天网络,83639779.34,,167613166.39,,31633953.41,15264209.39,26969669.39,-1915473.08,74327853.15,93285313.24,94706033.97,2015-12-16
