序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002726,龙大美食,-636114865.23,-1825.61,6726422093.49,-1.3028928389,6791252996.63,79532772.76,133840139.68,41980818.69,7062708975.66,-684595613.33,-681566865.05,2026-01-31
2,300087,荃银高科,39420033.93,29.34,1079920148.65,11.8626674514,812497733.78,103712222.83,74554349.46,7593630.47,1033946295.99,65287954.41,63791139.81,2026-01-30
3,605008,长鸿高科,83149262.81,-37.61,676330061.49,-52.4927824449,590002499.4,9629152.23,15051781.85,25442297.34,669157354.01,93982296.55,93994586.91,2026-01-17
4,688270,臻镭科技,33894400.6,-33.47,111220581.86,10.2676324731,11170847.99,7872880.03,17597978.16,-20019268.11,69306291.62,33874441.21,33894400.6,2025-12-25
5,000505,京粮控股,72895958.08,0.92,4664563481.33,-15.3863856989,4472985579.57,78437823.61,92898582.21,17265048.5,4683398507.74,113233146.8,116608667.72,2025-10-18
6,603167,渤海轮渡,62295267.83,-20.23,732281258.91,24.0217588288,607022249.33,16200624.18,33666218.37,14895036.19,674329002.83,127274237.39,127350971.04,2025-08-30
7,603398,*ST沐邦,11482340.18,31.8,640405527.71,65.9165415009,508546741.26,12459013.74,71357137.78,12714376.59,627926890.89,13190553.36,13057028.7,2025-08-28
8,002360,同德化工,88602623.56,3.1,482775907.5,5.2360418018,280887620.99,5579994.17,49165707.6,17248316.85,372249730.57,115440553.96,117331487.49,2025-08-26
9,002878,元隆雅图,8515860.64,-95.12,1174141082.73,-39.6491099824,980760765.04,76988636.28,40498420.37,4457602.01,1161780348.59,14024716.57,13706743.65,2025-08-23
10,603093,南华期货,168353399.71,123.62,3145282203.41,-7.7952258976,,,311139925.79,,2949944181.32,195338022.09,193493137.15,2025-08-19
11,000903,ST云动,-176355563.68,40.19,3061132544.76,1.2952882182,2883242985.66,57732845.41,103313465.61,74416799.71,3244688890.45,-174385911.86,-173939016.1,2025-08-13
12,603613,国联股份,643217463.26,50.5,23632969337.44,48.0545440684,22462078598.72,119379837.87,52532216.65,-6506754.98,22726775224.75,1016900140.05,1028143686.46,2025-07-26
13,600423,柳化股份,2232306.66,-78.98,54032353.26,-14.9519022813,53464295.99,274446.75,4704782.47,-6847023.61,51733778.91,2232306.66,2232306.66,2025-07-26
14,300460,ST惠伦,-33445651.68,-636.54,181064044.8,-24.2503976697,160882425.98,13698584.67,30188001.4,10076614.18,232540488.78,-33740716.05,-33445633.09,2025-07-15
15,688573,信宇人,-1855739.05,94.85,273779868.06,80.03,218499541.36,17646107.06,15150680.41,1303019.04,283869381.65,-3693850.94,-3398211.64,2025-07-08
