序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,300237,ST美晨,640306061.16,1067.7752048458,-226705651.66,-35.4058262777,-381706505.34,-59.6131332333,1248576000.82,194.9967486733,2025-10-31
2,600360,*ST华微,181590681.38,1985.3389113867,236854045.78,130.4329296966,-60961113.58,-33.5706177854,5116485.41,2.8175924949,2025-04-30
3,300437,清水源,78574007.02,226.3320599574,28317952.09,36.0398472268,-92128378.56,-117.2504522221,142409666.67,181.2427188978,2025-02-28
4,603559,ST通脉,10735029.74,31.8901391185,33510686.71,312.1620295576,-2570252.7,-23.9426695803,-20205404.27,-188.2193599773,2024-08-07
5,600287,苏豪时尚,86280354.8,180.7818485008,397538584.67,460.7521440906,509001543.82,589.9390944785,-829126473.99,-960.967854052,2024-04-30
6,300266,兴源环境,52702608.92,246.2664789437,-40911495.4,-77.6270781245,-105449589.91,-200.0841933083,197933472.88,375.5667450552,2024-01-13
7,300201,海伦哲,16066973.3,153.4635845868,89405632.69,556.4559735093,-60078996.25,-373.9285248579,-13259159.84,-82.5243161386,2023-10-24
8,300159,*ST新研,547309903.07,926.5676019585,496671706.1,90.7478018055,-927803962.73,-169.5207701388,978442159.7,178.7729683332,2023-07-14
9,600748,上实发展,-193817980.29,85.4647402683,-1350128387.85,-696.5960463678,-474873377.46,-245.0099710819,1630652770.68,841.332041661,2023-05-13
10,002412,汉森制药,-73570553.07,-56.6101882016,63574403.72,86.412839196,-110716155.13,-150.4897686778,-26428801.66,-35.9230705182,2022-11-19
11,002470,金正大,160658883.63,-81.7120423347,2254532713.3,1403.3041076597,-998449833.52,-621.4719105228,-1096392329.38,-682.4349233653,2022-06-21
12,300182,捷成股份,383837466.17,257.928957055,126417465.64,32.9351553149,-608419897.73,-158.5097733686,865839898.26,225.5746180537,2022-03-01
13,000821,ST京机,178622273.39,207.4370072989,154612403.11,86.5582999117,-129249582.41,-72.3591632538,154748863.75,86.6346961177,2022-01-29
14,300001,特锐德,652392708.56,7518.2788383295,319001514.08,48.8971611568,-272506162.0,-41.7702648151,608690467.65,93.3012370714,2021-12-17
15,600712,南宁百货,18720605.07,107.8274976243,91024890.39,486.2283566671,-86447822.23,-461.7789964948,14143536.91,75.5506398277,2021-12-04
16,000839,国安股份,199900567.26,574.8545418958,-14276116.47,-7.1416087836,2745398650.79,1373.3821211319,-2532152603.38,-1266.7060619626,2021-08-31
17,002247,聚力文化,31715218.41,133.2135927104,134286340.07,423.4129443285,-77095845.41,-243.0878589999,-25475276.25,-80.3250853286,2021-08-28
18,600965,福成股份,4208508.8,-98.1351086624,258105639.0,6132.9475894169,-213433090.79,-5071.465949887,-39483820.07,-938.1902699122,2021-06-16
19,002642,荣联科技,865514000.9,3331.5580247915,30579614.55,3.5331161042,-512263690.89,-59.1860663556,1345772345.02,155.4882236013,2021-05-13
20,300152,ST新动力,-100843777.59,-23.3075049166,-120802809.0,-119.7920306904,-254716636.65,-252.5853778362,274675669.36,272.3774098158,2021-04-20
21,300094,国联水产,-26538547.27,-652.4903280483,17640707.67,66.4720170646,32649208.11,123.0256041442,-92721194.01,-349.3830806437,2021-02-03
22,300507,苏奥传感,47401947.66,251.9731176474,74652867.85,157.4890305889,-20556468.57,-43.3662952363,-6700000.0,-14.1344403147,2020-12-11
23,301418,协昌科技,12329093.72,524.7874290834,-16235264.36,-131.6825447897,-4786295.43,-38.821145647,33350653.51,270.5036904367,2020-11-16
24,001259,利仁科技,16134888.0,129.1443316382,-7198176.81,-44.6124993864,-3087885.73,-19.1379433808,26422055.54,163.7572912809,2020-10-23
25,300311,ST任子行,85222351.46,225.2641856338,75167993.08,88.2022049289,-192204865.88,-225.5333989115,202259224.26,237.3311939825,2020-10-13
26,000995,皇台酒业,-438749.27,98.5772946927,-98599180.05,-22472.7849803602,22163078.39,5051.4222827083,75997352.39,17321.3626976519,2020-10-10
27,000010,美丽生态,719630310.55,1159.0550684207,-388026037.33,-53.9201909149,-604620008.51,-84.0181409324,1712276356.39,237.9383318473,2020-05-29
28,002426,胜利精密,-121400912.69,-112.9200664985,-391496322.2,-322.4821902284,-2094810023.36,-1725.5307039653,2350779928.42,1936.3774755325,2020-04-29
29,002267,陕天然气,-231015470.54,-161.9246162146,1355544770.83,586.7766204841,-383794713.18,-166.1337711638,-1202757716.24,-520.6394677502,2020-04-28
30,600918,中泰证券,17771586303.56,-18.3877085117,3800139220.15,21.38323026,-13069175891.97,-73.539726104,26994025259.66,151.8942923753,2020-03-27
31,002815,崇达技术,19405905.37,-70.2128181678,454630607.13,2342.7436054224,-426959121.45,-2200.1504867175,-11923811.78,-61.4442436601,2020-03-19
32,688095,福昕软件,40075968.27,259.9217232346,-508798.41,-1.2695848209,55181648.39,137.6926142326,-15761946.1,-39.3301691273,2020-03-06
33,000892,欢瑞世纪,56496867.99,2163.8184625576,47181118.86,83.5110343964,10710035.81,18.9568664442,97189.3,0.1720259962,2020-02-19
34,300189,神农种业,-55455296.65,34.3002802083,47994890.53,86.5469908725,-811608045.67,-1463.5356669217,708154988.28,1276.9835003308,2020-01-07
35,688579,地纬智能,40354996.91,-27.8634706771,3757579.04,9.3113104392,-28827582.13,-71.4349754364,65425000.0,162.1236649972,2019-12-12
36,002175,东方智造,-10972031.11,-112.6376976704,-10338624.98,-94.2270840863,-370883655.44,-3380.2643441466,370236195.76,3374.3633430146,2019-12-06
37,688556,高测股份,3705548.64,253.7746906291,-1796125.39,-48.4712404153,-4397506.83,-118.6735692127,9899180.86,267.144809628,2019-11-29
38,605589,圣泉集团,11308459.05,692.1709439305,273168385.41,2415.6110412762,-520425307.75,-4602.0886263014,255623273.35,2260.4607066247,2019-11-14
39,688096,京源环保,16939613.34,28990.1201926792,-5604768.44,-33.0867554501,-728429.45,-4.3001539373,23272811.23,137.3869093874,2019-11-13
40,300337,银邦股份,-5980200.04,66.1313286409,-285369315.82,-4771.9025101374,184564362.66,3086.2573396458,94823479.61,1585.6238750502,2019-11-11
41,300846,首都在线,2414647.72,-95.5728986205,52855703.56,2188.9612767199,-57843278.61,-2395.5162540232,7275006.56,301.2864568087,2019-11-06
42,688518,联赢激光,89820340.26,350.193575813,31968039.09,35.5910910574,6662867.58,7.4179941433,50855036.47,56.6186192602,2019-11-01
43,300317,珈伟新能,-73865083.61,-49.2277516936,143022025.03,193.6260246927,-370826680.54,-502.0324386254,153590407.76,207.9337086667,2019-10-29
44,300838,浙江力诺,-1851979.14,41.2372339586,-3078754.54,-166.2413184632,-14834502.86,-801.0080966679,15717269.06,848.67419511,2019-09-20
45,605305,中际联合,50469689.11,238.4843134924,371594.81,0.7362732296,-70836706.03,-140.3549482455,120843844.16,239.4384556176,2019-08-07
46,301257,普蕊斯,4204870.07,89.505691061,7883759.57,187.4911576043,-3725278.93,-88.5943886014,,,2019-08-01
47,300614,百川畅银,-14594900.07,-166.7571346308,53999234.71,369.9870122509,-119008491.81,-815.4114878431,50414357.03,345.4244755922,2019-06-28
48,003017,大洋生物,-6945035.59,-345.649969096,48950962.13,704.8338557182,-37656710.86,-542.2104807385,-18314746.28,-263.7098981375,2019-06-21
49,688257,新锐股份,1236402.93,149.1908985675,27840286.26,2251.7162960783,2559988.29,207.0512959719,-29163871.62,-2358.7675920503,2019-06-14
50,300909,汇创达,11297374.59,158.1795465422,4329804.44,38.3257579494,-11615863.22,-102.819138442,18465241.45,163.4471912292,2019-06-03
51,601916,浙商银行,1787558000.0,208.0901409268,207329259000.0,11598.4633225887,-253070145000.0,-14157.3109795598,47525715000.0,2658.6949905961,2019-05-30
52,301073,君亭酒店,58981877.9,2014.6838234416,72890132.21,123.5805552573,38280572.79,64.9022617674,-54024325.93,-91.5947878458,2019-05-17
53,300054,鼎龙股份,-44630803.01,-482.3341186782,116570129.11,261.1876131466,-174205154.68,-390.3249391255,9555640.4,21.4104155775,2019-05-14
54,301172,君逸数码,-927874.67,-121.0782026938,21188142.31,2283.5133876432,-32036578.28,-3452.6837854082,9920561.3,1069.170397765,2019-04-30
55,688181,八亿时空,8469112.43,-3.2207568561,-16607446.25,-196.0942942636,-40754055.48,-481.2081055346,65830602.53,777.3022624757,2019-04-29
56,688981,中芯国际,416719000.0,196.2555629808,669197000.0,160.587110259,-789556000.0,-189.4696426129,537078000.0,128.8825323539,2019-04-25
57,001206,依依股份,7255061.3,136.5828572087,47533510.71,655.1772444707,-84925286.89,-1170.5660831563,43726117.0,602.6981053902,2019-04-23
58,300851,交大思诺,13309792.41,925.894933093,57272603.67,430.3042594937,747188.74,5.6138271506,-44710000.0,-335.9180866443,2019-04-19
59,603095,越剑智能,-155710388.27,,154603366.96,99.2890510888,-310231212.14,-199.2360404381,-186530.21,-0.1197930415,2019-04-04
60,600609,金杯汽车,-1078068606.37,-202.4659179099,-492424684.99,-45.6765628904,-374168699.25,-34.7073179795,-213838933.35,-19.8353733785,2019-04-03
61,001227,兰州银行,-2439178391.93,-208.2746784926,27686366991.21,1135.0693775744,-31212905360.39,-1279.6483218963,1086048319.82,44.5251697626,2019-03-28
62,001235,里得电科,6730845.04,13552.8166021692,-1433117.95,-21.2917983029,-257248.81,-3.8219392732,8421211.8,125.1137375761,2019-03-27
63,301007,德迈仕,15694980.54,1205.5468374347,19718101.15,125.6331672393,-6906117.25,-44.0020759019,1483107.72,9.4495671162,2019-03-25
64,002989,中天精装,-34563000.0,-214.898624727,31779100.0,91.9454329775,-44500400.0,-128.7515551312,-21841800.0,-63.194167173,2019-03-22
65,688388,嘉元科技,46383419.95,912.8461556498,69227502.3,149.2505347269,-42792957.08,-92.2591674485,19948874.73,43.0086327216,2019-03-19
66,601609,金田股份,479264851.84,1869.4714775782,387626271.96,80.8793447865,868020099.54,181.1149088458,-740241016.46,-154.453432923,2019-03-15
67,300824,北鼎股份,21915125.14,244.8506890961,8631373.47,39.3854628475,-60420404.45,-275.7018454789,69209815.41,315.8084426526,2019-03-05
