序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,300376,易事特,888701566.65,3508745486.28,607414950.42,13157644416.63,20.1257264789,1117867500.16,466272497.85,7684166879.93,26.7624040226,58.4007793235,5473477536.7,2022-11-16
2,002396,星网锐捷,959347978.43,1691782473.99,1830820614.49,6756549947.13,2.9800023637,884869838.72,166504618.94,2103088945.73,-16.8559805543,31.1266691164,4653461001.4,2022-09-24
3,300716,ST泉为,104033660.76,444588867.87,238148399.04,1724604574.17,35.7727779888,204342217.08,29694981.32,798548854.38,77.9962800121,46.3033014257,926055719.79,2022-08-29
4,300424,航新科技,242392029.34,492147710.09,537921772.6,2380976172.08,20.1757985865,231713907.0,67670350.94,1370234700.88,32.4247327801,57.5492823888,1010741471.2,2022-03-01
5,300294,博雅生物,588440735.78,639885616.91,649349757.22,5176590108.56,-0.3071209397,237620580.66,6469417.89,1299049958.33,-16.8812985779,25.0947038704,3877540150.23,2021-07-15
6,002217,合力泰,4601626878.08,7977859989.56,4804492455.54,31021868878.95,13.777292613,2937977975.13,92189369.27,17740049293.66,9.5021103294,57.185623996,13281819585.29,2021-06-25
7,300201,海伦哲,138896051.81,1290669212.06,526078600.37,3416352320.15,8.7848986794,617865332.86,29342674.02,1802606030.09,10.4574851998,52.7640553774,1613746290.06,2021-06-15
8,002387,维信诺,3951654808.02,325158489.85,973345873.42,37482521314.63,-7.9061482987,4086470402.52,122996621.43,16970855060.95,-5.7093352359,45.2767168956,20511666253.68,2021-05-29
9,600834,申通地铁,320951335.0,241894.47,,2734736274.32,-0.6695379436,5747984.59,,1209671693.58,-5.5776305589,44.2335776557,1525064580.74,2021-04-28
10,688683,莱尔科技,,,,493900000.0,,,,,,,,2021-04-06
11,300094,国联水产,340595439.89,761918841.7,2668711813.75,5547745793.71,18.2141689211,495879337.98,105459405.52,2790256431.75,10.9799830618,50.2953187746,2757489361.97,2021-02-03
12,688239,航宇科技,,,,1144707100.0,,,,664578400.0,,58.0566330025,,2021-01-07
13,300940,南极光,,,,901825200.0,,,,496433900.0,,55.047685516,,2021-01-04
14,688131,皓元医药,,,,542485800.0,,,,142752000.0,,26.3144215019,,2020-12-31
15,003021,兆威机电,132961985.34,351647680.7,234310341.71,1171320875.38,,307447929.38,16975940.14,619447059.05,,52.884488962,551873816.33,2020-12-03
16,001202,炬申股份,37852472.63,41107260.88,25788277.11,273511376.96,,2695276.81,902558.68,95337605.35,,34.8569066522,178173771.61,2020-12-01
17,300936,中英科技,,,,353341800.0,,,,,,,,2020-11-05
18,688680,海优新材,30819147.58,230047801.75,83834857.56,953573603.21,43.982383378,134462871.48,4597863.64,469589197.62,118.1363786355,49.2451968091,483984405.59,2020-11-03
19,301069,凯盛新材,,,,818115800.0,,,,88563500.0,,10.8253012593,,2020-11-02
20,300918,南山智尚,,,,2029905700.0,,,,,,,,2020-11-02
21,301152,天力锂能,63027906.81,479270699.64,125601753.12,993885268.58,13.4775775731,260768509.72,2386327.99,512393882.46,19.0913830986,51.5546309678,481491386.12,2020-10-14
22,300682,朗新科技,1543965183.05,1334517226.54,556767657.07,5261503355.87,215.1156895499,357649127.86,192924714.05,1126396833.26,89.3725633767,21.4082697867,4135106522.61,2020-08-27
23,002366,融发核电,102736263.36,1053026696.68,2206420868.51,6873797521.03,-14.9625947072,222494973.98,113024312.01,3854285548.6,-20.7358408944,56.0721426083,3019511972.43,2020-08-21
24,600080,金花股份,414599903.67,164608393.82,46955654.89,2032288903.32,1.4663532696,39928295.01,5290133.79,234685316.26,0.1260232679,11.5478323912,1797603587.06,2020-08-01
