序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,603260,合盛硅业,1786555759.04,1355895174.77,7148131562.5,83344046933.95,55.1070438057,13722147491.43,6565089.3,50921033016.62,71.130833415,61.0973847442,32423013917.33,2026-03-07
2,688781,视涯科技,75151980.19,60753965.61,244457180.83,3066210866.7,35.9371761175,111886598.35,,677177327.02,-2.5536474661,22.0851518848,2389033539.68,2026-03-06
3,301682,宏明电子,739652717.31,953284687.18,1052495747.71,5093138923.32,9.4793677919,431306899.39,,1856806502.26,0.0246139447,36.4570165907,3236332421.06,2026-03-05
4,600127,金健米业,149122541.61,39370893.14,696184139.34,1971017042.78,-14.5596699498,52410618.75,,1057183642.66,-25.1655132465,53.6364536538,913833400.12,2026-03-04
5,688511,*ST天微,157911584.91,134131484.78,83483536.04,956810991.8,9.3271847324,38762209.35,,104941297.66,32.9538869143,10.9678189903,851869694.14,2026-02-28
6,600079,ST人福,4104912808.59,8113796024.22,3618944898.62,36204297567.19,0.4556780768,2717491220.71,700150.14,16105685461.71,-11.0074360082,44.4855626099,20098612105.48,2026-02-25
7,301152,天力锂能,276240667.94,694775222.68,230707608.35,3173995262.59,-14.4167863517,322205330.24,,1196626312.84,-0.9905386513,37.7009482952,1977368949.75,2026-02-13
8,002759,天际股份,1918869554.19,393960134.16,390693670.28,7746316858.15,24.5770425642,242197150.58,,2599650308.44,25.2666428968,33.5598240563,5146666549.71,2026-02-12
9,688816,易思维,213417319.75,111104578.83,164540612.54,650635770.09,18.9744164499,21577381.96,,271488534.96,6.9257407711,41.7266537501,379147235.13,2026-02-06
10,301680,固德电材,170772431.87,186750819.31,74069428.14,756728611.58,34.0449248958,117617562.92,144240.22,256651209.48,3.7928495905,33.9158855041,500077402.1,2026-02-06
11,688818,电科蓝天,2413616182.85,1929713570.79,1361402736.55,7110191252.49,10.9002480489,1667588580.81,,3735877587.55,17.717485517,52.542575226,3374313664.94,2026-02-05
12,603284,林平发展,419445399.43,153428086.56,134839385.43,1932249538.73,4.6254018819,149916567.1,,773706625.83,-15.4766274148,40.0417549764,1158542912.9,2026-02-05
13,603213,镇洋发展,79008768.33,53715275.7,105491110.35,2970757579.74,16.6971131577,581774245.2,,1189359153.04,43.9877210461,40.0355505663,1781398426.7,2026-01-31
14,002726,龙大美食,1392572096.51,444427112.07,991835506.2,6268455544.63,-21.1664057426,421839401.99,,4660577593.02,4.184124225,74.3496952294,1607877951.61,2026-01-31
15,300087,荃银高科,1530834053.01,523823427.0,2358192250.73,6703897267.39,32.0156361364,1250305612.61,,4127291020.91,43.0586208721,61.565546969,2576606246.48,2026-01-30
16,300284,苏交科,3540531097.48,4774556969.24,116247768.5,15881516673.78,2.4001874988,2927064107.11,1594814.92,7182722959.42,3.782610578,45.2269333399,8698793714.36,2026-01-26
17,001331,胜通能源,1308963160.6,59193523.14,10236442.22,1731280569.69,0.2809971932,11832845.41,,226429108.2,61.5049571552,13.0787067194,1504851461.49,2026-01-24
18,001266,宏英智能,665674679.82,146003483.52,106804078.8,1171751448.39,0.1261186254,72404674.03,0.0,169403302.46,22.3910964898,14.4572727171,1002348145.93,2026-01-24
19,601112,振石股份,1675663739.64,1816599659.72,487456705.48,8410038434.16,0.1551809917,285855997.2,,5996275059.32,-0.1738723843,71.2990208816,2413763374.84,2026-01-23
20,688785,恒运昌,77076164.9,68421774.56,80775083.23,628347757.31,190.0563228457,29983399.8,,91322143.17,46.0682721573,14.5336944562,537025614.14,2026-01-22
21,301487,盟固利,448325670.59,1213121820.58,282255251.65,3788217590.13,-6.6862391705,224329067.66,264997.76,1793734657.37,-23.6769467364,47.3503597587,1994482932.76,2026-01-21
22,605008,长鸿高科,434915733.99,256813915.85,500087959.76,4698233189.42,23.3091054629,347047702.08,194655.31,2640903712.77,46.3851046838,56.2105712147,2057329476.65,2026-01-17
23,002397,梦洁股份,356755947.78,153236904.86,509991528.48,2650851727.21,-4.8698911248,478941290.07,,1503196220.71,-9.5356269519,56.7061599591,1147655506.5,2026-01-17
24,688712,北芯生命,35988257.17,7199661.83,70871010.41,779914941.36,-8.7100926229,6303972.33,,119294771.4,18.8666738823,15.295869469,660620169.96,2026-01-16
25,001220,世盟股份,245563780.85,265287694.5,,801775181.46,12.6647235063,99300207.72,,151126181.93,-22.9234378261,18.8489473639,650648999.53,2026-01-15
26,300407,凯发电气,819194807.95,666504606.84,601700766.82,3099732593.89,6.7925731763,326525255.13,,1290240440.47,-3.3854320871,41.6242498793,1809492153.42,2026-01-14
27,603352,至信股份,205431435.69,928658225.9,428452122.92,3423336469.62,8.6519465764,558877987.99,355897.77,2052914347.42,5.9255527691,59.9682317423,1370422122.2,2026-01-12
28,300500,启迪设计,628833804.17,1057356900.62,7557887.56,3423827615.11,-7.8610515158,1039513715.12,,2174303583.24,2.9717276595,63.5050542161,1249524031.87,2025-12-31
29,002342,巨力索具,524036662.86,1189076618.28,607958269.15,4775254932.25,6.611661959,422283238.25,,2300805897.23,15.4268507727,48.1818443177,2474449035.02,2025-12-29
30,301687,新广益,142348669.63,216156738.14,89563348.86,707170151.43,20.6666239723,69059208.08,,145784822.18,33.0022567559,20.6152397531,561385329.25,2025-12-26
31,300831,派瑞股份,363889103.21,51006599.13,128215190.44,933971500.98,-1.4316577554,21149385.64,,68987244.23,-27.1691535269,7.3864399671,864984256.75,2025-12-26
32,688270,臻镭科技,1593084393.62,314295900.34,107511835.48,2239093565.51,3.5643679995,49636079.54,,110917149.4,38.3533410252,4.953662996,2128176416.11,2025-12-25
33,001396,誉帆科技,63656471.67,482452508.95,12251673.36,1134362053.54,18.3249900771,128871774.08,,470472078.91,19.5838103527,41.4745960024,663889974.63,2025-12-25
34,001369,双欣材料,885698236.09,82103172.75,230829711.95,5013501069.81,4.4307511722,326630523.51,,932835713.22,-27.0183770436,18.6064728067,4080665356.59,2025-12-25
35,688805,健信超导,129536593.76,84259718.98,235721087.84,643482884.57,22.0762347658,32632739.56,,208014252.32,22.3799701953,32.3263069318,435468632.25,2025-12-19
36,603402,陕西旅游,497694801.05,33266794.01,19240682.78,1329842931.76,36.882138122,58357387.3,1545200.0,632771616.18,28.3731594569,47.5824325616,697071315.58,2025-12-18
37,603248,锡华科技,222768164.71,196788937.6,90172606.9,1414014250.59,12.5396027464,90220091.86,,388339470.81,-7.6341509375,27.4636178983,1025674779.78,2025-12-18
38,301449,天溯计量,132989021.85,154846169.92,5739369.85,559909676.01,20.5280508805,20059465.85,,151218534.54,12.4812325194,27.0076658824,408691141.47,2025-12-18
39,301667,纳百川,215361884.56,382250237.8,166061762.74,1525095473.37,20.5469852651,310354804.17,,994106028.51,19.1864519998,65.183199732,530989444.86,2025-12-12
40,300581,晨曦航空,232648245.87,456401318.52,314411696.01,1266477734.93,-0.7277717634,156337047.87,,233302837.68,-5.9941446123,18.4213927529,1033174897.25,2025-12-12
41,688809,强一股份,146584038.05,162993175.13,73143499.46,960014756.49,2.7960577965,35503937.76,,76306908.27,1.3341520542,7.9485140988,883707848.22,2025-12-11
42,688802,沐曦股份,240227539.17,37099364.73,187304974.55,1632422126.87,56.2510771275,72748698.48,,421545052.91,249.7900681787,25.8232871248,1210877073.96,2025-12-11
43,688790,昂瑞微,333051797.71,94347292.85,526972865.52,1714150960.77,13.3285174024,255319888.11,,674118473.48,151.6210000666,39.3266689404,1040032487.29,2025-12-11
44,688378,奥来德,477215879.53,211534436.72,238920007.08,2213120458.24,3.0129191583,119279666.24,,435864247.13,-8.9288048239,19.6945559609,1777256211.11,2025-12-11
45,001325,元创股份,309041544.11,333502836.56,184681435.85,1597348798.91,0.5788974509,202124349.74,,532136466.53,-23.9606685151,33.3137300315,1065212332.38,2025-12-05
46,688807,优迅股份,47631135.96,126609922.54,90358518.49,587399920.56,38.9245528517,16140581.31,,80094249.44,-10.1926111327,13.6353864951,507305671.12,2025-11-28
47,002463,沪电股份,2097886948.0,2687132924.0,1749222944.0,16035480626.0,28.2702739309,2249632633.0,,6198256989.0,46.3778081796,38.6533907749,9837223637.0,2025-11-28
48,688796,百奥赛图,417657260.23,142204878.02,98023172.04,2449408838.88,-12.5158708916,115113525.44,,1658969914.79,0.6037021376,67.7294001906,790438924.09,2025-11-20
49,688795,摩尔线程,794150418.38,14077127.83,274974589.51,1994330533.61,-3.8767756124,36701026.59,,1239429001.05,230.4127629263,62.1476219795,754901532.56,2025-11-14
50,688727,恒坤新材,235081339.07,89588819.48,121009996.89,2091086030.08,28.0599641672,175100867.19,92369.6,709400526.44,95.7763433507,33.9249804281,1381685503.64,2025-11-13
51,301638,南网数字,4888680946.98,2068659347.16,1941123562.08,10818082890.09,40.6076431756,1380851531.87,,3442868162.87,-6.6860344088,31.8251227861,7375214727.22,2025-11-13
52,001280,中国铀业,5084824825.31,2494786994.23,5183469473.86,19152727848.68,-0.0062456226,1388332255.54,3051909.08,8956923102.98,-6.1243514766,46.7657827843,10195804745.7,2025-11-13
53,001233,海安集团,624306182.39,417960377.18,432971641.03,2800838076.69,33.1255136441,310998433.14,,1101348266.21,3.930741398,39.3220970315,1699489810.48,2025-11-06
54,600169,ST太重,2068565964.09,5244623037.5,9810684194.08,33273362646.37,1.4740071274,5979028876.68,,26728293547.36,1.3523522632,80.3294029264,6545069099.01,2025-11-01
55,603334,丰倍生物,156744855.26,58467149.47,198383130.41,1051447485.58,12.1158206983,87960560.3,,421945931.79,-0.579601594,40.1300053095,629501553.79,2025-10-31
56,300237,ST美晨,406816136.82,1322606895.67,331086954.42,7933285646.91,-11.9906394107,2078563269.47,378406.85,7759802941.22,-5.9964962889,97.8132300611,173482705.69,2025-10-31
57,603376,大明电子,61139367.13,737927087.8,387930443.08,2155671968.4,17.230852209,424373561.82,,1374090524.51,8.6728806637,63.7430251287,781581443.89,2025-10-30
58,600481,双良节能,8534840398.28,1429397115.27,1851115529.7,30090661476.28,36.9886796574,1656035497.87,,23003543830.95,52.9346177653,76.4474514762,7087117645.33,2025-10-24
59,688759,必贝特,309762109.32,,,441872509.19,-24.75138449,24613428.39,,123752896.88,4.0973600431,28.0064711667,318119612.31,2025-10-23
60,603175,超颖电子,585005295.88,986196251.96,529153736.84,4906381907.92,8.5897547424,1153108605.44,,3373086190.24,3.4811429715,68.7489529666,1533295717.68,2025-10-21
61,688765,禾元生物,235974138.14,202152.74,35726596.03,962196725.79,-12.739271086,105773246.26,,230577604.65,11.1714122806,23.9636654823,731619121.14,2025-10-20
62,000505,京粮控股,1543385751.86,115780372.55,2041860143.11,6496782984.9,6.4148987504,82474823.84,1075801.34,2921451685.86,10.5591031344,44.9676661919,3575331299.04,2025-10-18
63,603092,德力佳,374811154.04,1503615764.04,1003368011.26,6485674572.83,34.0760419544,1142496605.02,,4185339506.29,31.3065306804,64.5320615349,2300335066.54,2025-10-17
64,300631,久吾高科,248236988.36,583766925.82,187096835.17,1893031949.03,3.8034715302,277938463.47,20091.73,672864006.24,8.7185948234,35.5442498783,1220167942.79,2025-10-17
65,001386,马可波罗,3887809708.35,1599387521.41,1875859529.04,13339698688.15,4.2022379658,902111694.12,,5024640507.62,-11.0258885852,37.6668216058,8315058180.53,2025-10-17
66,601026,道生天合,429069789.45,978095141.28,216150498.5,3516381806.78,-6.4405103432,514371984.15,45290.0,1846845063.91,-15.4630284843,52.5211756115,1669536742.87,2025-10-13
67,601155,新城控股,18971301140.0,665609554.0,142506571410.0,374108790001.0,-18.3002710623,46669089888.0,993147424.0,287705381258.0,-21.9138489379,76.9042024533,86403408743.0,2025-10-01
68,603789,*ST星农,116142378.54,225725794.36,230371954.18,1292138921.62,20.0795964418,219183619.07,57545123.75,833842418.7,48.2369967737,64.5319481325,458296502.92,2025-09-27
69,601519,大智慧,1634708653.55,84818151.45,28187.2,2300883452.39,-2.1757638753,153338649.8,823221.36,614435034.68,-16.1020595018,26.70430934,1686448417.71,2025-09-26
70,688783,西安奕材,2170714892.7,351575886.19,888686036.42,15497624246.68,0.9774377417,163247883.16,,6273569635.52,72.870322218,40.4808474877,9224054611.16,2025-09-25
71,301563,云汉芯城,130407448.4,310860858.36,129871361.9,947972368.48,-11.0320437621,105191035.0,,289312234.86,-40.5665303213,30.5190577784,658660133.62,2025-09-25
