序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,688511,*ST天微,303204075.92,165915259.24,75097996.26,968113453.47,2.5093232897,44945963.23,,108986625.55,9.7677042242,11.2576294813,859126827.92,2026-02-28
2,688316,青云科技,61589973.76,78142967.06,915331.24,392626802.53,-31.8033962773,31733034.85,,353908421.42,-22.9127101368,90.1386301545,38718381.11,2026-02-28
3,300051,琏升科技,47513184.54,17985683.04,32440554.39,2616523625.31,-19.1140086407,490170182.38,25020000.0,2015734916.76,-14.8792886214,77.0386667738,600788708.55,2026-02-26
4,301152,天力锂能,159122055.87,786597749.16,329056860.81,2702239333.47,-14.6956483925,595424963.61,,1364757353.24,-1.2468594992,50.5046809265,1337481980.23,2026-02-13
5,002759,天际股份,592616801.66,651394898.21,468586119.97,6162620855.51,-15.1637585884,572219882.79,,2577941751.13,8.1302250546,41.8319058007,3584679104.38,2026-02-12
6,603213,镇洋发展,174077589.2,71541790.63,176241589.39,3306608740.85,0.4874868358,314839643.55,,1370921369.55,-1.1449958821,41.4600419038,1935687371.3,2026-01-31
7,002829,星网宇达,74857213.71,765538916.41,589984338.46,2496801147.88,-13.8183139303,418726166.43,,663097502.11,-23.2386039898,26.5578819792,1833703645.77,2026-01-31
8,002726,龙大美食,518171491.2,489495391.72,961690234.71,5394483421.46,-8.6638872431,506510281.95,,4019935518.51,-5.1329917844,74.5193784917,1374547902.95,2026-01-31
9,000736,*ST中地,1082163556.59,768561337.52,15253.88,2258460220.57,-98.0684540051,432442345.33,19866207.18,986268244.55,-99.0184411119,43.6699409433,1272191976.02,2026-01-31
10,600615,鑫源智造,136865295.55,179194135.89,47488566.19,1226170878.68,74.0206792756,144581882.84,195718.65,408880073.27,607.3190251856,33.3460923253,817290805.41,2026-01-28
11,300209,行云科技,995693718.13,23215025.19,765207.3,1171547875.94,292.1972041022,127128605.1,6409295.94,219187449.0,-70.1177825259,18.7092182489,952360426.94,2026-01-27
12,001331,胜通能源,1136662412.12,65372496.44,6714017.35,1706058895.56,-13.1265433079,6332246.87,,191644251.77,-58.2422386686,11.2331556823,1514414643.79,2026-01-24
13,001266,宏英智能,484756344.45,298512961.15,127004923.07,1705717707.72,24.4277542748,145841991.12,,767061229.91,87.0569166511,44.9699986368,938656477.81,2026-01-24
14,688816,易思维,48119767.27,134600862.45,176981216.4,799299125.99,,31281963.63,,335137656.08,,41.928940641,464161469.91,2026-01-23
15,688818,电科蓝天,778560596.44,2634559908.03,2253492831.93,7314411652.57,,2396353235.08,,3659442454.87,,50.0305783799,3654969197.7,2026-01-22
16,603284,林平发展,359066704.96,140314700.35,102380512.96,2633084979.54,,206132309.9,,1177108352.86,,44.7045333518,1455976626.68,2026-01-22
17,301487,盟固利,532299478.17,923568113.57,562156478.71,3541598447.3,-3.2051602439,309011936.55,794827.86,1640484041.74,-2.3524948273,46.3204416353,1901114405.56,2026-01-21
18,002397,梦洁股份,334021228.17,130784362.37,467085379.95,2483998187.3,-4.9664554915,236102987.78,279589.69,1293722640.94,-9.6733851554,52.082269929,1190275546.36,2026-01-17
19,688712,北芯生命,53814635.63,2762486.11,100680821.93,933949365.15,,32245423.4,,183863375.82,,19.6866535468,750085989.33,2026-01-16
20,001220,世盟股份,137273061.28,284118709.36,,1118686593.97,,138661877.65,,180587410.24,,16.1428063243,938099183.73,2026-01-15
