序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,603260,合盛硅业,977499300.26,47.6544402576,-626030358.0,-64.0440722396,-12147105224.47,-1242.6715007611,13702182858.33,1401.7588406135,2026-03-07
2,688781,视涯科技,92624318.42,,-223426071.4,-241.2175066022,94236394.22,101.7404455196,219745843.71,237.244222099,2026-03-06
3,301682,宏明电子,-368490.57,,280046312.5,75998.2304296145,-242034888.29,-65682.7902787309,-40008176.48,-10857.3135209403,2026-03-05
4,600079,ST人福,-528629337.94,-193.1088828226,2441071054.16,461.7736623685,1226790360.49,232.0700484144,-4244942269.02,-803.0092097351,2026-02-25
5,688816,易思维,-16829057.48,,25621575.74,152.2460528194,-15759976.73,-93.6474116196,-26673996.95,-158.4996484901,2026-02-06
6,301680,固德电材,28584436.97,,88052948.13,308.0450673995,-37817855.36,-132.3022573427,-22143933.07,-77.468494808,2026-02-06
7,688818,电科蓝天,1885029682.02,,564382379.98,29.9402383614,-335711357.42,-17.8093406498,1655463998.43,87.8216409121,2026-02-05
8,603284,林平发展,148468758.64,,179252341.34,120.734047339,-73481069.05,-49.4926136132,42602696.78,28.6947214823,2026-02-05
9,002726,龙大美食,-997103636.88,-131.5967248686,941102462.16,94.3836154389,-1201613350.29,-120.5103768401,-735486538.81,-73.7622962756,2026-01-31
10,601112,振石股份,273219009.63,,-207998678.75,-76.1289190791,-595784291.27,-218.0610683264,1069483350.98,391.4381186098,2026-01-23
11,688785,恒运昌,-31115579.51,,11246612.04,36.1446330652,-43478822.73,-139.7332892869,899592.54,2.891132205,2026-01-22
12,688712,北芯生命,-506860378.39,-217.1006348025,-161021128.5,-31.7683400331,-480907543.42,-94.8796875675,122409399.91,24.1505166174,2026-01-16
13,001220,世盟股份,-103306225.4,-194.5639493444,1557585.77,1.5077365996,-53224331.79,-51.5209335971,-51639479.38,-49.9868030025,2026-01-15
14,603352,至信股份,14785022.2,,216731619.67,1465.8863323858,-547856625.21,-3705.4839539571,345910027.74,2339.5976215714,2026-01-12
15,301687,新广益,53824149.72,282.5299555702,106241450.55,197.3862125137,-63304759.27,-117.6140442521,10371019.39,19.2683385505,2025-12-26
