序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
42,603683,晶华新材,354721975.46,617.1268285518,11866586.63,3.3453204061,-29201593.09,-8.2322481014,371404499.77,104.7029858492,2025-03-26
43,688729,屹唐股份,,,367628600.0,,,,,,2025-03-13
44,300437,清水源,-70299009.09,-476.0059755926,5546750.51,7.8902257397,40987040.71,58.3038669258,-117819192.26,-167.5972304377,2025-02-28
45,688775,影石创新,,,488429700.0,,,,,,2025-02-27
46,603049,中策橡胶,,,2223459100.0,,,,,,2025-02-07
47,002512,ST达华,-138363718.71,-362.7121942981,-435480376.79,-314.7359588555,128033514.99,92.5340227797,168832788.15,122.020996345,2025-01-27
48,600608,*ST沪科,-36464980.9,-501.9419838499,-6764239.12,-18.5499593118,-96370.51,-0.2642823543,-29604371.27,-81.185758334,2025-01-25
49,301658,首航新能,,,-324888600.0,,,,,,2025-01-23
50,301518,长华化学,315042163.01,1151.8894814382,17281463.78,5.4854447465,-522078268.69,-165.7169515667,817899952.31,259.6160286914,2025-01-20
51,600699,均胜电子,-100811995.92,83.1072101569,2755730610.89,2733.5344229042,-2339829871.0,-2320.9835790344,-456606081.57,-452.9283220742,2025-01-17
52,301629,矽电股份,,,-67005900.0,,,,,,2025-01-13
53,688411,海博思创,-920151388.66,,-1046680986.49,-113.7509543961,-10425753.0,-1.1330475755,137486318.21,14.9417063218,2025-01-08
54,001395,亚联机械,-25614504.31,,127412175.53,497.4219839978,-121109635.43,-472.8166275024,-31617366.67,-123.4354031893,2025-01-08
55,301665,泰禾股份,,,313397500.0,,,,,,2025-01-05
56,600576,祥源文旅,-180352874.84,-88.8636552637,181224530.68,100.4833057642,21791131.65,12.0824975312,-383368537.17,-212.5658032954,2025-01-03
57,001356,富岭股份,9989696.49,,231896154.54,2321.3533541498,-133637059.67,-1337.748947666,-89517533.32,-896.0986293188,2025-01-03
58,301602,超研股份,-79377769.1,,44026298.4,55.4642677656,-127553420.43,-160.6916166532,-700000.0,-0.881858999,2025-01-02
59,603382,海阳科技,,,-31220600.0,,,,,,2024-12-31
60,603248,锡华科技,,,69010500.0,,,,,,2024-12-31
61,001386,马可波罗,,,2275164600.0,,,,,,2024-12-31
62,001285,瑞立科密,,,198555100.0,,,,,,2024-12-31
63,301616,浙江华业,,,42860800.0,,,,,,2024-12-30
64,600165,ST宁科,-32783785.53,55.7014352362,-30519828.13,-93.0942770537,-15434063.14,-47.0783434264,12481687.62,38.0727466893,2024-12-28
65,301609,山大电力,,,50407000.0,,,,,,2024-12-28
66,688583,思看科技,-20014267.87,,58213804.69,290.8615247289,-46177239.54,-230.7216024085,-32608624.24,-162.9268902155,2024-12-26
67,301601,惠通科技,-206239417.22,,-82672553.43,-40.0857190853,-287944063.36,-139.6164066217,165084101.45,80.0448835995,2024-12-26
68,002857,三晖电气,-73669018.97,24.9917397237,-9898689.75,-13.4367063501,-65800944.43,-89.3196968685,2030615.21,2.7564032186,2024-12-25
69,301535,浙江华远,,,67501000.0,,,,,,2024-12-23
70,688758,赛分科技,-3713139.97,,42583208.64,1146.8247624395,-38105773.46,-1026.2412343158,-8490179.31,-228.6522829356,2024-12-20
71,301458,钧崴电子,31716406.84,-86.2317813287,98482914.83,310.5109457286,-59139591.08,-186.4637169599,-12185283.1,-38.4194942431,2024-12-20
72,301581,黄山谷捷,56288811.24,,75583979.94,134.2788704805,-23096318.97,-41.0318115825,3801691.12,6.7539019501,2024-12-19
73,301501,恒鑫生活,,,148858500.0,,,,,,2024-12-16
74,603072,天和磁材,-63864467.99,,201696512.64,315.8196082861,-44530378.36,-69.7263748709,-221001910.72,-346.0483077297,2024-12-12
75,001391,国货航,-396083161.0,,1880099984.0,474.6730406951,-2054766171.0,-518.7714029075,-225995972.0,-57.0577076363,2024-12-11
76,001233,海安集团,,,456236300.0,,,,,,2024-12-11
77,603194,中力股份,82231088.91,,472710070.92,574.8556624823,-521366322.77,-634.0258042072,109433466.59,133.0804055262,2024-12-05
78,301598,博科测试,31208672.11,,42711895.17,136.8590596212,-13567024.86,-43.4719709066,-4181671.0,-13.3990673658,2024-12-05
79,301557,常友科技,,,-47217500.0,,,,,,2024-12-02
80,603669,灵康药业,-114936286.57,74.6608266791,-21150724.69,-18.4021298418,-89657920.92,-78.0066274939,-4127640.96,-3.5912426642,2024-11-30
81,688757,胜科纳米,,,175216700.0,,,,,,2024-11-29
82,603202,天有为,,,349728700.0,,,,,,2024-11-29
83,600928,西安银行,9615030000.0,254.8925348797,11341601000.0,117.9570006542,1147025000.0,11.92949996,-2873596000.0,-29.8865006141,2024-11-28
84,301585,蓝宇股份,57575761.81,,48672373.5,84.5362214409,-11994302.76,-20.8322085248,18622554.5,32.3444343845,2024-11-28
85,000506,招金黄金,-512225.52,76.9629907928,-15202175.05,-2967.8675615381,-9761022.44,-1905.6103335109,23079820.41,4505.7927629221,2024-11-27
86,301479,弘景光电,,,58396000.0,,,,,,2024-11-25
87,688605,先锋精科,-19655578.71,,60726606.78,308.9535427879,-65620208.92,-333.8503021873,-18829113.0,-95.7952613749,2024-11-22
88,603124,江南新材,,,-672599300.0,,,,,,2024-11-22
89,300887,谱尼测试,-210190364.22,-139.8010551295,97066416.16,46.1802407167,-129632459.26,-61.673835402,-177652644.69,-84.5198805137,2024-11-22
90,301631,壹连科技,32835735.22,,275948654.11,840.3912757279,-168978057.6,-514.6163363416,-76030728.31,-231.548731285,2024-11-21
91,301617,博苑股份,104364529.12,,121991408.29,116.889722321,-15593504.34,-14.9413833143,-2213654.16,-2.1210790473,2024-11-20
92,300008,天海防务,-195202681.58,-2921.6751868402,-264417660.47,-135.4580061758,-65071134.14,-33.3351640527,134286113.03,68.7931702285,2024-11-20
93,688750,金天钛业,1795673.68,,83232495.87,4635.168226668,-73853349.7,-4112.8491508546,-6624943.55,-368.9391688361,2024-11-19
94,601026,道生天合,,,-160908000.0,,,,,,2024-11-19
95,688708,佳驰科技,158096442.75,,216571118.86,136.9867120935,-57785176.11,-36.5505858986,-689500.0,-0.4361261949,2024-11-15
96,603210,泰鸿万立,,,382650600.0,,,,,,2024-11-15
97,301275,汉朔科技,,,563144900.0,,,,,,2024-11-15
98,301622,英思特,18479145.48,,156200515.29,845.2799695692,-144924149.67,-784.2578534102,5778518.41,31.2704849705,2024-11-14
99,300774,倍杰特,-51046737.0,-1174.8651431128,-7625532.77,-14.9383353729,-4233299.34,-8.2929871502,-39187904.89,-76.7686774769,2024-11-14
100,688235,百济神州,-2283799000.0,-273.2724904195,-5401589000.0,-236.5177058051,2823248000.0,123.6206864089,250615000.0,10.9736014422,2024-11-13
101,688428,诺诚健华,1260259636.29,7.0840610145,-446143350.48,-35.4009076886,1650880729.95,130.9952871941,7832072.06,0.6214649612,2024-11-12
102,002135,东南网架,173887917.58,119.372213831,-426275727.07,-245.1439599729,-165997335.71,-95.4622598397,765345809.15,440.1374286387,2024-11-12
103,600683,京投发展,-1902942079.71,36.2549626663,-4993214929.98,-262.394477647,399009267.51,20.9680195611,2691263582.76,141.4264580859,2024-11-09
104,600590,泰豪科技,-197893498.67,-218.6726360831,28361017.51,14.331454899,81158307.97,41.0111037075,-305169977.59,-154.2091982005,2024-11-09
105,688981,中芯国际,1642853000.0,301.4519819597,16347526000.0,995.0693093052,-26729157000.0,-1626.9962680775,12811200000.0,779.8141404009,2024-11-08
106,688449,联芸科技,82736431.48,,69934121.22,84.5263929916,-8037078.95,-9.714074932,19435184.11,23.4904790578,2024-11-08
107,688347,华虹公司,21833376912.79,474.6643019752,3462387309.64,15.8582308338,-4044142907.64,-18.5227549719,22323047280.17,102.2427605649,2024-11-08
108,603271,永杰新材,,,139503300.0,,,,,,2024-11-08
109,603395,红四方,286711244.34,,356414935.39,124.3114605465,-66452225.16,-23.1774046089,-3251466.26,-1.1340560666,2024-11-07
110,603205,健尔康,47025818.14,,119946836.66,255.0659220918,-64690735.98,-137.5642966751,-11258383.32,-23.940855822,2024-11-06
111,301633,港迪技术,-30838509.2,,-32870277.94,-106.5884142674,38100669.5,123.5489992493,-36068900.76,-116.9605849818,2024-11-06
112,688356,键凯科技,-126856279.43,-95.2117366079,119946397.91,94.5529842503,-204749505.04,-161.4027354105,-41397765.91,-32.633596142,2024-11-04
113,600872,中炬高新,192400169.81,105.9980277931,844936774.05,439.1559398749,-650648781.54,-338.1747439114,-1992369.98,-1.0355344187,2024-11-04
114,600885,宏发股份,454440989.85,-40.1359904048,1665300362.75,366.4502982664,-1194583616.59,-262.8688087719,-25546421.37,-5.6215046487,2024-11-02
115,688651,盛邦安全,605886731.42,751.5808959203,-27178839.82,-4.4857955143,-36510897.31,-6.026026882,669576468.55,110.5118223964,2024-11-01
116,605339,南侨食品,-303977421.96,-171.3676716965,322087028.27,105.9575498053,-420439980.43,-138.3128976222,-205724195.4,-67.6774590934,2024-11-01
117,688789,宏华数科,484748081.4,276.4125314105,160178726.01,33.0437049998,-571019007.14,-117.7970638875,875571255.38,180.6239754165,2024-10-31
118,688776,国光电气,-96897060.79,34.3026607031,-14294723.95,-14.7524845784,-50079416.6,-51.6831121519,-32516512.13,-33.5577899524,2024-10-31
119,688737,中自科技,-213309666.9,47.4557705988,-312351053.28,-146.4308007318,28512142.92,13.3665498308,70443468.44,33.0240393995,2024-10-31
120,688733,壹石通,-230187570.93,-142.0861180437,919767.89,0.3995732203,-273250198.19,-118.707624867,41600249.75,18.0723266604,2024-10-31
121,688728,格科微,477563794.0,128.1945560618,426513977.0,89.3103669831,-1168274044.0,-244.6320384162,1218692995.0,255.1895705477,2024-10-31
122,688726,拉普拉斯,80864466.73,,1031859506.98,1276.0357530401,-1080066324.5,-1335.6500922788,131021586.73,162.0261556506,2024-10-31
123,688717,艾罗能源,329136602.05,-38.7926120329,617303797.56,187.5524611104,-254116015.74,-77.2068539802,-83195971.72,-25.2770342775,2024-10-31
124,688711,宏微科技,218403801.76,222.4817576836,-129900682.69,-59.4772992243,-215802735.0,-98.8090560974,565577531.27,258.9595633008,2024-10-31
125,688709,成都华微,76343754.08,-29.601959071,-41356170.71,-54.170994351,-19461059.4,-25.4913576553,137160984.19,179.6623520063,2024-10-31
126,688702,盛科通信,2248357445.66,1303.1210598106,-77672351.84,-3.454626487,-42786201.29,-1.9029981809,2364311184.81,105.1572644454,2024-10-31
127,688699,明微电子,-274831761.72,58.0465792071,139130321.7,50.6238146673,-303405407.17,-110.3967770214,-111673260.76,-40.6333169285,2024-10-31
128,688698,伟创电气,-1816155.44,98.4918635321,-34121202.8,-1878.7600471026,-722748359.79,-39795.5122051668,755519931.4,41599.9597149019,2024-10-31
129,688696,极米科技,303128257.41,304.7127536234,28458551.89,9.3882873649,85235513.15,28.1186300077,190714812.37,62.9155506648,2024-10-31
130,688681,科汇股份,-59920760.97,17.0082199329,-5130787.39,-8.5626205458,-51251177.46,-85.5315864324,-3767209.26,-6.2869850099,2024-10-31
131,688680,海优新材,-184374616.34,-544.271297824,-1730464894.33,-938.5591838406,-185740663.07,-100.7409082427,1732809075.95,939.830607026,2024-10-31
132,688667,菱电电控,79853295.82,14.7540253066,-97236911.82,-121.7694408496,187285471.08,234.5369332058,-10195263.44,-12.7674923562,2024-10-31
133,688660,电气风电,-2366155493.68,42.4995186131,-3826871751.14,-161.7337390278,-1404123353.93,-59.3419729887,2845933626.71,120.2766950148,2024-10-31
134,688659,元琛科技,-55546595.28,-891.6838061586,-44049363.17,-79.3016438685,-30668946.38,-55.2130085119,19232181.06,34.6235101595,2024-10-31
135,688658,悦康药业,-259028788.09,65.1680384029,495894226.56,191.4436731981,-417529083.75,-161.1902240013,-341265608.42,-131.748139246,2024-10-31
136,688652,京仪装备,33621994.18,148.1363144507,78425033.13,233.2551505129,-13140606.72,-39.0833650427,-31617594.86,-94.0384282108,2024-10-31
137,688623,双元科技,1478030269.59,4891.1562459736,41077527.88,2.7792074848,-244527016.84,-16.5441142763,1681474073.67,113.7645221661,2024-10-31
