序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,600360,*ST华微,919797527.99,301777894.74,168301402.0,3503222359.23,-1.0778003675,366854818.21,3513529.77,1529539683.66,-4.1178004555,43.6609363271,1973682675.57,2023-11-11
2,300838,浙江力诺,9015535.21,137169795.1,68524277.69,375392132.57,12.4809078894,41763288.94,5617619.01,143886224.93,12.1596617099,38.3295792442,231505907.64,2018-10-31
3,301418,协昌科技,14506813.16,42039886.79,38904544.46,217503167.84,30.3637635344,13885867.34,16310143.08,152678550.14,31.1170821954,70.1960121575,64824617.7,2018-04-24
4,688096,京源环保,578803.02,26319137.48,4765969.97,43593333.92,17.7635993762,7114206.93,5634804.0,27767774.79,6.2961643564,63.6972956484,15825559.13,2018-04-23
5,000713,国投丰乐,85473242.61,85240017.02,492960404.39,1768897372.81,-9.0525545982,71791066.63,170619426.75,415448858.75,-34.7266130188,23.4863178122,1353448514.06,2017-10-21
6,002490,山东墨龙,580181629.7,551535451.11,884408515.33,5834580304.73,-5.4603546978,650620192.05,61691679.99,3167438389.59,-7.5905402773,54.2873390057,2667141915.14,2017-09-30
7,300960,通业科技,26068832.02,107070484.49,96222476.26,272161062.48,,77131946.2,525696.0,165901706.4,,60.9571791381,106259356.08,2017-09-04
8,603583,捷昌驱动,58118230.78,12346611.58,39101964.84,234137170.68,51.1198562303,42453869.5,6234353.6,79431633.39,31.9110467846,33.925255507,154705537.29,2017-04-20
9,000767,晋控电力,1333879977.13,1909597426.9,543902525.71,31399307492.67,3.098292014,2436575460.04,4023813.47,24757962676.58,-0.1778503311,78.8487538534,6641344816.09,2016-10-20
10,600097,开创国际,127206301.62,20949814.27,220628678.61,1252941001.94,-9.4160231805,97508717.49,1737770.64,450665788.39,-15.2199423243,35.9686360086,802275213.55,2016-08-11
11,002041,登海种业,326609427.6,185232012.19,515101257.93,3707711508.94,9.8477097166,15079708.8,106635159.32,764682756.63,-6.6497910649,20.6241169192,2943028752.31,2016-07-22
