序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002726,龙大美食,142755519.68,77.83,5914322417.06,116.3071263332,5628404601.12,68338955.51,59342188.7,16508312.34,5776633101.43,162833986.69,168322135.16,2026-01-31
2,300128,锦富技术,-18959579.79,-1529.02,245112657.0,-43.73,215194638.34,9797607.67,20344874.86,10046269.66,266529004.92,-24782645.16,-24641959.34,2025-07-03
3,002569,*ST步森,-8201480.61,-512.35,74926132.98,-35.8790623726,51385228.08,10736370.0,13665889.49,30983.75,76018763.83,-8204397.84,-8408326.06,2024-09-07
4,300277,海联讯,3264366.68,75.5,23113157.0,-39.36,17756424.87,1099088.65,4643055.49,-994742.43,25328600.89,3417445.78,3371989.11,2024-08-02
5,300511,雪榕生物,169805933.35,24.66,600852768.17,12.04,368984797.21,5254422.07,37043491.72,15946280.7,434113698.18,168939525.68,160895924.97,2024-04-26
6,000903,ST云动,185254913.38,-19.75,1954421093.43,1.3546643967,1602933234.22,54028407.17,55253646.42,34895146.86,1761180066.27,205924060.49,206107966.71,2024-04-26
7,688579,地纬智能,-13882048.92,-1912.05,38966752.78,-27.7567790435,17957683.81,4098553.09,9406201.87,-1341305.87,59488815.41,-15037051.9,-15231072.37,2024-04-13
8,603718,海利生物,6069454.87,-6.47,56678476.71,-29.9887548962,31469680.68,8122697.43,7969896.6,4254280.68,57497158.23,3402737.16,3712042.51,2023-10-28
9,300825,阿尔特,21583991.11,-46.98,145922589.34,-15.72,88383435.2,6751264.54,18661228.86,1332439.27,125395232.85,21537783.77,21600800.23,2023-08-26
10,688619,罗普特,-9781906.59,17.878465432565,25712695.1,328.8451099103,22542179.46,3786247.08,6831191.37,114441.46,41074230.28,-12628711.87,-12628661.87,2023-08-17
11,688189,南新制药,26378655.96,28.22,325616521.18,39.8894384483,35857095.6,206822970.37,16857310.42,3621874.6,288773259.12,34377268.04,34505344.74,2023-06-28
