序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,600127,金健米业,12722727.42,123.940543206226,4108074490.27,36.4254273385,3796337156.24,217986468.84,91275281.52,22374901.54,4153353464.05,22391116.2,13899373.12,2026-03-04
2,300500,启迪设计,169810737.14,49.98,1254286084.37,14.6798843795,871813708.95,29295404.79,95001423.02,18958987.6,1085159658.2,209855502.62,209517636.5,2025-12-31
3,002586,ST围海,-1278261160.57,-770.26,3329627634.27,-5.9685503865,3061090947.17,14820982.17,154937277.46,130414434.78,3414598889.77,-1217478264.69,-1272405331.32,2025-11-29
4,300343,ST联创,-962878170.93,24.56,3464406071.22,14.8193699282,3092783414.52,210639616.14,211856674.49,16142145.79,3601888882.46,-952623064.08,-948241548.25,2025-11-28
5,600169,ST太重,-835955293.21,-2246.05,7066962779.34,8.3759854369,5235921282.28,354516835.27,520429741.16,906544259.23,7235367631.4,-832570487.47,-824819715.9,2025-11-01
6,300237,ST美晨,83000077.86,103.92,2954595368.97,-12.8401840365,2143858320.29,162447776.04,195403095.89,207814330.23,2871496943.97,130986709.07,132446589.44,2025-10-31
7,000711,ST京蓝,-1036745832.56,-1111.1,1901408713.75,-23.6645010117,1488680118.47,69806287.96,289921906.39,340587187.43,2244425496.43,-1039676370.26,-1056138335.48,2025-09-05
8,603616,韩建河山,-85439749.11,-619.4,921858444.09,-12.0865042036,718275054.85,32125373.7,121445016.16,50464669.8,961410274.41,-88696667.16,-89832736.58,2025-04-30
9,601212,白银有色,34223640.1,124.1,61700280812.11,-0.3975901276,59298422873.85,259435797.8,947958727.02,1265650187.78,61963479286.89,352198643.82,337259164.31,2025-04-30
10,600125,铁龙物流,454675457.64,-10.48,16368454209.34,4.668062909,15368217291.38,212671326.94,126421308.46,33507967.7,15779498340.93,626078896.93,625981123.34,2025-04-30
11,002528,ST英飞拓,4952157.23,-45.9,4259002535.82,-0.2769088231,3343718146.06,344159163.87,298702408.09,19867729.01,4235147991.29,492229.8,2474183.41,2025-04-30
12,603559,ST通脉,15772156.15,-66.54,716672435.37,-0.4270356872,587982041.35,9647442.83,49445290.37,11463282.58,675650635.69,18446724.21,18222012.89,2025-04-29
13,002602,世纪华通,2285373120.16,69.77,14689715624.19,17.2969902027,7161076189.53,2202181258.58,851782177.65,211422309.1,11808987583.07,3064937498.37,3062615185.77,2025-04-29
14,600293,三峡新材,10823561.34,-95.67,3181543686.68,-65.341202126,2683375433.61,73112836.37,114614539.2,103331744.0,3023444944.48,46761049.76,22369436.57,2025-04-25
15,002122,ST汇洲,-1664665012.16,-160.48,1119320912.15,-40.1844495717,987017090.55,58571714.99,186811810.1,107773485.51,1416507572.32,-1782698498.1,-1631099580.35,2025-04-25
16,600326,西藏天路,395544242.51,-3.56,5621295713.83,11.9469330855,3873602515.26,83858163.48,475121090.47,80937364.2,4715062952.51,884744773.42,902527115.64,2025-04-10
17,603869,ST智知,45826922.47,-43.17,2345629632.62,-22.6286951487,1555022919.66,125174865.44,235554371.24,96391623.44,2188256916.54,60832888.09,59345844.72,2025-04-04
18,300437,清水源,117818707.79,-54.18,1694855586.35,1.039465881,1147665418.36,64127583.4,94291186.87,77159929.77,1412596972.64,227909226.24,226786804.46,2025-02-28
19,000833,粤桂股份,83029249.63,-6.16,3501991589.0,10.5365729384,3240425476.54,19808679.35,168117422.01,11053722.03,3502590466.03,68723171.24,67166133.65,2025-01-25
20,300732,设研院,252472772.98,-10.46,1580829245.01,38.7031846224,938694945.01,39760563.48,132314181.8,25621505.31,1247880794.66,294133935.6,300903503.56,2024-10-31
21,002097,山河智能,502834351.91,17.14,7427355609.17,29.0475045758,5192292648.43,582674446.01,498395587.49,141746043.23,6677870595.04,629720498.3,618063688.33,2024-10-31
22,002808,*ST恒久,-97645746.35,-381.73,303519768.64,-4.7971212798,238635126.06,12272866.59,9568411.93,-4729131.82,272127303.79,-91681331.67,-91915989.46,2024-09-03
23,002055,ST得润,-585481081.75,-324.3,7486212149.89,0.430723541,6335470767.29,205148499.94,508092225.79,209947801.43,7581959404.73,-665122802.36,-672515574.12,2024-08-31
24,300376,易事特,394257935.96,-27.08,2888135625.65,-14.032113302,1828744308.6,218442087.0,63495067.31,273797520.45,2555641873.27,415199133.19,452939278.49,2024-08-30
25,002569,*ST步森,23741718.54,123.07,359122422.13,12.2754958831,234189595.76,54574752.61,63250849.89,-827954.64,353866612.12,-22089175.29,23636939.8,2024-08-30
26,300528,幸福蓝海,130427130.87,101.24,2118846994.96,33.6093330486,1234953198.55,629887379.4,133782145.32,-991058.88,2042537170.56,127278465.84,129584960.91,2024-08-28
27,300335,迪森股份,82037786.3,-49.25,1460955401.39,-17.7204604969,1040020534.04,118510973.22,86860582.13,57202842.14,1348295271.18,153780722.74,141732247.31,2024-08-28
28,300277,海联讯,10835146.21,35.13,327630091.46,24.0401783945,252601065.91,12585707.07,31781304.58,-1956649.34,320504288.72,18147875.75,17919042.06,2024-08-02
29,002092,中泰化学,383258654.67,-85.87,83115316851.95,18.3662423471,77245247087.83,2755804517.98,838068425.15,1372560466.26,82540691845.31,451516232.82,454218022.02,2024-07-02
30,000547,航天发展,664358699.43,50.64,4039258215.89,14.8888201556,2542529651.58,152002639.16,274873132.39,5881541.67,3397373823.65,783459457.83,782293021.57,2024-06-29
31,600136,ST明诚,3230128.55,-40.96,1782335445.21,-33.205478151,1388321288.21,78643083.52,246195005.16,510534899.55,2228333273.54,-138896558.23,-134198370.08,2024-05-29
32,002388,新亚制程,51774982.52,60.97,1506186044.0,80.8623479122,1288944311.62,66605418.29,74513262.95,-1652668.77,1446501862.91,60125891.31,64562372.95,2024-05-23
33,600594,益佰制药,128105183.11,114.66064015437,3361025745.29,-13.4395009474,735601505.67,1788970864.18,366411486.25,45029689.34,3096386873.26,238752799.78,208322649.86,2024-05-18
34,603377,ST东时,244294668.63,9.42,1114188921.19,6.0204709743,539973862.32,57017520.23,226758452.28,41969040.04,908492040.07,260429750.95,346605748.91,2024-04-30
35,601118,海南橡胶,135145295.96,-42.47,13747601241.97,4.19170028,12859713390.74,384948463.7,772114181.75,140977378.76,14215753034.16,-19163651.36,153983560.27,2024-04-30
36,600624,ST复华,4748602.34,29.74,1399901826.36,38.8484764318,868138364.01,331705226.05,102978816.63,18153067.42,1390647396.76,3925861.79,33312649.44,2024-04-30
37,600517,国网英大,952752773.09,-18.13,7603296316.62,5.0270410704,4462800900.24,242621653.03,948457624.16,72990044.5,6476882215.63,1650229826.88,1650597661.56,2024-04-30
38,600287,苏豪时尚,236275057.33,212.52,3857334114.52,-21.8921919414,3407730902.58,245719714.0,109481698.43,-1559772.79,3773020550.06,362789945.76,363597108.96,2024-04-30
