序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,300838,浙江力诺,12921635.21,0.58726773079,95418185.04,-5.7421306234,56873447.05,10067677.42,9319443.96,2346982.07,80409161.36,15009023.68,15172055.5,2018-10-31
2,301418,协昌科技,-247629.62,,40813248.27,,36038439.06,1144176.29,3492302.18,45579.88,40926385.68,-113137.41,-113137.41,2018-04-24
3,688096,京源环保,35647.23,,10427509.26,,7249555.23,784657.38,2107797.85,315219.24,10594004.79,-166495.53,151008.69,2018-04-23
4,000713,国投丰乐,14588071.9,8.633966057461,619195059.61,-4.9348613452,517601087.46,46242723.02,47196708.23,5873872.36,617838258.56,1334572.38,18668216.5,2017-10-21
5,002490,山东墨龙,9237809.23,-79.742400590098,1336912993.1,17.3396169749,1184701686.19,74614125.24,47661443.49,22041420.84,1330862303.49,7788951.12,11443619.66,2017-09-30
6,301263,泰恩康,18473888.28,,139416894.48,,86126025.65,16640664.81,9188220.55,380700.81,114119060.12,25297834.36,25297834.36,2017-09-19
7,000767,晋控电力,189581328.96,153.587119096117,5220800460.9,19.7266489902,4262433582.69,796912.23,42624501.14,538384822.05,4881195776.11,308071559.63,339671593.19,2016-10-20
8,300803,指南针,-1079973.0,119.727896157602,72300658.0,218.3985646759,4066754.0,45123489.0,27661022.0,28151.0,77354812.0,-3414649.0,-1079973.0,2016-08-25
9,600097,开创国际,37904301.99,-42.038625215116,424993276.73,0.6606933027,375626165.23,67639001.5,19982078.62,7578788.87,478333762.25,-53340485.52,37904301.99,2016-08-11
10,002041,登海种业,163303006.35,6.50392276629,563213430.73,-7.7665790742,253337841.33,65081523.06,70889993.03,-6035618.78,391705087.32,198588582.98,200447771.57,2016-07-22
11,688122,西部超导,34905490.98,,335511142.13,,222723959.04,4032564.93,42822585.92,23401880.43,300066905.34,35444236.79,41611615.7,2016-05-09
12,600123,兰花科创,-7935288.02,-101.134417103949,2572348267.23,-16.7923781935,1747201867.52,79977582.09,516645533.27,68203036.71,2712607092.93,-9470881.24,-13175113.19,2016-04-26
13,600764,中国海防,647525.06,-87.322453873217,312354067.14,-10.4797144892,259760198.48,7023194.85,30493567.4,20086292.56,322303946.2,11144691.91,11644215.83,2016-03-17
14,300399,天利科技,24374272.48,,74018142.23,,27530915.39,5227666.66,12284253.07,-518918.34,48366154.08,29043508.58,29154358.57,2016-03-08
15,002948,青岛银行,909684000.0,,2224209000.0,,,,699992000.0,,1025801000.0,1198408000.0,1197099000.0,2016-03-07
16,001289,龙源电力,1494858131.97,0.169242086736,9020949833.37,-2.0090247687,5527717961.48,2276897.37,98052174.07,1446094381.5,7126486186.45,1948624417.29,2109299903.75,2016-01-18
17,601868,中国能建,1342130145.27,,82807600383.09,,72492557439.14,679722436.63,4211952146.97,1535633856.61,80477481941.67,2525782922.14,2829807661.21,2015-12-18
18,300061,旗天科技,18417145.78,115.911798183432,315703136.5,57.7404205403,224695138.21,25809709.63,32634942.35,4739130.84,288723743.42,27184995.87,27812521.94,2015-12-15
19,601611,中国核建,287390279.03,,19565814334.0,,17669047466.8,4880995.01,625593534.86,191198787.41,19244481733.77,389325954.55,442902669.63,2015-12-01
20,601136,首创证券,73090000.0,,105004500.0,,-8075600.0,,132758000.0,,148534400.0,88113600.0,90610800.0,2015-11-17
21,300326,ST凯利,26317973.9,-9.581423806611,84787709.96,50.4991651916,33487470.45,11559398.24,11816046.9,608157.01,59395181.67,29069356.47,29879094.5,2015-11-05
22,600540,新赛股份,7804709.65,32.488881613414,297456041.16,-7.8429596746,279146750.21,8545534.57,21083752.22,17762047.81,312410601.72,-6429249.43,8516469.51,2015-10-28
23,002591,恒大高新,10314439.44,-50.12206495202,115740640.49,-22.6689347627,76432574.46,5577369.74,17200095.16,1129807.83,107920208.76,10615814.51,11757675.86,2015-09-30
24,300180,华峰超纤,56734249.59,38.063822488073,465572612.51,29.4601395355,331208778.84,9963479.6,47484229.88,-2730426.6,390844057.26,74728555.25,75777585.97,2015-09-17
25,603277,银都股份,48409437.92,,305086011.67,,202989601.98,17341072.29,27730029.4,-469969.84,251049301.54,54768411.76,56665230.97,2015-09-15
26,300632,光莆股份,10681514.4,3.386483060651,101542196.16,-11.2259267251,69367541.58,6671938.27,14402237.75,49036.87,92145694.63,9909675.85,12275844.07,2015-09-09
