序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,002586,ST围海,496553666.42,326.955098804,73538688.34,14.8098168059,45894665.58,9.2426395541,378251572.32,76.175365907,2025-11-29
2,300343,ST联创,-232844262.85,-418.9603855389,-44807260.73,-19.2434463197,-201476932.08,-86.5286220128,13649900.94,5.8622449069,2025-11-28
3,300237,ST美晨,-289026147.46,-595.3321812211,-122506732.61,-42.3860379715,-364679587.37,-126.1752926422,198180126.56,68.5682345011,2025-10-31
4,600360,*ST华微,210958512.32,85.4924625091,423439353.42,200.7216247229,-186990699.3,-88.6386129877,-24919806.0,-11.81265725,2025-04-30
5,600293,三峡新材,-283352587.89,-1860.5109669434,476555254.33,168.184542756,-302190622.01,-106.6482661268,-466667020.62,-164.6948150695,2025-04-25
6,002122,ST汇洲,-256718400.95,-536.9143993485,-67360799.06,-26.2391783412,-4869243.22,-1.89672544,-179968858.23,-70.1036067395,2025-04-25
7,603869,ST智知,-168083991.26,64.6555012367,-641149209.79,-381.4457313774,191179987.65,113.74074724,281885230.88,167.7049841373,2025-04-04
8,300437,清水源,-2648985.12,98.3003107533,84705030.81,3197.640868968,-412537724.21,-15573.425501537,324189118.19,12238.2385519025,2025-02-28
9,002808,*ST恒久,-40243621.93,-271.1591216797,-35016238.51,-87.0106536904,-64318565.79,-159.8230047531,50847289.17,126.3486901314,2024-09-03
10,300376,易事特,-66140283.85,89.8559932658,358103902.77,541.4308526134,-101803888.63,-153.9211547094,-321304979.88,-485.7931674571,2024-08-30
11,002569,*ST步森,-75065177.79,-26.9583802624,-47450462.61,-63.2123495967,-27614715.18,-36.7876504033,,,2024-08-30
12,300528,幸福蓝海,-378719256.58,-38.7778154924,-190504704.72,-50.3023549529,-153873885.94,-40.6300665378,-34340803.03,-9.0676147128,2024-08-28
13,300335,迪森股份,-28917607.83,52.2506763892,204837872.67,708.349991722,-118031774.13,-408.1657612341,-119293018.78,-412.5272722464,2024-08-28
14,603559,ST通脉,9761948.81,140.3896310997,-117106755.02,-1199.6247603761,-33766892.53,-345.9031919468,160635596.36,1645.5279523229,2024-08-07
15,601118,海南橡胶,1328365303.83,669.753149551,749051823.99,56.3889934365,114933175.23,8.6522265298,458860758.16,34.5432658349,2024-04-30
16,600287,苏豪时尚,28201914.4,122.7159093817,107738777.44,382.0264678202,10619755.3,37.6561503924,-94531484.56,-335.1952751122,2024-04-30
