序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,002726,龙大美食,1431905048.71,538872423.46,2057573021.39,7836934923.08,-7.5571924141,496994318.92,,4370241197.7,-13.2192626279,55.7646738246,3466693725.38,2026-01-31
2,688270,臻镭科技,1629219865.36,247309300.62,88464408.64,2148700791.5,4.7096417508,25691288.2,,59599181.47,23.4396409949,2.7737310707,2089101610.03,2025-12-25
3,603887,城地香江,887724726.53,1938169278.64,629917351.95,8159311280.87,6.8703009922,1210505307.33,,4758418404.46,13.6229471694,58.3188732561,3400892876.41,2025-06-30
4,688246,嘉和美康,618345584.94,412786738.47,557170481.95,2406706803.49,7.907197718,252498075.26,,593655097.97,25.5669352207,24.6666979588,1813051705.52,2025-05-01
5,603959,百利科技,596795965.89,878620843.79,546909643.98,4145327065.99,27.2010726218,1139473169.86,,3362087041.19,31.6656623275,81.1054709959,783240024.8,2025-05-01
6,688053,ST思科瑞,605957100.29,218758658.54,4910099.12,1736650969.19,316.3425498878,18226429.56,75900.0,51449784.06,-36.027839684,2.9625863212,1685201185.13,2025-04-26
7,300730,科创信息,119653667.47,251082814.22,168911337.93,801180929.69,3.3705238413,36116248.17,,283957586.66,-0.5225389903,35.4423796345,517223343.03,2025-04-25
8,002512,ST达华,230879362.92,200577374.92,277579472.39,4765733015.26,17.1625961726,832829091.06,157800.75,3292061651.38,19.1167271089,69.0777607734,1473671363.88,2025-01-27
9,000833,粤桂股份,1358166795.64,6226251.55,659883369.41,5337187354.95,0.9121265458,338128427.52,,1988811770.15,-6.6478205641,37.2632931521,3348375584.8,2025-01-25
10,600576,祥源文旅,660456510.15,275809683.86,18712283.72,3398377232.03,183.7840972702,38548760.95,50037.5,664095204.67,348.3076002814,19.5415387795,2734282027.36,2025-01-03
11,688687,凯因科技,776968126.57,277028745.07,171629604.34,2117639997.37,-1.3752067274,279822852.6,,423657364.36,-1.2788031687,20.0061089178,1693982633.01,2024-12-20
12,600590,泰豪科技,1102155920.92,4215661985.54,1891240611.54,12727303752.85,-2.91195417,1169510420.79,1505825.76,8423014511.53,-2.3058080761,66.1806669747,4304289241.32,2024-11-09
13,002097,山河智能,2567257537.86,5950012887.69,3168865001.38,21863563481.7,6.2247924326,2456394828.91,34604795.59,17109564591.94,14.7144104931,78.2560656512,4753998889.76,2024-10-31
14,300149,睿智医药,343159149.37,330079324.2,53296064.72,3470187037.38,-17.6825266239,88562265.44,,1130773989.5,-49.1339383936,32.5853902778,2339413047.88,2024-10-18
15,002628,成都路桥,122071974.87,625897188.34,66874445.14,7381778189.64,-3.4706495382,1420481194.7,1585941.7,4300489356.75,-6.1269531782,58.2581763671,3081288832.89,2024-09-30
16,603839,安正时尚,450267412.74,229142406.71,771489876.81,3000832004.07,-18.9509285135,172671713.1,,663811605.28,-13.902526868,22.1209186112,2337020398.79,2024-09-21
