序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,688511,*ST天微,14530268.21,116.7072583883,7808312.87,53.7382569761,33604209.07,231.2703976577,-26882253.73,-185.0086546338,2026-02-28
2,688316,青云科技,7072625.25,109.5109350346,-20269187.83,-286.5864811655,-72975147.1,-1031.7971689508,100434066.57,1420.0394198745,2026-02-28
3,300051,琏升科技,-221533189.19,-240.5740483913,55530150.77,25.0662896034,-623647667.46,-281.5143273747,346586552.49,156.449042131,2026-02-26
4,301152,天力锂能,-21066769.31,-102.9057010992,-364860253.05,-1731.9231424669,21519839.73,102.1506402493,322273669.9,1529.7726251126,2026-02-13
5,002829,星网宇达,-169756852.92,-109.2373339383,-207561622.55,-122.2699519812,-10600166.63,-6.2443232468,48404936.26,28.514275228,2026-01-31
6,000736,*ST中地,-3296338170.78,-194.0254418519,912882586.01,27.693839003,-69298149.41,-2.1022767028,-4139922607.38,-125.5915623002,2026-01-31
7,600615,鑫源智造,10247656.3,187.6031393262,-18032259.65,-175.9647193671,21248060.32,207.3455597842,7031855.63,68.6191595829,2026-01-28
8,300209,行云科技,2231852.14,1228.2975340772,-43141517.68,-1932.9917473834,48118608.29,2155.994450869,-2246260.22,-100.6455660634,2026-01-27
9,001331,胜通能源,-445498169.49,-2114.7738755922,-263247034.95,-59.0904863316,-234698108.49,-52.6821712329,60200864.88,13.5131565072,2026-01-24
10,001266,宏英智能,-121000596.21,13.9015619838,-130895638.5,-108.1776806065,-146163175.18,-120.7954173435,156058217.47,128.97309795,2026-01-24
11,688816,易思维,-178300321.72,,-10227595.27,-5.736161983,-162032577.18,-90.8762113365,-7168762.57,-4.0206111244,2026-01-23
12,688818,电科蓝天,-426105022.02,,-378729646.66,-88.8817608543,38179352.53,8.9600803926,-85587743.68,-20.0860678136,2026-01-22
13,603284,林平发展,-126351049.44,,143724341.47,113.7500179911,-232016272.1,-183.6282904877,-38385910.23,-30.3803651811,2026-01-22
14,688712,北芯生命,6249957.33,,22764695.89,364.2376209631,-5182140.71,-82.914817436,-11298887.49,-180.7834340847,2026-01-16
15,001220,世盟股份,-130826007.53,,72004961.51,55.0387211759,-194661668.53,-148.7943201854,-8169300.51,-6.2444009905,2026-01-15
16,301379,天山电子,82335046.48,168.3396714328,78512359.23,95.357156626,121272873.88,147.291923749,-118282401.73,-143.6598469143,2026-01-12
17,601112,振石股份,200911943.0,,142015973.68,70.6856802833,-597737707.31,-297.5122824381,644914095.03,320.9934090528,2026-01-09
18,688785,恒运昌,354121467.6,,72335731.08,20.4268133108,287026237.67,81.0530464632,-4331071.35,-1.2230468204,2026-01-08
19,300609,汇纳科技,-100605390.89,-535.4401274741,-42768136.79,-42.5107803982,-3724591.68,-3.7021790254,-54028490.46,-53.7033751194,2026-01-06
20,300500,启迪设计,16524049.8,125.3911809574,20731459.55,125.4623400494,78243123.47,473.5105765053,-82419614.81,-498.7858049786,2025-12-31
21,001235,里得电科,-46812569.28,,60706568.35,129.6800608975,-80342998.23,-171.6269785353,-27176139.4,-58.0530823622,2025-12-31
22,688781,视涯科技,,,-75425600.0,,,,,,2025-12-26
23,300831,派瑞股份,-52518141.2,-217.9701464694,-41003959.3,-78.0758007863,-7368532.81,-14.0304524144,-4104626.07,-7.8156347049,2025-12-26
24,603352,至信股份,-26725511.79,,340436744.45,1273.8268480134,-303375995.86,-1135.1550467726,-63786260.39,-238.6718012782,2025-12-25
25,603402,陕西旅游,515549981.39,,696281331.43,135.0560288166,-82438326.41,-15.9903655098,-98293023.63,-19.0656633068,2025-12-18
26,301687,新广益,-67967476.93,,5511439.54,8.1089364928,-70463795.83,-103.6728138409,-3095931.18,-4.5550185469,2025-12-12
27,688809,强一股份,-864963.43,,118498785.73,13699.8607825535,-110216943.09,-12742.381847288,-9196475.65,-1063.2213260161,2025-12-11
28,001396,誉帆科技,-14095040.08,,-83357704.3,-591.3974265194,-9457029.19,-67.0947307445,78719693.41,558.4921572639,2025-12-11
29,001369,双欣材料,-197794858.39,,173558728.31,87.7468351416,-460153931.45,-232.6420085919,86143376.57,43.5518785833,2025-12-11
30,300881,盛德鑫泰,-165131213.49,-67.3571917501,-398090983.49,-241.0755514215,-92702839.31,-56.1388954582,325774896.99,197.282445944,2025-12-08
31,688805,健信超导,-81367833.71,,-48751064.74,-59.9144189014,-16320364.15,-20.0575134004,-15418871.23,-18.9495904302,2025-12-05
32,600295,鄂尔多斯,-551025969.27,29.085989491,2201959070.57,399.6107612654,-33723029.75,-6.1200436333,-2721433530.54,-493.8848044032,2025-12-05
33,001325,元创股份,-4710205.97,,-24681394.82,-523.998206813,-33428981.65,-709.7137972928,48171671.75,1022.7083923041,2025-12-05
34,603248,锡华科技,812017.77,,34363453.08,4231.8597387345,-106340361.91,-13095.8170915398,74636272.4,9191.458014521,2025-12-04
35,301449,天溯计量,-64213898.17,,59520687.82,92.6912857127,-103961185.38,-161.8982624365,-19773400.61,-30.7930232761,2025-12-04
36,301378,通达海,-139420009.4,-324.4766637923,-122504359.87,-87.8671292573,12240601.18,8.77965884,-29156250.71,-20.9125295827,2025-12-02
37,300266,兴源环境,-322959983.14,-62.0730893615,67396099.6,20.8682509036,-5806007.26,-1.7977481927,-384505364.56,-119.0566586057,2025-12-02
38,688807,优迅股份,50052089.25,,-18342005.24,-36.6458334005,-63681424.77,-127.2303029189,136050210.1,271.8172450713,2025-11-28
39,688802,沐曦股份,648002188.27,,-1528014730.2,-235.8039460144,-151050050.78,-23.3101143043,2340386068.27,361.169469893,2025-11-27
40,688790,昂瑞微,143662573.02,,-64543092.02,-44.9268662416,149950934.51,104.3771744845,60873234.69,42.3723683979,2025-11-27
41,301667,纳百川,55367737.92,,-5307778.4,-9.5864100637,-53439644.75,-96.5176594847,112981267.39,204.0561374446,2025-11-27
42,300223,北京君正,-634537869.42,-358.6087663477,206144046.81,32.4872725088,-701317525.29,-110.5241403371,-105781253.65,-16.6705974139,2025-11-24
43,603717,天域生物,20124118.28,113.5690891722,105225410.58,522.8820916073,-61213199.64,-304.1782938676,-23938126.12,-118.9524220984,2025-11-22
44,688796,百奥赛图,-107108393.28,,100203151.78,93.5530341848,-139459649.97,-130.2042218161,-67949293.66,-63.4397469509,2025-11-20
45,300697,电工合金,5648857.96,-81.6827295684,69448782.14,1229.4304907606,-5869222.41,-103.9010442741,-58459229.85,-1034.8858169909,2025-11-20
46,688727,恒坤新材,-2279040.21,,103115420.3,4524.5107939539,-324912100.89,-14256.5321780786,220068764.01,9656.2036529404,2025-11-17
47,688981,中芯国际,-18422815000.0,-1221.3915669874,12264180000.0,66.5706082377,-29502010000.0,-160.1384478973,-1181245000.0,-6.4118594254,2025-11-14
48,688795,摩尔线程,-528055817.1,,-1414757825.19,-267.918235038,387154944.09,73.3170493635,499034485.91,94.5041167524,2025-11-14
49,688428,诺诚健华,747073377.09,-40.7206772654,-333136181.63,-44.5921634803,1358936924.87,181.9013990518,-261692786.26,-35.0290606365,2025-11-14
50,688235,百济神州,-2858277000.0,-25.1544903908,-1841136000.0,-64.414190787,-2197288000.0,-76.8745646416,1192649000.0,41.726151804,2025-11-13
51,001280,中国铀业,-1013572885.41,,-175922675.67,-17.35668724,-791429214.57,-78.0831083746,-120277004.41,-11.866635951,2025-11-13
52,000929,*ST兰黄,15679525.23,-37.7072204247,-22058785.11,-140.6852872547,35783732.52,228.2194900362,1954577.82,12.4657972185,2025-11-12
53,688347,华虹公司,851754446.72,-96.0988423819,1295515635.81,152.0996621502,-8880388750.42,-1042.5996347442,8530908355.22,1001.5689836515,2025-11-07
54,603092,德力佳,-269211026.04,,148345727.49,55.1038825089,-274000009.4,-101.7788956977,-143556744.13,-53.3249868112,2025-11-06
55,001233,海安集团,-3658800.55,,353021168.76,9648.5491334038,-296885323.22,-8114.2800533361,-66377230.63,-1814.1800768561,2025-11-06
56,603334,丰倍生物,-55530496.21,,-58674080.02,-105.6610043572,-70533723.76,-127.0179965496,71347045.58,128.4826364781,2025-11-04
57,300757,罗博特科,11069085.44,-75.5353534905,-375243411.03,-3390.0127798634,-49130555.65,-443.8537936699,439010350.05,3966.0941495994,2025-11-04
58,688429,时创能源,-359341651.32,-333.4876485275,-334061130.64,-92.9647674888,-180811633.2,-50.3174715583,155092887.16,43.1602867606,2025-11-01
59,600169,ST太重,-24733667.89,13.6500913992,397355365.52,1606.5363507232,-255154434.29,-1031.6077478875,-171391021.02,-692.9462374212,2025-11-01
60,600113,浙江东日,-323899754.51,-196.8686795804,5425167.64,1.6749526866,-216130053.72,-66.7274521547,-113194868.43,-34.9475005318,2025-11-01
61,688799,华纳药厂,-264191409.28,-817.6804682436,61664226.1,23.3407385456,-399082830.43,-151.0582162825,73565249.99,27.8454360762,2025-10-31
62,688789,宏华数科,-71644203.58,-114.7796775952,90023385.91,125.6534114577,-301634556.17,-421.017390239,148083390.28,206.6927718928,2025-10-31
63,688787,海天瑞声,43099076.69,185.8516633299,15869652.94,36.8213292692,65901415.98,152.9067930016,-52396826.02,-121.5729663929,2025-10-31
64,688776,国光电气,-90044323.68,7.0721826381,10993963.98,12.2095025324,-79406890.7,-88.1864480233,-21633639.31,-24.0255447827,2025-10-31
65,688772,珠海冠宇,-899468161.14,-283.0755552983,1658419673.63,184.3778073843,-3071832646.0,-341.516551526,497359230.1,55.2948121554,2025-10-31
66,688766,普冉股份,-30521589.48,74.5628493928,-11948335.32,-39.1471595142,-83140202.32,-272.3980098562,62810000.0,205.7887582859,2025-10-31
67,688750,金天钛业,-23828077.44,-1426.9714706739,-37374840.43,-156.8521024162,-27077095.63,-113.6352510948,40627444.69,170.5024032774,2025-10-31
68,688737,中自科技,-76575282.4,64.1013539082,26536464.75,34.6540866952,-127340619.09,-166.2946777327,24224189.21,31.6344758397,2025-10-31
69,688733,壹石通,-206496630.44,10.2920155047,-94360384.19,-45.6958469438,-205249567.47,-99.3960855597,92791924.9,44.9362900994,2025-10-31
70,688728,格科微,-238979189.0,-150.041312177,114488638.0,47.9073673649,-1339718742.0,-560.6005893676,985578017.0,412.4116502044,2025-10-31
71,688716,中研股份,-72045995.59,-109.9237183548,16904544.44,23.4635447835,-123848406.56,-171.9018601184,34897866.53,48.4383153348,2025-10-31
72,688711,宏微科技,-70751739.34,-132.3949211368,76059434.57,107.5018582999,-126208242.74,-178.3818234256,-19421400.78,-27.4500683109,2025-10-31
73,688710,益诺思,325605808.16,392.0080674543,-99312083.69,-30.5007101228,-187163922.24,-57.4817517223,612588055.26,188.1379385465,2025-10-31
74,688709,成都华微,698263855.2,814.631280076,-77455921.33,-11.0926436695,-258665508.16,-37.0440924636,1034385284.69,148.136736133,2025-10-31
75,688699,明微电子,-135484711.5,50.702673282,-80316784.51,-59.2810684104,8282560.77,6.1132807372,-62814915.26,-46.3631022014,2025-10-31
76,688696,极米科技,-120162397.91,-139.6407774507,52137032.75,43.3888085265,-15603075.93,-12.9849904807,-154844012.45,-128.8622856594,2025-10-31
77,688685,迈信林,13482328.34,112.7826457584,65401401.6,485.0898149837,-808374447.08,-5995.8074502731,756176982.52,5608.6527745845,2025-10-31
78,688680,海优新材,-194960974.36,-5.7417654502,112379650.93,57.642126225,12002726.93,6.1564766843,-319514164.25,-163.8862163563,2025-10-31
79,688679,通源环境,-64946191.23,34.8852991258,-162773293.79,-250.6279286087,-31449043.43,-48.4232298067,129276145.99,199.0511584154,2025-10-31
80,688671,碧兴物联,-4075568.78,97.6265597109,163401124.64,4009.2839419582,-66965315.34,-1643.0912825866,-100511378.08,-2466.1926593716,2025-10-31
81,688667,菱电电控,160668606.43,101.2047277199,137446110.9,85.5463391101,39194590.82,24.3946790172,-15972095.29,-9.9410181272,2025-10-31
82,688659,元琛科技,71487555.59,228.6983571714,39230328.43,54.87714345,4440585.13,6.2116897037,27890591.69,39.0146109485,2025-10-31
83,688628,优利德,-171456550.37,-161.9347997531,171770955.62,100.1833731341,-271699038.6,-158.4652426598,-71250605.87,-41.5560710374,2025-10-31
84,688626,翔宇医疗,57359133.18,-21.994762025,92978705.37,162.0992163152,-186978378.01,-325.9783885214,151233716.66,263.6610915744,2025-10-31
85,688623,双元科技,-672132805.18,-145.4749012256,-6304084.45,-0.9379224465,-487674305.28,-72.5562420881,-178154415.45,-26.5058354654,2025-10-31
