序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,002775,文科股份,277688726.41,441077140.95,937367174.82,2018512642.01,16.2376979642,223748372.59,57631053.05,761467978.94,14.973503954,37.7242115354,1257044663.07,2019-04-23
2,002323,雅博股份,67731777.68,298084676.92,813203320.44,1549983703.06,80.0436855599,543352015.74,98353337.81,1058859994.49,213.7496344615,68.3142662984,491123708.57,2018-08-31
3,600187,国中水务,52462717.12,223872358.01,95422270.91,4118371307.39,-1.1892760687,75641841.19,15815243.43,1392383738.53,2.6905952838,33.8090870056,2725987568.86,2018-03-29
4,603709,中源家居,,,,370736700.0,,,,241932300.0,,65.25717578,,2018-02-07
5,603871,嘉友国际,118284454.75,50037997.91,5353770.74,564737515.15,,69657468.07,136973659.27,235094687.2,,41.6290189501,329642827.95,2018-02-05
6,300594,朗进科技,19514153.42,161507029.98,52896544.34,344685281.07,,78289587.37,1733316.3,196102734.25,,56.8932719266,148582546.82,2017-11-29
7,002915,中欣氟材,,,,447719900.0,,,,192013600.0,,42.8869925147,,2017-11-14
8,000713,国投丰乐,115482220.25,100869555.77,621001459.37,2030700449.38,7.9031239844,81630726.32,304866193.08,737237596.65,23.9604149657,36.3045961247,1293462852.73,2017-10-21
9,002490,山东墨龙,564973082.82,433573899.03,813288892.87,6057565196.73,4.1913385105,825672043.28,98742292.48,3769689474.43,21.3966532925,62.2311003184,2287875722.3,2017-09-30
10,002181,粤传媒,446270656.18,399453358.25,95058361.1,4216203628.34,-15.1211878647,213993878.67,104299337.69,742641859.18,2.9988396802,17.6139941199,3473561769.16,2017-08-23
11,002715,登云股份,61634835.54,96053580.3,157153303.74,666794789.04,-5.9967952278,35510828.97,202154.22,222852632.08,-4.6906269891,33.4214717546,443942156.96,2017-06-10
12,300056,中创环保,302326843.05,374237474.39,450913737.23,2920456943.26,88.2301706622,212289094.7,270892765.72,1428229955.21,75.0618296086,48.9043318549,1492226988.05,2017-06-08
13,002194,武汉凡谷,618156137.31,440262628.89,661609368.13,2640500337.59,8.3865385328,249114758.48,1404861.67,540155919.45,32.6721438092,20.4565745272,2100344418.14,2017-04-26
14,600864,哈投股份,10283887037.99,77294156.21,113927403.72,24353782440.94,376.851250867,222821484.06,83940412.34,10615854665.62,516.6045170442,43.5901679395,13737927775.32,2017-04-22
15,002229,鸿博股份,696770549.37,168293585.54,190046616.65,2494635496.09,65.0515029877,180387897.73,7576450.85,688814395.11,11.9070447595,27.6118253023,1805821100.98,2017-04-15
16,600764,中国海防,155009645.74,75104821.13,64325224.1,901799779.94,-33.13715371,73535565.06,233194.0,267525040.25,-56.91601532,29.6656803651,634274739.69,2017-04-10
17,002215,诺普信,325320594.7,366686208.11,284396355.4,2836246928.88,1.247738299,276427190.5,98228039.74,1091703294.97,2.5540577232,38.4911230349,1744543633.91,2017-04-08
18,603890,春秋电子,71202923.91,529093060.47,154560230.81,1040209289.29,,404711780.33,8637290.99,650187475.93,,62.505447954,390021813.36,2017-03-31
19,300962,中金辐照,43474792.9,24822627.15,1089291.47,741769401.48,,10095297.83,2614069.81,237676395.64,,32.0418171963,504093005.84,2017-03-31
20,300781,因赛集团,132955842.61,60839266.56,,253227301.38,,21536815.33,10749106.18,54572276.84,,21.5507082146,198655024.54,2017-03-31
21,601528,瑞丰银行,9818947142.31,,,105945649317.45,35.5952962574,,,98360906808.43,38.7928110671,92.8409117714,7584742509.02,2017-03-21
22,603733,仙鹤股份,98379671.06,460883177.41,517035134.28,3459625632.43,,259137120.41,27114385.19,1541202386.56,,44.5482416396,1918423245.87,2017-03-17
23,601990,南京证券,8319281700.0,15832100.0,,29389530500.0,,10115800.0,,20107416700.0,,68.4169374533,9282113800.0,2017-03-17
24,300725,药石科技,82674231.07,24091176.05,67226356.56,284857291.92,,14021814.04,5297052.12,39214693.87,,13.7664349772,245642598.05,2017-03-17
25,300633,开立医疗,186318560.19,194365858.18,178327750.28,940382128.54,,49089335.91,24376277.93,308559031.77,,32.8120901499,631823096.77,2017-03-16
26,001289,龙源电力,3453878078.83,5459587745.09,1314008470.08,137779776770.78,6.0383203023,7017196110.38,421269584.45,90581997009.19,4.9004728777,65.7440439607,47197779761.59,2017-03-16
27,601068,中铝国际,3850318711.54,11373004538.76,7352549962.69,37857626632.42,19.9465234028,8850670293.54,3366059498.61,27992452938.65,22.6204758352,73.9413836225,9865173693.77,2017-03-10
28,600025,华能水电,1372050230.16,2077035355.32,59774238.59,160418445118.9,3.9787412457,164226367.19,8970219.97,125179996721.31,4.6004522333,78.0334185564,35238448397.59,2017-03-09
29,300631,久吾高科,96772414.4,138953513.18,114137323.35,553487333.43,,62839850.46,38836062.12,171350700.84,,30.9583779954,382136632.59,2017-03-09
30,002857,三晖电气,27533368.14,163641671.45,48857407.84,286637069.62,,38702797.16,7435042.5,73823519.14,,25.7550494909,212813550.48,2017-03-08
31,603656,泰禾智能,147946653.52,94761281.64,86003790.21,482187896.27,,70694141.73,10295342.06,121049050.49,,25.1041246424,361138845.78,2017-03-07
32,300773,拉卡拉,3585323691.57,37634117.23,47057299.54,9881219952.6,,285078629.25,26876143.56,8132629898.59,,82.3039051615,1748590054.01,2017-03-03
33,300737,科顺股份,536954639.84,572667446.33,132995016.91,2043441643.98,,179678322.22,42013274.41,810658237.96,,39.671220382,1232783406.02,2017-03-03
34,603517,ST绝味,566777988.83,1911749.18,311872030.38,2025579533.25,,181560663.96,146505799.5,667804363.59,,32.9685580165,1357775169.66,2017-02-27
