序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002396,星网锐捷,-10114103.6,2.745907706018,713367453.87,44.360548387,447315024.34,167978927.08,182681613.5,-1301249.39,800549774.86,-85209670.57,-30307333.39,2022-09-24
2,600172,黄河旋风,100844720.17,73.831408289064,530438960.4,29.5297689549,303725769.67,9365883.08,57103742.54,33103189.25,420674166.77,113195264.72,114841733.68,2018-09-26
3,002175,东方智造,3226734.43,485.000355343993,111516880.68,97.6312993365,71092250.39,6135281.3,16974835.59,8673274.34,105225250.22,4733054.67,6877792.27,2018-07-07
4,002188,中天服务,8390389.44,304.290941550168,104347528.0,356.7503291734,56246602.39,11305989.68,23384297.51,-1029677.31,93596126.93,11333450.09,11341649.86,2018-07-04
5,600022,山东钢铁,-331535062.77,-75.248897006242,10600672140.87,-15.457255713,10313783963.96,72009592.24,346915757.48,171928236.63,10923588856.59,-317046576.82,-318105612.25,2018-05-04
6,300288,朗玛信息,14981674.96,16.481982544648,90069170.41,43.197924685,35897553.57,7382713.07,31953939.38,-1526219.9,74257215.13,15235040.77,16570731.53,2018-04-20
7,688168,安博通,-1335465.76,,10469807.41,,5878226.66,954578.91,5950655.02,-37746.8,12914833.68,-2445026.27,-1351166.19,2018-03-19
8,300275,梅安森,-20747132.72,-82.142225351206,17575825.69,-51.8109883798,11371387.85,9270289.37,14535288.56,2370883.87,41426549.55,-22323583.58,-21854727.51,2018-02-27
9,000755,山西高速,-142163244.85,-50.503148304356,806409297.23,-7.9725686068,853807191.88,7739236.65,48812300.42,40815921.32,952254316.72,-145845019.49,-145336509.93,2017-12-14
10,600110,诺德股份,8831214.82,24.60292981558,358008428.52,10.4419050096,275228438.58,13251321.48,40824414.6,39790426.46,344452907.47,5062813.8,7787280.26,2017-10-26
11,000713,国投丰乐,14190882.97,-30.039746379166,231140227.66,21.0823791389,173170801.91,19637911.5,25926922.58,-575210.33,218512890.46,13723731.73,14191272.63,2017-10-21
12,002490,山东墨龙,-58287789.22,-199.597014601379,383768219.17,-29.3924726656,399594870.1,14129679.48,28534631.97,13828368.23,459640500.99,-75872281.82,-65989683.08,2017-09-30
13,300189,神农种业,-3949067.18,62.771954927599,93061303.39,-10.2205573547,71672129.59,16601469.42,15436692.5,-5763945.93,97946249.6,-5094672.17,-1737499.0,2017-08-30
14,002625,光启技术,8647568.53,6.531441356663,97107668.99,2.4764176841,69376969.52,4468427.83,14415099.57,356051.36,88228692.54,10146205.0,9850251.66,2017-08-30
15,002181,粤传媒,-52228814.7,-1354.31633440386,232689138.07,-20.823056936,191936727.3,73208647.82,27883656.26,-1007638.47,293755405.79,-53494509.06,-52889165.47,2017-08-23
16,603129,春风动力,15750796.52,,245362059.81,,167998956.68,20326669.75,31900606.41,3419161.87,228260640.0,17101419.81,17826872.01,2017-07-31
17,601949,中国出版,-4008300.0,,464918775.65,,316248261.01,71194699.22,155968029.96,2242612.93,598069626.27,-66867842.32,-11194694.71,2017-07-31
18,300693,盛弘股份,23945961.61,,115696898.25,,56766348.28,16459209.63,13818523.98,360739.58,88191174.44,27513501.58,27953005.65,2017-07-31
19,300688,创业黑马,-3959515.38,,24248806.49,,11715768.15,5577922.19,9702887.24,-613575.68,26801722.55,-2525202.81,-2465645.8,2017-07-27
20,603978,深圳新星,19989114.03,19.550231842605,152038590.44,-7.0048160937,115261118.93,4444092.93,7466873.12,1175030.89,129446757.33,22591833.11,23578557.11,2017-07-24
21,603359,东珠生态,14404611.33,,122064275.98,,89902888.17,,13069708.69,1905277.59,102451380.94,19651294.55,16625593.96,2017-07-24
22,300687,赛意信息,13835288.85,,135027695.06,,98211003.69,3763873.43,16487011.89,186803.64,120187805.07,15008670.76,16359861.63,2017-07-21
23,603860,中公高科,1747291.3,,18956410.11,,7506246.68,681104.69,10173702.48,-75738.52,18355653.31,600756.8,1562966.74,2017-07-19
24,300686,智动力,12929377.12,,160521072.55,,123818825.01,4890303.95,14470598.17,1610783.15,145642578.56,14878493.99,14887386.94,2017-07-17
25,603357,设计总院,53270613.51,,245178027.74,,145688505.95,6958418.79,22407289.65,129807.87,179035146.37,65530594.67,65629475.6,2017-07-12
26,300682,朗新科技,-32070799.36,,58828087.69,,35361952.4,14033738.87,44226491.96,-1320945.86,92755609.39,-31991233.09,-30416007.87,2017-07-12
27,300681,英搏尔,15396219.39,,93682097.37,,68078870.95,3892733.09,4785814.34,-45314.3,75856478.9,17825618.47,17859836.1,2017-07-12
28,300680,隆盛科技,6526638.83,,50627787.16,,33836035.84,2098309.85,6101756.96,729653.65,44108703.85,6519083.31,7699404.54,2017-07-11
29,688223,晶科能源,479338092.03,,5860602451.68,,4785112373.25,263737297.68,170472237.89,-37511795.74,5225112879.08,635489572.6,666107945.86,2017-07-10
