序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,600127,金健米业,-23579365.98,-210.48,6440916326.14,17.3554556386,6180314955.5,140407929.34,83323014.93,24754413.66,6454452792.36,-25900144.0,-26287352.35,2026-03-04
2,002726,龙大美食,-661559883.47,-173.03,19509959768.79,-19.0513145121,19144365402.24,237283829.79,285641586.12,73503800.86,19764069431.39,-899301318.08,-904217273.46,2026-01-31
3,300500,启迪设计,124186946.73,267.9,2293537837.02,22.915465151,1806923432.01,37441125.74,121680145.6,15037535.81,2093946076.65,135890070.75,139598729.77,2025-12-31
4,688270,臻镭科技,98844243.08,28.48,190580502.14,25.2796521273,21985817.38,6184743.34,18424014.33,-395898.11,88631708.64,95853593.13,98844243.08,2025-12-25
5,600592,龙溪股份,298161839.36,99.28,1424703621.93,22.9565097102,1044712332.82,27884855.94,79448898.53,9607457.71,1286254796.1,331107738.44,331771295.19,2025-12-25
6,600368,五洲交通,701738628.22,24.37,1830660433.5,6.2549161705,865075801.38,94235700.07,87902091.97,86991171.99,1150511928.75,803991203.71,807763024.43,2025-12-20
7,002586,ST围海,-93514101.65,77.21,2581351747.28,20.0269041372,2207519155.87,45904.75,101253156.41,108490808.11,2451123401.62,-181345774.47,-92792527.66,2025-11-29
8,002463,沪电股份,1063500828.0,-20.8,7418710047.0,-0.5538086913,5402670721.0,222263567.0,152147305.0,-72494858.0,6172199887.0,1193436122.0,1199256168.0,2025-11-28
9,600193,*ST创兴,22703290.26,-65.79,745900683.62,-31.941212381,657055785.32,3069545.37,28050963.22,5220747.15,694000802.94,39371344.77,40964673.89,2025-11-27
10,300237,ST美晨,-454595801.33,-964.09,2075544445.9,-32.302531907,1723694033.0,166914921.65,187750729.03,267255980.45,2476170496.38,-477005461.3,-470473984.09,2025-10-31
11,601777,千里科技,55642068.6,-4.24,3977224819.19,9.3513565405,3337962708.06,148555614.23,417297253.11,140799480.26,4212501673.26,109836043.76,104344559.21,2025-09-30
12,300366,ST创意,-21727373.9,97.21,1866876728.44,-6.9571958279,1455454477.42,62231602.41,145604661.53,35855890.87,1889118618.46,-48963482.97,-49484442.71,2025-09-12
13,600267,海正药业,487176911.02,16.71,11572039167.66,1.9168208456,6626576550.0,2497905245.68,996179079.28,331253129.2,10932530923.39,700069579.47,644191200.01,2025-08-26
14,000903,ST云动,64358797.05,-68.16,8209959073.85,-19.8687669664,7440852509.21,215072559.75,211699486.55,98029507.8,8219038454.8,50048971.55,49127980.1,2025-08-13
15,600423,柳化股份,28814887.69,126.6,111803957.75,4.3718707228,86107810.06,379935.35,11979513.48,-13456154.17,85796089.4,28312899.73,28814887.69,2025-07-26
16,300460,ST惠伦,104074374.85,478.08,629860484.03,68.978953048,335655124.23,18658142.85,69898722.23,18899390.15,477167079.92,124482518.07,124471177.8,2025-07-15
17,300128,锦富技术,-345664032.82,-1646.32,969842290.33,-28.9093232981,784915708.76,42768079.17,116642712.7,29432402.32,1033809624.04,-290849871.05,-283548865.46,2025-07-03
18,002538,司尔特,397222630.55,54.87,3989985271.61,5.2306427629,2848287625.62,96476832.96,210731658.67,30685734.42,3360067385.24,567683334.53,485062449.22,2025-05-21
19,600156,华升股份,-70230557.04,-311.33,923955466.32,1.1402629977,889894282.05,24000625.34,92447101.71,3501376.72,1033597148.62,-93662674.67,-89109438.78,2025-05-14
20,688246,嘉和美康,49606571.09,133.42,651940181.42,22.5827042885,318085448.04,104680341.57,64652905.42,4754412.86,625075433.07,26571948.69,26428436.8,2025-05-01
21,603616,韩建河山,29359348.14,-7.3,1517517970.83,55.3335440533,1254484304.84,10031455.97,110163359.95,24629424.45,1449840485.2,39717934.45,36798135.11,2025-04-30
22,601212,白银有色,34100809.48,12.02,72279980189.03,17.6763300887,69137089466.51,308967680.95,1007971330.7,693567414.67,71498154694.16,1077971871.72,1063762597.26,2025-04-30
23,600125,铁龙物流,337309952.61,-15.8,17378620714.14,20.6927987258,16620354358.19,63050006.95,141976968.97,32078707.93,16898595845.55,488313230.3,489571554.77,2025-04-30
24,300472,*ST新元,-275913199.1,25.53,684405860.94,54.5785444257,466609072.31,18788048.35,72273712.05,12460689.8,645455114.3,-305867526.2,-299956010.94,2025-04-30
