序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,300128,锦富技术,-87392885.82,-265.3248086351,59618946.49,68.2194505086,36668173.04,41.9578466782,-183618730.41,-210.1071828526,2025-07-03
2,300959,线上线下,84635613.28,429.6897448431,10361510.53,12.2424947708,-591630974.34,-699.0331273228,665905077.09,786.790632552,2025-04-29
3,300152,ST新动力,-165064670.49,-3348.2216012011,321989.37,0.1950686171,-140585648.0,-85.170041283,-24801011.86,-15.0250273341,2025-04-29
4,688053,ST思科瑞,-16412429.72,,10469517.07,63.7901715262,-28318151.94,-172.5408877486,1436205.15,8.7507162224,2025-04-26
5,002512,ST达华,-149427347.11,-9.3087791505,-43180230.62,-28.8971406206,48861214.52,32.6989774395,-154768211.58,-103.5742215687,2025-01-27
6,000833,粤桂股份,-92299517.26,-4.7638882954,74761461.62,80.9987569159,-301256318.93,-326.3899182499,134235888.03,145.435092203,2025-01-25
7,002178,延华智能,-69767613.67,3.840627792,-101709432.62,-145.7831610826,-5553430.2,-7.9598970179,37495249.15,53.7430581005,2025-01-18
8,600576,祥源文旅,-10653363.76,74.1377514254,3707287.61,34.7992211054,-13984098.0,-131.264625099,-354805.16,-3.3304519398,2025-01-03
9,002569,*ST步森,-16061697.46,57.2698592945,-16128884.63,-100.4183067834,1153612.9,7.1823846942,-1038000.0,-6.462579703,2024-09-07
10,300335,迪森股份,-399790535.66,-86.6623347249,58360013.53,14.597647599,-319347499.43,-79.8787042076,-138721373.27,-34.6985135706,2024-08-28
11,300277,海联讯,-25664767.45,69.8940993501,15153035.43,59.0421692288,-14098519.63,-54.9333620788,-26719283.25,-104.1088071499,2024-08-02
12,300398,飞凯材料,-437921992.35,9.2906965179,154144819.64,35.1991501529,-529259918.51,-120.8571224455,-61851813.26,-14.1239340203,2024-05-14
13,688151,华强科技,-9586304.24,94.0762573931,61066110.76,637.0141112901,-9035578.38,-94.2550763442,-61415821.66,-640.6621375914,2024-04-27
14,002799,环球印务,-31616747.42,-286.6317083722,966233.16,3.056080207,-56503514.72,-178.7138758121,23920534.14,75.6577956051,2024-04-26
15,300816,艾可蓝,-80104341.96,-221.009132786,12315840.27,15.3747474465,-195901048.27,-244.5573404346,103550889.47,129.2700082621,2024-04-24
16,000581,威孚高科,531062209.58,-40.1725095889,80191609.17,15.1002288853,951130720.49,179.0996804766,-496851948.29,-93.5581442865,2024-04-16
17,688579,地纬智能,371524834.24,367.8974024121,-53405178.1,-14.3745917307,424930012.34,114.3745917307,0.0,0.0,2024-04-13
18,600353,旭光电子,-34551134.42,66.2802470295,13209013.81,38.2303331909,-41605795.22,-120.4180294466,-4580910.2,-13.2583496227,2024-04-13
19,603843,*ST正平,-173820865.7,-25.4212855792,-424701149.21,-244.3326625372,-107011994.19,-61.564527227,357892277.7,205.8971897641,2024-03-30
20,600982,宁波能源,79158632.17,-73.4621255186,166858730.02,210.7903148979,-408805619.21,-516.4384578198,320061649.89,404.3294345999,2024-02-08
21,301206,三元生物,90963556.32,-0.876120723,273269405.35,300.4163605792,-187824714.23,-206.4834773711,6400000.0,7.035784724,2024-02-05
22,002570,贝因美,-30105583.47,-130.6732677553,36335620.3,120.6939581032,-32528885.36,-108.049343712,-35746629.69,-118.737541578,2024-01-31
23,688659,元琛科技,-4690537.58,-14.9375748047,44896726.44,957.1765639707,-194476644.76,-4146.1483133454,144828917.58,3087.6827039514,2024-01-27
24,688260,昀冢科技,29605067.77,70.7988825838,-28836174.52,-97.402832326,-177060892.32,-598.0762945573,235502134.61,795.4791268833,2024-01-18
25,300008,天海防务,-150956991.26,-466.7221962819,-150216770.32,-99.5096477919,-8186852.37,-5.4233012341,7446631.43,4.932949026,2024-01-17
26,603011,合锻智能,-92506035.7,-3334.9751511893,-48991835.11,-52.9606903369,-102906688.91,-111.2432157873,59622134.63,64.4521562067,2024-01-16
27,300952,恒辉安防,82053299.31,963.5941896598,35773457.45,43.5978293997,-283669150.22,-345.7132773519,331150631.63,403.5799101495,2023-10-24
28,603880,南卫股份,-59370823.54,-167.5781543151,-30602512.86,-51.5446999643,-134023872.84,-225.7402960727,107603554.64,181.239787869,2023-08-31
29,600530,交大昂立,-31610027.61,51.8147774094,39080452.35,123.6330851468,7174201.3,22.6959665727,-77784236.64,-246.0745608947,2023-08-31
30,002513,蓝丰生化,-86297489.79,-16.6712717851,44283807.14,51.3152899902,-85638937.49,-99.2368812794,-45085549.19,-52.2443344525,2023-08-31
31,688130,晶华微,182883003.94,,36656626.18,20.0437576977,57595.67,0.031493178,146167127.0,79.9238441249,2023-08-30
32,603042,华脉科技,-155873221.22,-21.866643483,-56320111.84,-36.1319997105,-17542003.77,-11.2540201792,-81651017.16,-52.3829664396,2023-08-30
