序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,300343,ST联创,201402236.61,553.593087153146,2330939606.79,141.6535180066,1817662274.8,101215825.86,84536037.91,2409351.58,2076069370.38,270705087.52,285624378.8,2025-11-28
2,600169,ST太重,-1922184650.62,-21261.6779774291,3525517570.14,-48.9423068225,3422768041.7,294546712.29,621633845.33,590601229.54,5495783268.23,-1969090912.77,-1945139350.04,2025-11-01
3,300237,ST美晨,175209066.55,81.86,2224541569.45,55.5024194783,1477473023.77,144772535.83,229997786.43,66698221.38,1984335305.45,257792596.56,249993778.51,2025-10-31
4,603559,ST通脉,42535482.8,5.05,494189210.06,20.8693090557,399489212.63,6414159.48,26925825.82,1696922.8,436953084.28,57236125.78,57673520.2,2025-04-29
5,000752,ST西发,7974252.92,-51.540565557445,357452937.34,-8.5393391696,268505470.51,13126517.65,21480269.47,-9353573.28,296865306.75,45806491.7,46221540.44,2025-04-25
6,300437,清水源,39300687.3,0.46,461250396.59,15.8822837143,341120045.05,33550264.49,37854549.42,-908758.59,417689763.96,46157510.39,48330348.51,2025-02-28
7,300376,易事特,471644994.42,68.998103442379,5245363789.36,42.4447360911,4339973261.27,165552179.71,224303302.75,33588080.88,4837392919.21,506681619.7,542485984.55,2024-08-30
8,300528,幸福蓝海,112499091.38,5.069577146077,1538052459.93,7.012219653,878608240.53,383506804.06,109357462.67,-3097568.64,1459362931.2,82607218.13,122552772.91,2024-08-28
9,002581,ST未名,417695144.79,66.908579838662,1264879436.13,47.3727690472,299345213.38,408649529.28,119074612.26,-6154061.61,837848141.1,447211061.51,456561067.76,2024-08-02
10,000547,航天发展,244020381.11,12.99021266758,2042099952.94,51.5477672055,1249640068.5,45475578.33,407375640.97,3254438.16,1726405163.39,323456691.18,329230797.77,2024-06-29
11,600594,益佰制药,373033839.32,96.975144182624,3686822776.39,11.6366800918,867808675.32,1836938577.37,390469420.34,59446167.69,3222765918.86,460778807.15,480190903.38,2024-05-18
12,601118,海南橡胶,61305465.42,106.194265666048,8876506775.8,5.6711706818,8343970021.94,207539775.94,608166692.73,137229997.81,9356507267.18,-166642204.57,88077285.03,2024-04-30
13,600624,ST复华,38154988.37,-26.974288516492,671241849.76,-6.4670543517,435570786.73,53326504.75,121344097.03,8050703.38,631628407.82,45604239.39,77865280.15,2024-04-30
14,600287,苏豪时尚,-81783209.45,-85.775249052796,3912689492.2,-9.9412865466,3532024415.46,264492124.0,127212697.52,-11674773.51,3948501277.06,-19181213.09,-13472664.63,2024-04-30
15,300091,*ST金灵,26971785.74,39.464732962673,912896534.9,4.8243031898,662824800.14,45518116.97,103132948.77,45411589.86,888119202.09,22247354.5,32824635.58,2024-02-08
16,600771,广誉远,81173170.75,3898.06925720238,866245158.02,102.1877314618,200214398.43,412324528.34,94209007.7,2653501.2,733791362.39,136044902.32,143573045.66,2024-01-30
17,300266,兴源环境,163760959.3,60.76,2012121723.44,127.5259337545,1523037412.76,40334158.59,169014189.03,14879145.13,1806074873.88,203373289.0,216168465.27,2024-01-13
18,002104,恒宝股份,146405344.51,-60.530641808076,1353352597.08,-25.6669957336,882403493.66,91706371.71,243512159.46,7625470.29,1241642053.03,130800917.79,143705894.37,2023-12-30
19,600853,龙建股份,29307233.95,16.363245015456,7579906781.24,6.2888098607,7116389110.12,21054569.08,230026303.43,105270256.72,7550246330.27,29730380.02,44591820.85,2023-12-13
20,000908,*ST景峰,340028576.32,4.914158487965,2640503629.95,7.3795076939,559256663.41,1243292995.9,285456825.28,64872966.23,2196611819.34,440692700.9,470586131.46,2023-12-01
21,002564,天沃科技,-299710879.84,-1162.53202346668,1195145239.06,-47.7802489463,979838375.11,39772376.07,232825511.12,183091352.2,1553237209.52,-345558215.91,-343356795.14,2023-11-09
22,300159,*ST新研,-3492763273.88,-25238.4366800784,912354476.42,-2.9923714694,791417675.62,53677555.18,189088494.71,36494660.94,1089654632.67,-3389316579.52,-3503726710.44,2023-07-14
23,300657,弘信电子,45368122.51,30.030966673007,1048154859.43,11.8103498799,901385019.62,14580841.57,66366359.42,22346307.29,1016724466.17,31492355.53,44172001.78,2023-07-08
24,600748,上实发展,547986623.3,5.309319105743,6249452995.51,-5.6068460126,4190690130.65,207284371.83,249382071.97,190494586.06,5497190815.55,724146970.59,836682418.5,2023-05-13
25,002197,证通电子,54395643.64,-33.332959224478,1795906799.75,59.2904781833,1365730427.77,135807317.82,143921900.01,40037270.47,1741207274.64,54149164.89,61893703.58,2023-04-29
26,002491,通鼎互联,538963416.16,110.554477785178,4143452587.77,14.8172001092,2912346579.02,170343505.31,305632830.85,109988867.14,3565294140.61,656310320.41,661107824.35,2023-04-28
