序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,300128,锦富技术,-12328256.2,90.5374218238,32450336.6,263.2191939684,-11450464.75,-92.8798409462,-32121383.64,-260.5509093817,2025-07-03
2,002569,*ST步森,-57765782.83,-131.5998986398,-28108513.83,-48.6594527988,-29657269.0,-51.3405472012,,,2024-09-07
3,300277,海联讯,-85986269.33,-325.6853964902,50032.83,0.0581869994,-83435915.73,-97.0339990095,-2600386.43,-3.0241879899,2024-08-02
4,300511,雪榕生物,232936760.02,397.946602391,210012722.59,90.158686234,-164280761.9,-70.5259066392,188834582.49,81.0668880574,2024-04-26
5,688579,地纬智能,-85157580.98,34.860575495,-60533603.13,-71.0842210798,-24623977.85,-28.9157789202,,,2024-04-13
6,603880,南卫股份,-28313205.45,-176.8265843338,-6076249.05,-21.460830568,-35770162.5,-126.3373819088,12367442.03,43.680826079,2023-08-31
7,300825,阿尔特,244520741.19,1111.2627047243,-154636660.68,-63.2407132121,-17460550.99,-7.1407238932,416484820.17,170.3269907261,2023-08-26
8,688619,罗普特,6541250.77,,-82036056.74,-1254.1341040805,-1576698.59,-24.1039312731,90154006.1,1378.2380353536,2023-08-17
9,688189,南新制药,1134615873.92,2363.3044801061,7360155.36,0.6486913791,-15787431.0,-1.3914339966,1143043149.56,100.7427426175,2023-06-28
10,688565,力源科技,-23678011.54,-62.2408425379,-18141942.22,-76.6193655635,-8787023.37,-37.1104784503,3250954.05,13.7298440138,2023-05-04
11,300322,硕贝德,123122014.31,9.4297232785,131787944.16,107.038489338,-53062321.35,-43.0973466828,42297100.85,34.353808364,2023-04-27
12,601179,中国西电,1257563452.11,147.8167295489,596304791.67,47.4174715136,296859744.34,23.605945596,377502083.12,30.0185316683,2023-02-28
13,600302,标准股份,-200385930.19,-93.6401277676,-18066610.87,-9.0159078798,-197106458.85,-98.3634223536,13662493.81,6.8180903704,2023-02-14
14,688529,豪森智能,-40895574.82,,-97608554.43,-238.6775460661,20322313.19,49.69318387,36380994.35,88.9607115443,2023-01-07
15,002396,星网锐捷,-1349248066.19,-69.3384831588,-1381275979.42,-102.373760173,-339446555.28,-25.1582020969,367999119.24,27.2743855234,2022-09-24
16,603055,台华新材,-70643931.46,70.9151652663,-132201582.8,-187.1379183856,-100930088.28,-142.871561922,161468936.98,228.5673144783,2022-07-28
