序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002726,龙大美食,306840465.9,1.26,10600625473.6,-8.6147439406,9945213669.53,108800180.41,143527571.86,28897125.22,10236104677.07,337050828.45,339211857.26,2026-01-31
2,688270,臻镭科技,40917388.92,,83738925.86,,11169992.4,2892059.99,8502379.14,-254839.92,40931262.27,39418388.92,40917388.92,2025-12-25
3,300128,锦富技术,-39292807.4,-174.06,415214864.25,-29.0636114729,337742214.76,20825497.21,53111838.77,16460996.78,454908399.73,-51764385.24,-50979499.49,2025-07-03
4,600156,华升股份,7812740.86,-64.38,491310592.02,6.0494587743,477785606.5,11773210.27,28916193.12,3181004.45,529607434.75,9763309.85,11058258.8,2025-05-14
5,300959,线上线下,39465660.21,13.95,640943096.35,49.4763556181,570396298.9,10568866.8,13955663.24,-1932654.55,599631342.97,45605704.39,45605288.7,2025-04-29
6,300152,ST新动力,-26716363.35,18.15,85453880.09,-51.1677962868,69715874.0,6656495.59,31638562.05,3678273.5,117305292.68,-26123807.04,-26716363.35,2025-04-29
7,688053,ST思科瑞,51688332.08,,110075839.86,,23902047.81,6845942.02,10049140.03,928429.86,49708841.02,60186076.39,60186076.39,2025-04-26
8,002329,皇氏集团,10504621.82,1232.13,1279389595.38,26.1946960542,993394411.58,116553922.58,73050494.56,54089074.03,1268772403.21,29722891.71,31378799.79,2025-04-25
9,300137,先河环保,94795775.32,-15.85,538722232.36,12.4756933866,278028999.4,49270035.43,65371512.23,-5563415.68,422147357.6,123646414.81,124708035.05,2025-02-12
10,002512,ST达华,-168218353.53,-955.49,1472406829.08,16.9523949307,1374894790.25,27654120.12,103371327.37,48041555.62,1609829290.31,-175279617.5,-172447026.08,2025-01-27
11,000833,粤桂股份,68352286.48,302.16,1096170795.87,-38.4905870474,869079042.51,11266958.1,63672276.62,22030062.55,1002820339.55,109420669.23,109674862.05,2025-01-25
12,002178,延华智能,-7400236.31,53.1,358287210.65,31.8997492094,313766805.67,7330747.74,37875480.91,339805.61,387943966.5,9991935.24,-7130529.75,2025-01-18
13,600576,祥源文旅,9828349.0,67.02,103817422.61,-16.7625908071,42535410.28,14811833.28,19019298.01,-2508531.39,76821378.3,11772257.03,11694426.67,2025-01-03
14,002569,*ST步森,36888811.23,195.36,131879636.84,-8.8549402574,96464561.55,23231115.2,41513127.0,49321.75,161513705.7,-2071921.66,36950950.15,2024-09-07
15,300335,迪森股份,19475565.02,458.62,604797688.83,30.3937355154,456916267.61,28858575.64,33250579.82,25919391.89,567383514.05,51721516.12,51483493.14,2024-08-28
16,300277,海联讯,7648181.27,-14.6,80945214.76,20.9187414675,60315915.86,2872095.37,10568972.76,-162944.72,80218718.0,10811147.22,10699966.91,2024-08-02
17,300398,飞凯材料,168019958.3,52.22,1202549895.8,45.0148956312,724219069.82,61593965.86,92872875.81,39206386.36,1012772954.43,205924643.91,205904521.06,2024-05-14
