序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,002842,翔鹭钨业,-124834183.87,-344.6050246505,-209470130.27,-167.7986940565,-131109984.93,-105.0273097203,215745931.33,172.8260037769,2022-12-03
2,300376,易事特,-83240821.49,84.6429346382,-166527812.06,-200.0554644694,130285025.34,156.5157851736,-44675112.49,-53.6697160003,2022-11-16
3,002396,星网锐捷,-841378437.51,32.6128065946,-632552560.76,-75.1805052946,-173882937.99,-20.6664362002,-42901215.87,-5.0989202905,2022-09-24
4,300716,ST泉为,42046232.0,225.2472220068,-7767117.02,-18.4728016056,-47566745.34,-113.129626788,96858758.14,230.362516527,2022-08-29
5,300424,航新科技,-19883459.65,86.2649394825,12102691.6,60.8681377036,-402991561.45,-2026.7678187986,368334784.83,1852.4682892899,2022-03-01
6,605069,正和生态,,,-435750500.0,,,,,,2021-08-04
7,002217,合力泰,-877576032.22,52.6165379923,50463059.33,5.7502777511,-1773460929.68,-202.0862995989,841526521.15,95.8921495407,2021-06-25
8,300201,海伦哲,-36694090.25,76.3132823686,-32115321.27,-87.5217808949,-117060482.13,-319.0172622688,112487613.25,306.5551223197,2021-06-15
9,002387,维信诺,8024493914.23,633.7606974611,161963996.93,2.0183702382,-12344782206.03,-153.8387633909,20187106074.21,251.5685884989,2021-05-29
10,688283,坤恒顺维,-15056904.78,-15.9492090399,-17955639.78,-119.2518651234,-223985.0,-1.4875899348,3122720.0,20.7394550582,2021-05-27
11,301172,君逸数码,-47852620.87,-301.3580052415,-29766711.38,-62.2049761096,-1585909.49,-3.3141538774,-16500000.0,-34.480870013,2021-05-27
12,688292,浩瀚深度,-28752965.39,-49.1159496541,-37681611.42,-131.0529571781,12495001.0,43.4563907775,-3566354.97,-12.4034335994,2021-04-26
13,300094,国联水产,-13327215.82,30.3784063277,36197502.7,271.6058866975,-66768911.92,-500.996703451,15021979.91,112.7165652068,2021-02-03
14,301152,天力锂能,-306903.76,98.4707109084,22263776.03,7254.318431941,-11486160.8,-3742.5937042935,-11084518.99,-3611.7247276475,2020-10-14
15,300311,ST任子行,-14539170.28,78.6392356979,-89425268.44,-615.0644549711,-82458239.86,-567.1454303925,157344338.02,1082.2098853636,2020-10-13
16,300226,上海钢联,-324255288.4,-809.1867553937,-589633405.93,-181.8423405951,2484548.46,0.7662322093,262893569.07,81.0761083858,2020-09-17
17,688395,正弦电气,15660027.24,386.0662997831,3328796.75,21.2566472522,22641907.35,144.5840866238,-9997500.0,-63.8408851197,2020-09-15
18,688716,中研股份,-2503679.01,-103.2694966314,-1188517.65,-47.4708477106,1134965.02,45.331890209,-2450126.38,-97.8610424984,2020-09-07
19,301178,天亿马,-56279378.67,-51.6236908472,-49791457.98,-88.4719397347,-7008617.43,-12.4532601383,490000.0,0.8706563782,2020-08-31
20,688179,阿拉丁,-36584736.88,2.374118407,4033782.52,11.0258617774,-2859733.38,-7.816738957,-37758957.18,-103.2095906658,2020-08-28
21,300682,朗新科技,-211475636.06,-115.8733647041,-120367673.13,-56.9179860964,-77536918.52,-36.6647051947,-13571044.41,-6.4173087089,2020-08-27
22,301575,艾芬达,2254145.88,145.8115045006,360041.42,15.9724099134,-14138721.3,-627.2318675311,16629063.43,737.7101711802,2020-08-25
23,688680,海优新材,24844869.31,124.8668606216,31047197.52,124.9642215164,8148423.7,32.7972089462,-13582793.12,-54.6704148471,2020-08-21
24,002366,融发核电,-122136513.56,62.8504458594,-55498558.05,-45.4397758969,-57900674.22,-47.406522859,-8737281.29,-7.1537012441,2020-08-21
