序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,600127,金健米业,20957062.67,65.54,5488382530.74,33.5998785742,5216455427.18,125416401.71,89370199.01,19793071.18,5474040418.8,33702520.8,33815971.37,2026-03-04
2,002726,龙大美食,905816886.07,276.06,24101638774.23,43.2714300847,22555039597.17,194762244.12,275243516.35,68022477.72,23110527971.0,1019001524.35,1017410129.33,2026-01-31
3,300500,启迪设计,29926468.39,-78.08,1865947327.46,48.7656883635,1390275318.93,27629477.91,104337647.78,18299871.21,1625765466.09,57633302.3,61538889.97,2025-12-31
4,600592,龙溪股份,149622857.24,2.22,1158705322.14,22.481016728,863146894.35,28298091.69,66836141.42,10361536.44,1090582221.05,157597578.22,164492120.48,2025-12-25
5,002586,ST围海,-410349054.9,-67.9,2150644279.16,-35.4088650327,1989096927.15,4355045.15,102587124.55,116236995.79,2253761930.29,-260176521.84,-406129328.85,2025-11-29
6,300343,ST联创,-152110365.57,94.07,1738388036.48,-49.8214700949,1617378285.59,72637919.27,135435606.57,23945050.75,1897817676.17,-213719449.51,-169623874.25,2025-11-28
7,600169,ST太重,45461378.63,105.438254772624,8776604518.15,24.1920297615,7129394424.64,189019011.45,486172204.96,983537332.52,9050237199.33,109408809.45,87366175.1,2025-11-01
8,300237,ST美晨,34523754.12,-41.82,3065911479.95,3.7675585682,2252281327.58,136279387.47,179101223.82,243772708.71,2953834183.58,42755406.01,40732699.56,2025-10-31
9,000711,ST京蓝,-2399698095.52,-131.46,995410211.62,-47.6488035202,1070880382.08,93275196.77,311186989.24,638639261.89,2146341685.11,-2553385810.7,-2547925950.06,2025-09-05
10,600267,海正药业,417194131.23,348.25,11354395743.16,2.5525380019,6441029671.47,2522308340.19,910454242.72,412503247.37,10761672748.74,776863601.63,904142200.01,2025-08-26
