序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,002726,龙大美食,1089228505.43,419467799.06,998092102.9,5937553915.97,-24.2362738207,347088183.71,,4305911917.17,-1.4719846713,72.5199632392,1631641998.8,2026-01-31
2,300087,荃银高科,1125704413.27,601723054.84,2074531786.07,6178893547.42,34.8276062838,570960201.94,,3606456029.32,54.3123031079,58.3673436294,2572437518.1,2026-01-30
3,688270,臻镭科技,1518238484.71,330182777.48,116866070.2,2220416922.79,3.3376508993,58039264.07,,96826679.0,62.4631020289,4.3607431562,2123590243.79,2025-12-25
4,603398,*ST沐邦,687572476.16,165875894.78,330757744.55,5365398989.74,56.8343654493,1202017582.16,0.0,3309039242.23,23.8684260902,61.6736844465,2056359747.51,2025-08-28
5,002878,元隆雅图,643495374.93,711216013.13,308950128.47,2444266603.66,53.2988642985,167770167.91,,917780502.05,63.3538922964,37.5482977461,1526486101.61,2025-08-23
6,603613,国联股份,5874004154.46,1084970555.81,668004344.7,15273705026.78,20.3580478382,379425130.91,6689026.75,7622430158.93,14.6730587143,49.9055739623,7651274867.85,2025-07-26
7,300460,ST惠伦,59565385.82,172183015.14,288600510.27,1734885527.63,-11.1987128243,121363328.31,0.0,918599523.12,-2.6993981017,52.9487109374,816286004.51,2025-07-15
8,603887,城地香江,1126777515.86,1499209440.45,575881479.59,7292147455.64,-10.627904677,751931106.22,,4491890044.7,-5.6011963872,61.5990018307,2800257410.95,2025-06-30
9,300551,古鳌科技,307285686.91,110223206.98,147792054.33,1408206507.68,-9.5544153789,31957349.84,,458078476.44,-4.7629611334,32.5292117272,950128031.24,2025-06-30
10,688246,嘉和美康,534817691.78,472801709.54,609597863.01,2690827310.92,11.8053643684,292233335.82,,885384079.64,49.1411566527,32.9037867293,1805443231.28,2025-05-01
11,603959,百利科技,514426191.34,812947080.03,782449704.09,4082389828.15,-1.5182695319,1410812147.69,,3572784674.63,6.2668702761,87.5169894358,509605153.52,2025-05-01
12,600525,ST长园,1898039963.61,3502544238.92,2720614364.33,16387941009.33,18.2342491772,2530880140.79,,10605661224.47,28.7053386698,64.7162521419,5782279784.86,2025-05-01
13,688189,南新制药,644597429.05,522624553.81,31399170.09,1695297794.0,-18.0982882124,46908896.34,,396291492.81,-47.8001437213,23.3759221662,1299006301.19,2025-04-30
14,688184,ST帕瓦,268110198.01,323716064.08,642117071.64,3908551833.53,1.2055643621,240176697.34,137900.0,1201279592.59,64.0156852034,30.7346465841,2707272240.94,2025-04-30
15,603922,金鸿顺,747985180.31,244806373.57,235339316.52,1832161077.06,49.6636030043,215371457.74,,817489278.83,308.9194320058,44.6188541535,1014671798.23,2025-04-30
16,600592,龙溪股份,283652038.51,557133729.24,490099237.17,3738301032.6,4.0549136145,165975192.99,,1317589692.88,1.319515168,35.2456819659,2420711339.72,2025-04-30
17,688333,铂力特,1178929188.71,843648386.69,643344912.27,6445025565.45,111.8264241368,454715063.71,,1676199923.49,11.3895323908,26.0076535999,4768825641.96,2025-04-29
18,605199,ST葫芦娃,251166833.49,482916842.35,309162088.2,2929239758.38,24.4907324107,206513443.99,,1836755603.88,41.5839922996,62.7041743041,1092484154.5,2025-04-29
19,301206,三元生物,101631627.34,96765307.73,125818366.87,4879388138.47,0.4245730609,54011616.58,,320010491.34,39.0292644791,6.5584143392,4559377647.13,2025-04-29
20,300959,线上线下,253391623.34,294717034.82,20391646.65,1352947385.75,1.7416645429,63621267.78,,169093726.92,15.25339911,12.4981746298,1183853658.83,2025-04-29
21,300775,三角防务,3305799738.13,1888425904.77,1022644161.33,8627310082.8,16.9570737487,759874231.63,,3024035435.85,23.3408164377,35.051892268,5603274646.95,2025-04-29
22,002570,贝因美,862833529.39,360740950.8,398693712.66,3910368608.79,0.3143321416,414005389.19,,2280629399.49,-1.0410068276,58.3226193654,1629739209.3,2025-04-29
23,002231,*ST奥维,43088933.43,92181672.73,183137022.54,552513578.96,3.7020878709,151095996.09,,240902922.77,33.3031260402,43.6012673613,311610656.18,2025-04-29
24,002219,新里程,493711477.86,1085859203.78,229994559.69,6310087095.13,8.1800696126,1498017307.63,56095354.06,4308584884.26,13.846387695,68.2809099035,2001502210.87,2025-04-29
25,000981,山子高科,1050791237.9,907411159.78,2896675796.98,15009464245.02,-15.1935358414,1584517677.17,67118982.53,11447667507.03,-7.6126587293,76.2696610629,3561796737.99,2025-04-29
26,000608,*ST阳光,112141337.37,33108883.09,5590819.94,5147652445.12,6.0992697207,56069928.43,33459344.28,2197117126.46,30.9338002057,42.6819244283,2950535318.66,2025-04-29
27,688108,赛诺医疗,199510249.15,10469612.84,122027231.36,1275418626.59,23.2559458537,24521729.12,,395630423.74,144.5244077195,31.0196523315,879788202.85,2025-04-26
28,688053,ST思科瑞,238364031.05,186461081.18,13819900.5,1831658112.64,5.4707103002,31822898.54,181344.23,110114812.91,114.0238582568,6.0117558048,1721543299.73,2025-04-26
29,000559,万向钱潮,4849093330.41,2100209809.94,3026152547.44,20814814054.01,3.9337653325,3055102614.8,,11488300959.15,5.8339643366,55.1929069813,9326513094.86,2025-04-26
30,300730,科创信息,107916602.48,210179081.33,300653548.31,915059814.71,14.2138786384,31934176.97,,551594024.12,94.2522580953,60.2795593526,363465790.59,2025-04-25
31,002639,雪人集团,358238077.32,712547903.64,851517861.57,4464798178.15,1.9406550265,311025515.78,,2002426791.61,6.4208818355,44.8492118056,2462371386.54,2025-04-25
32,002122,ST汇洲,474724969.58,130929672.89,793780548.9,3703768080.8,5.7632800028,345845961.47,,1264459601.51,11.8712250871,34.1398158288,2439308479.29,2025-04-25
