序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,600127,金健米业,146273762.15,134608311.86,677552580.79,1916761414.34,-12.5692535238,65709949.33,98436714.75,1131056690.63,-20.3304199323,59.0087364117,785704723.71,2026-03-04
2,300500,启迪设计,407689874.03,788033457.65,100000036.3,2515269676.28,11.0409773952,203932656.56,176789902.78,1004533355.74,7.8087150587,39.9374017511,1510736320.54,2025-12-31
3,002586,ST围海,881676009.15,2290495731.28,321541137.28,9813295808.6,-11.7854195728,1849356991.5,298124851.04,5927776880.36,2.5052995677,60.40556604,3885518928.24,2025-11-29
4,300343,ST联创,297419588.31,1331738835.22,117129987.04,3228219554.42,-3.1437145,856212940.23,37434423.17,2345087130.03,44.8367994492,72.6433593037,883132424.39,2025-11-28
5,600169,ST太重,5052844591.88,5475502164.73,10478878524.92,33633245062.71,7.2137298403,6069052116.27,2412902942.5,30587171126.58,11.3312264048,90.9432648249,3046073936.13,2025-11-01
6,300237,ST美晨,1150534019.36,1150980484.97,4461838213.6,9465312587.55,16.4886152608,2174499353.1,24493121.15,6776994945.7,23.3152914849,71.5982159386,2688317641.85,2025-10-31
7,000711,ST京蓝,383372540.97,1966154875.23,4354696634.5,12118205650.23,10.2162159438,1988429964.49,905195208.15,6844827094.57,5.2108856293,56.4838334332,5273378555.66,2025-09-05
8,603616,韩建河山,173106909.08,611864868.25,195507472.08,2312408250.35,1.0182067867,368118393.53,149724430.46,1578205297.53,6.7423892287,68.2494234005,734202952.82,2025-04-30
9,601212,白银有色,3207347926.52,763984458.04,9961925358.35,48526566781.5,6.1922999739,1489246529.98,1006042280.08,31942824966.88,-2.902459174,65.8254376633,16583741814.62,2025-04-30
10,600360,*ST华微,2473706887.43,453111941.02,217343260.17,5637461052.89,28.5604882122,423957422.13,3614450.75,2529301676.7,17.6815573591,44.865971631,3108159376.19,2025-04-30
11,002528,ST英飞拓,774156419.8,1553160966.07,605949673.69,6188979375.75,13.4540954392,677034940.26,196355494.53,2473992922.89,38.5518736631,39.9741665416,3714986452.86,2025-04-30
12,603559,ST通脉,289646850.21,693327172.14,290855890.78,1814433620.76,13.3500691037,353915141.44,228625473.08,944446569.78,27.5963226185,52.0518667078,869987050.98,2025-04-29
13,000676,智度股份,730194646.45,2267838545.42,443836.3,9258769774.51,17.3532449437,1062612157.91,246492495.43,2603379805.78,28.586032682,28.1179883417,6655389968.73,2025-04-29
14,600293,三峡新材,243596010.11,1333091724.58,324779216.58,6878382936.1,-1.8962650383,365666501.76,129543145.63,2845988485.52,-6.7918756344,41.3758366168,4032394450.58,2025-04-25
15,002122,ST汇洲,237798506.83,171296761.63,385267297.24,4627340599.08,-40.5807313671,247582790.42,262996315.98,2945820143.89,-32.820145882,63.6611911489,1681520455.19,2025-04-25
16,600227,赤天化,153709668.7,850838203.37,239133772.08,4682913754.74,-29.7803776452,227925418.05,155194469.79,1527786163.95,-15.5278465401,32.6246914627,3155127590.79,2025-04-24
17,600326,西藏天路,3578801158.4,1603671558.77,602521116.07,11424708266.83,33.4005347473,1439626609.86,131781801.55,5916890036.38,38.642930164,51.7902943181,5507818230.45,2025-04-10
18,603869,ST智知,758536964.01,1591068549.2,338611008.93,7072498660.45,2.0580764552,457914544.45,133535086.53,3144375257.34,7.3901867048,44.4591849119,3928123403.11,2025-04-04
19,300437,清水源,437361127.52,810454710.07,936527532.54,4601674451.89,20.0087516391,473520911.08,86219798.37,2757723212.21,23.4693540896,59.9286898941,1843951239.68,2025-02-28
20,000833,粤桂股份,1124713083.91,32636318.44,589378673.7,4375183940.65,9.5366355879,575600228.8,22128933.96,1601461632.99,26.2181424913,36.6032983919,2773722307.66,2025-01-25
21,300732,设研院,543495613.37,1143749392.17,413310139.8,4146137332.21,1.8422167597,602424736.03,290315163.44,1901469029.17,-0.8759910523,45.8612167619,2244668303.04,2024-10-31
22,002097,山河智能,1350369062.04,3699920150.74,2769929374.31,15697384807.82,9.9076561899,1622380544.45,293707433.99,10671419415.0,13.9502603022,67.9821482728,5025965392.82,2024-10-31
23,002569,*ST步森,91092358.81,65656257.27,143436700.39,616300769.61,-6.4896478189,65150760.89,25530122.67,273616127.55,-23.0512506199,44.3965253724,342684642.06,2024-09-07
24,002808,*ST恒久,188725949.7,155076288.42,89047228.92,723295021.61,5.2311208191,58002658.41,15398653.6,254307711.34,110.6686974317,35.1596103584,468987310.27,2024-09-03
25,002055,ST得润,748599948.31,2418935312.1,1537587272.34,10255845389.95,0.6103200346,2294980105.69,35617762.22,7745147328.64,9.1249612203,75.5193456429,2510698061.31,2024-08-31
26,300376,易事特,861108355.46,2952570233.59,458573826.08,12676958009.6,6.047690273,1053296555.32,383115028.22,7167377115.52,2.7875936484,56.5386199914,5509580894.08,2024-08-30
27,300528,幸福蓝海,446746536.5,404894169.46,451444454.8,2419808198.11,15.7094620816,204504612.07,151484593.75,630695147.7,45.4632197323,26.0638487047,1789113050.41,2024-08-28
28,300335,迪森股份,551399148.57,358105596.68,186352311.41,3388899349.53,-1.6729834778,335081967.13,96693777.28,1576446630.48,-13.3327059879,46.5179537037,1812452719.05,2024-08-28
29,300277,海联讯,152208334.86,43904884.18,162200849.46,815658367.81,6.5151662034,66068250.79,166557286.4,330585484.08,20.9063228352,40.5298954963,485072883.73,2024-08-02
30,002581,ST未名,1120980307.54,438254191.43,66489888.24,3425921013.3,-20.6668536692,30177022.74,3008618.57,1025141605.59,-30.439596893,29.9230951797,2400779407.71,2024-08-02
31,002092,中泰化学,4550861574.94,3406175849.51,3132419613.43,62163148985.74,2.531088949,6841049078.01,1753047442.38,40074881500.74,-1.1795709242,64.4672642146,22088267485.0,2024-07-02
32,600136,ST明诚,158899971.05,1193440982.37,1208906851.25,10476966437.95,-2.1877779943,367807921.21,299342193.87,6324751982.73,-9.1324025257,60.3681611484,4152214455.22,2024-05-29
33,002388,新亚制程,507909449.05,590213411.24,356084862.24,2158328301.22,9.4049342957,178831433.24,17870998.92,854774062.31,22.9092751975,39.6035237932,1303554238.91,2024-05-23
34,600594,益佰制药,1023385372.48,293936923.21,410550303.83,5455247678.18,-13.7727071673,139076092.27,42711205.96,1894975908.48,-26.121057631,34.7367529445,3560271769.7,2024-05-18
35,603377,ST东时,368017574.59,6829454.39,794120299.99,4491760115.65,11.5550353843,217552075.18,374742003.52,2339127167.88,19.3138867165,52.0759592599,2152632947.77,2024-04-30
36,601118,海南橡胶,3733608610.32,895065657.12,1284845579.39,16686519942.88,2.6163910383,582756146.56,234161717.25,6876192732.17,14.3796813578,41.2080694819,9810327210.71,2024-04-30
37,600603,广汇物流,2851556865.14,503939984.71,5641821970.82,16097521065.36,14.8588763702,1311920915.43,51557796.74,9320847786.03,25.7088825976,57.9023798024,6776673279.33,2024-04-30
38,600517,国网英大,5081053172.32,4215077031.12,879835312.42,33126425582.05,-2.592036701,2914540732.89,195443392.13,16524353521.38,-3.6275868765,49.8826940457,16602072060.67,2024-04-30
39,600287,苏豪时尚,822830265.35,215317631.48,307066468.03,5174448925.4,30.1877263539,262398392.2,190226249.67,2690388297.78,38.4015407219,51.9937163661,2484060627.62,2024-04-30
