序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,002396,星网锐捷,-560365209.1,2.0715135777,-76613035.49,-13.6719828865,-228993099.72,-40.8649744847,-260428395.93,-46.4747617626,2022-09-24
2,002775,文科股份,-21482437.26,-111.5110593105,-77582716.75,-361.1448543339,-37494630.39,-174.5362033935,93594909.88,435.6810577274,2019-04-23
3,600172,黄河旋风,-82811300.24,-11483.3419191765,95392066.29,115.1920885357,-671060764.94,-810.3492675458,492328048.88,594.5179552225,2018-09-26
4,002323,雅博股份,-50664147.33,-482.5675915716,-248481045.67,-490.447503343,-30947111.15,-61.0828619071,228807991.68,451.6171765206,2018-08-31
5,002795,永和智控,268273466.88,829.1540983093,69365054.67,25.8560995527,-3669738.55,-1.3679096158,202578150.76,75.5118100631,2018-08-29
6,300163,先锋新材,61168671.54,184.285153386,93235244.9,152.4231972882,-25125057.37,-41.0750417451,-10920924.34,-17.8537870205,2018-07-17
7,002175,东方智造,123918125.38,222.4927141802,41912477.1,33.8227171945,-744617441.78,-600.8946951841,826554508.03,667.016633358,2018-07-07
8,002188,中天服务,-68661486.29,-876.6481569793,-52182194.21,-75.9992202755,-16796552.68,-24.4628445837,-843074.22,-1.2278706238,2018-07-04
9,600546,山煤国际,-2111878157.24,-412.535680342,787113901.45,37.2708008155,-251463697.1,-11.9071119817,-2647585996.22,-125.3664179036,2018-04-28
10,001965,招商公路,7202923634.95,,2412661038.34,33.4955798592,-2141020757.39,-29.7243295348,6928943763.64,96.1962685543,2018-04-27
11,000767,晋控电力,1905242575.8,340.2429683664,2135130213.24,112.0660560687,-5140858658.31,-269.8269881016,4910971020.87,257.7609320329,2018-04-26
12,002755,奥赛康,-10296251.35,-108.6441041551,-4338250.65,-42.134272975,-2400460.0,-23.3139219159,-3557540.7,-34.5518051091,2018-04-25
13,002057,中钢天源,-50855991.42,-108.5781804773,13433887.65,26.4155456907,-56950531.06,-111.9839166828,-7339348.01,-14.4316290079,2018-04-24
14,300288,朗玛信息,-139606312.29,-3336.8210111842,35682008.94,25.559022622,-145152721.23,-103.9728926644,-30135600.0,-21.5861299576,2018-04-20
15,002568,百润股份,-6706093.91,-118.5796036765,-213434698.57,-3182.6977288781,-255810188.25,-3814.5929908399,462419381.65,6895.5100816654,2018-03-15
16,603010,万盛股份,-4859752.66,58.3254785011,115079128.86,2368.0038247049,-77271979.77,-1590.0393533608,-46324416.67,-953.2258102617,2018-03-13
17,300345,华民股份,-143892000.97,-459.9215554856,-117639748.33,-81.7555858123,-50678052.46,-35.2195063787,24346072.51,16.919684448,2018-02-27
18,300275,梅安森,-49742281.25,33.5436819419,-50361902.85,-101.2456638184,-20692581.39,-41.5995826287,21312202.99,42.8452464472,2018-02-27
19,002927,泰永长征,,,13040300.0,,,,,,2018-02-22
20,603156,养元饮品,-1782747637.76,,-24527761.74,-1.3758403725,-342519876.02,-19.2130321065,-1415700000.0,-79.411127521,2018-02-09
21,603709,中源家居,,,74636300.0,,,,,,2018-02-07
22,300477,ST合纵,-93113158.69,-539.6045988323,-80573551.62,-86.5329377218,-42728380.31,-45.8886594668,30188773.24,32.4215971885,2018-02-07
23,603871,嘉友国际,-4239439.36,,114601670.45,2703.2270241035,-53479686.32,-1261.4801576027,-66100000.0,-1559.1684274026,2018-02-05
24,603680,今创集团,43194841.89,,185335404.28,429.0683705985,-146378521.08,-338.87963163,4926275.75,11.4047778264,2018-01-31
25,603712,七一二,-125257086.33,,-247865618.04,-197.8855051657,39056168.59,31.180805601,83537436.37,66.6927826741,2018-01-30
26,601828,美凯龙,2591079972.7,-27.2288769595,2302968878.76,88.8806560594,-2876939470.73,-111.0324459701,3165050564.67,122.1517899107,2018-01-16
27,300739,明阳电路,34341876.45,,124512940.72,362.5688331308,-103272179.0,-300.7179271359,11075471.15,32.2506289548,2018-01-15
28,603895,天永智能,,,-78492000.0,,,,,,2018-01-08
29,300737,科顺股份,336400229.65,,-6457169.83,-1.9194903157,-125618246.77,-37.3419027985,468475646.25,139.2613931142,2018-01-08
30,603329,上海雅仕,,,-8924600.0,,,,,,2017-12-28
31,300736,百邦科技,-47285186.5,,57081459.38,120.7174246421,-79929022.81,-169.0360739298,-24438900.0,-51.6840511986,2017-12-26
32,002925,盈趣科技,103371127.39,,263010746.64,254.4334702356,-80740467.56,-78.1073686614,-88319501.7,-85.4392362064,2017-12-26
33,002921,联诚精密,-9354622.52,,61224319.89,654.4819928234,-57981451.36,-619.8160453405,-12984915.69,-138.8074790002,2017-12-26
34,601838,成都银行,-16978562000.0,,30427182000.0,179.2094171462,-39919294000.0,-235.1158714148,-7504026000.0,-44.1970645099,2017-12-19
35,002923,润都股份,,,63232633.27,,,,,,2017-12-18
36,603477,巨星农牧,-114174586.93,,-72469027.26,-63.472116877,-30166614.73,-26.4214791935,-12991002.94,-11.3781913202,2017-12-15
37,600025,华能水电,262055438.84,-41.2695464016,6003592199.27,2290.9626397548,-6756926324.11,-2578.4339199445,1012539043.2,386.383525441,2017-12-14
38,603080,新疆火炬,-39751322.03,,39369385.07,99.0391842573,-47623393.17,-119.8032939233,-31497313.93,-79.235890334,2017-12-12
39,002922,伊戈尔,,,66154900.0,,,,,,2017-12-12
40,002916,深南电路,254223001.62,,520352788.27,204.6835986335,-414836919.06,-163.1783577475,145920252.82,57.3985248739,2017-12-12
41,603655,朗博科技,-24034837.36,,12940670.82,53.8413080404,-21432838.81,-89.1740538493,-15704330.69,-65.3398666892,2017-12-11
42,300732,设研院,51226263.58,,18430386.57,35.9783932732,-22296867.82,-43.5262427157,55092744.83,107.5478494424,2017-12-11
43,002920,德赛西威,-7044748.39,,609822434.3,8656.4118480887,-374719013.9,-5319.1255834192,-245254189.07,-3481.3761328671,2017-12-05
44,603302,鑫广绿环,-61572211.09,,67711899.04,109.9715242336,-57416928.23,-93.251366507,-71867141.37,-116.7200919014,2017-12-04
45,300730,科创信息,-83371321.14,,-99361926.64,-119.179983334,-7746394.38,-9.2914377199,23736999.88,28.4714210539,2017-12-04
46,002915,中欣氟材,-6512739.15,,42474565.41,652.1766714701,25519742.41,391.8434597523,-74507046.97,-1144.0201312224,2017-12-04
47,300729,乐歌股份,-95410072.62,,12277224.04,12.8678489628,-84516946.19,-88.5828339389,-26064496.07,-27.3183903484,2017-11-30
48,300594,朗进科技,-5236088.69,,-47297272.81,-903.2939587202,-11662017.97,-222.7238433198,53723202.09,1026.0178020399,2017-11-29
49,002918,蒙娜丽莎,119481417.64,,152601726.05,127.7200497485,-6582530.76,-5.509250635,-26599850.94,-22.2627513679,2017-11-29
50,603809,豪能股份,4236483.11,,114553452.66,2703.9752003166,-142968679.38,-3374.7019796333,32658755.58,770.8930906135,2017-11-27
51,603161,科华控股,33344313.59,,34892330.25,104.6425206979,-152082516.71,-456.0973081647,154305117.82,462.7629157923,2017-11-27
52,300727,润禾材料,3826620.81,,16933340.22,442.514193613,-12472504.93,-325.9404458734,-720629.4,-18.832004418,2017-11-24
53,603890,春秋电子,26681345.11,,56218333.71,210.7027718364,-31143880.94,-116.7253030595,-472374.96,-1.7704315808,2017-11-21
54,601019,山东出版,-557102905.02,,279590004.9,50.1864202072,-198934039.37,-35.7086702614,-637845855.93,-114.493363826,2017-11-21
55,002917,金奥博,45668800.77,,18113060.56,39.6617827808,-22752377.34,-49.820395886,50160000.0,109.8342832618,2017-11-21
56,002911,佛燃能源,24815965.39,,392902740.36,1583.2659910073,-95089935.0,-383.180478799,-272996839.97,-1100.0855122082,2017-11-21
57,603848,好太太,,,109794400.0,,,,,,2017-11-20
58,603661,恒林股份,24156074.67,,200337082.37,829.3445235074,-55904925.08,-231.4321587581,-111748966.2,-462.6122734203,2017-11-20
59,300731,科创新源,-773068.22,,18545737.18,2398.978085013,4150148.97,536.841233753,-23582639.07,-3050.5249679,2017-11-20
60,300726,宏达电子,31624781.89,,32759677.19,103.588626489,-64854415.69,-205.0746655442,63719520.39,201.4860390552,2017-11-20
61,603365,水星家纺,-157278425.81,,-27230886.66,-17.3138092652,-10333086.38,-6.5699324792,-119788475.3,-76.1633228989,2017-11-17
62,603619,中曼石油,-174406310.5,,125670991.09,72.0564472293,-101264511.0,-58.0624122543,-200776299.07,-115.1198591923,2017-11-16
63,601995,中金公司,-5169255893.0,,-12352009220.0,-238.9513979512,-19142803.0,-0.370320282,7066131818.0,136.6953380576,2017-11-16
64,600933,爱柯迪,267315321.12,,420704011.91,157.3811819492,-274020956.12,-102.5085112862,98141756.71,36.7138539979,2017-11-16
65,603970,中农立华,46463437.0,,-146500033.15,-315.3017568416,-100839157.16,-217.0290526721,293846642.02,632.4255392902,2017-11-15
66,300723,一品红,46218594.05,,80377407.84,173.9070811047,-12047381.76,-26.0660931117,-22111432.03,-47.840987993,2017-11-15
67,002864,盘龙药业,47031730.92,,36797721.27,78.2402019874,-4104216.53,-8.7264841198,14338226.18,30.4862821324,2017-11-15
68,603917,合力科技,14541203.83,,71456417.11,491.4064746316,-48277657.99,-332.0059229924,-8637672.44,-59.4013572809,2017-11-14
69,603605,珀莱雅,-65018774.11,,61388746.18,94.416954211,-122977245.87,-189.141132778,-3795804.76,-5.838013423,2017-11-14
70,300721,怡达股份,104993556.02,,33198924.47,31.6199638611,-44648675.18,-42.525157612,116450065.36,110.9116309365,2017-11-14
71,002913,奥士康,6326533.34,,150625242.28,2380.8495772505,-133039058.37,-2102.8745320735,-13349223.73,-211.0037679814,2017-11-13
72,603278,大业股份,23762693.42,,112375580.81,472.9075901616,-81739967.82,-343.9844397067,-6913892.62,-29.0955764054,2017-11-10
73,603076,乐惠国际,20668219.15,,60405678.38,292.2635856607,-25484814.71,-123.3043569213,-8742617.47,-42.2998101895,2017-11-10
74,603916,苏博特,45071786.75,,99426551.57,220.5959841829,-139082851.01,-308.5807353976,84652279.17,187.81655948,2017-11-09
75,603083,剑桥科技,100230695.02,,42418384.77,42.3207529006,-128476505.02,-128.1807983017,180633917.93,180.2181636014,2017-11-09
76,300725,药石科技,21497071.85,,15376086.72,71.5264238185,-45150112.13,-210.0291260365,50053397.67,232.8382117307,2017-11-09
77,300722,新余国科,-10662753.23,,-16146816.6,-151.4319636937,33783605.03,316.8375399981,-28299541.66,-265.4055763044,2017-11-09
78,300719,安达维尔,-92692726.45,,-101135082.78,-109.1078951427,-5124668.9,-5.5286634629,13567025.23,14.6365586056,2017-11-08
79,300716,ST泉为,44806001.81,,48361162.54,107.9345636441,-94318889.64,-210.5050346602,90684988.44,202.3947345817,2017-11-08
80,603685,晨丰科技,-39525570.59,,30648232.38,77.5402655104,-27232264.8,-68.897841052,-43607338.57,-110.3269046318,2017-11-06
81,600903,贵州燃气,-41251964.1,,275288281.92,667.3337571338,-147895615.36,-358.5177544552,-168644630.66,-408.8160026785,2017-11-06
82,300728,天常股份,,,41751000.0,,,,,,2017-11-06
83,603856,东宏股份,-11598893.55,,187512679.12,1616.6428143484,494285.23,4.2614860449,-199605857.9,-1720.9043003934,2017-11-03
84,603507,振江股份,28591381.74,,57613135.05,201.5052492878,-68353084.79,-239.0688404344,39837706.26,139.3346660272,2017-11-03
85,300720,海川智能,9656324.19,,23918329.09,247.6960033588,-4518709.57,-46.7953382787,-9664859.45,-100.088390363,2017-11-03
86,300718,长盛轴承,2280183.11,,78511582.93,3443.2139500411,-36042316.89,-1580.6764260262,-41401875.0,-1815.7258870319,2017-11-03
87,300717,华信新材,-7528702.4,,34742825.58,461.4716286302,-40435327.67,-537.082295483,-2137338.07,-28.3891958593,2017-11-03
88,603659,璞泰来,-78405287.0,,154618552.73,197.2042430378,-223882412.03,-285.5450449789,-9357259.65,-11.9344753499,2017-11-02
89,603937,丽岛新材,-33476696.08,,-17362550.26,-51.8645872893,-3852773.81,-11.5088233343,-12180325.76,-36.3844918593,2017-11-01
90,002936,郑州银行,-10315363000.0,,37444067000.0,362.9932073161,-52924949000.0,-513.0691862225,5150755000.0,49.9328525811,2017-11-01
91,605111,新洁能,-22531686.75,,-32489771.83,-144.1959148043,21024.29,0.0933098806,9961168.96,44.2096016624,2017-10-31
92,603989,艾华集团,56863314.8,-80.8657548127,261203070.9,459.3525224808,7733009.57,13.5992943732,-212072765.67,-372.951816854,2017-10-31
93,603988,中电电机,22066438.15,109.0815060689,24981801.68,113.2117540229,13314484.82,60.3381693479,-13600000.0,-61.6320581852,2017-10-31
94,603987,康德莱,-5216764.48,67.891185683,149629703.19,2868.2472395227,-55888360.54,-1071.3222871047,-100996384.03,-1935.996620457,2017-10-31
95,603976,正川股份,-5749466.3,,28263860.1,491.5910212397,-17407302.55,-302.7637982677,-16606023.85,-288.827222972,2017-10-31
96,603926,铁流股份,-27927748.04,,14200674.92,50.8479054583,-35680614.63,-127.7604430507,-9397595.97,-33.6496732803,2017-10-31
97,603922,金鸿顺,6126148.01,165.4679807828,69983992.65,1142.3816815356,-65192346.72,-1064.1653876724,1293702.23,21.1177109643,2017-10-31
98,603912,佳力图,-39540111.63,,-5217324.38,-13.1950168194,-2271022.34,-5.7435911189,-32051764.91,-81.0613920616,2017-10-31
99,603908,牧高笛,49774306.25,,77290362.72,155.2816473861,-4873953.04,-9.7921064244,-23831028.79,-47.8781736712,2017-10-31
100,603901,永创智能,20037497.24,-69.1676054118,35836246.35,178.8459203301,-214354524.38,-1069.7669564844,197991703.2,988.1059536954,2017-10-31
101,603900,莱绅通灵,6578005.31,752.5597379105,51733073.78,786.4553362606,-23702424.45,-360.3284481082,-19514076.16,-296.6564367215,2017-10-31
102,603883,老百姓,8532197.0,-98.4031577743,230650546.0,2703.296067824,-748150199.0,-8768.5528006444,526031850.0,6165.2567328204,2017-10-31
103,603877,太平鸟,-139046351.01,55.9909329136,-16494205.54,-11.8623792859,-153048139.67,-110.0698713474,30495994.2,21.9322506333,2017-10-31
104,603861,白云电器,-153071527.22,-204.8368336073,56508734.14,36.9165547416,-394682079.6,-257.8416030519,185101818.24,120.9250483102,2017-10-31
105,603843,*ST正平,62355390.1,115.5573893333,-555695822.29,-891.1752799539,-20895876.8,-33.5109390968,638947089.19,1024.6862190507,2017-10-31
106,603839,安正时尚,14640522.36,26.2248753576,169836676.31,1160.045196024,-129181094.41,-882.3530420126,-26306399.99,-179.6821134051,2017-10-31
107,603829,洛凯股份,-12133546.36,,9205959.05,75.8719567788,-13534688.76,-111.5476741789,-7804816.65,-64.3242825999,2017-10-31
108,603825,ST华扬,487929225.1,,14843367.15,3.0421147958,-87558512.37,-17.94492067,559619627.99,114.6927872327,2017-10-31
109,603816,顾家家居,201458158.13,2499.4048432333,477330112.8,236.937594005,-114929089.54,-57.0486152593,-166890633.61,-82.8413379528,2017-10-31
110,603813,*ST原尚,-14385870.6,,35739491.27,248.4346777733,-55523346.51,-385.9574999236,5288434.23,36.7613082103,2017-10-31
111,603808,歌力思,-852888843.89,-197.6893760206,137752189.43,16.1512476587,-942362736.45,-110.4906862367,-48860328.67,-5.7288038201,2017-10-31
112,603777,来伊份,745475265.13,1961.2146587963,142398168.71,19.1016624388,-71742776.94,-9.6237635634,674811000.0,90.5209108289,2017-10-31
113,603768,常青股份,-38975997.34,,63112059.37,161.9254507318,-50474918.39,-129.5025703889,-51613138.32,-132.4228803429,2017-10-31
114,603730,岱美股份,-88620352.56,,193177659.26,217.9834018706,-191084393.8,-215.6213423667,-99175488.43,-111.9105099056,2017-10-31
115,603716,塞力医疗,-38828720.35,-96.1541540734,-38084659.25,-98.0837352009,-45868612.52,-118.1306314155,45124551.42,116.2143666164,2017-10-31
116,603707,健友股份,-403837461.42,,-195245471.31,-48.3475382951,-140121997.08,-34.6976223026,-71436498.11,-17.6894183761,2017-10-31
117,603703,盛洋科技,-3245728.44,-107.6378754962,-2535543.18,-78.119387585,-89085286.33,-2744.693155229,82683964.46,2547.4701900816,2017-10-31
118,603689,皖天然气,-142682657.58,,202926249.59,142.2220843316,-243134059.14,-170.4019698425,-102474848.03,-71.8201144891,2017-10-31
119,603686,福龙马,-292835205.01,-459.7009519095,-240619949.73,-82.1690649257,-60055859.61,-20.5084151709,7840604.33,2.6774800966,2017-10-31
120,603665,康隆达,36101395.69,,29786889.78,82.5089701123,-29683753.7,-82.2232856449,32148924.3,89.0517490683,2017-10-31
121,603628,清源股份,-27682361.19,,-78381426.81,-283.1457413333,2365079.88,8.5436349297,47249322.51,170.683859609,2017-10-31
122,603617,君禾股份,15554499.06,-35.4426268409,93269680.38,599.63152796,-43184653.2,-277.6344839742,-36570621.92,-235.112823492,2017-10-31
123,603611,诺力股份,51516792.43,-45.1890535288,86225765.31,167.3740954023,12652892.36,24.5607146004,-52440642.18,-101.793298275,2017-10-31
124,603607,京华激光,4745709.04,,78963384.07,1663.8901248358,-33057301.44,-696.5724438934,-41160373.59,-867.3176809424,2017-10-31
125,603600,永艺股份,-38492934.0,-196.5523684944,67293164.77,174.81952602,-63568902.77,-165.1443425175,-44290590.25,-115.0616116974,2017-10-31
126,603598,引力传媒,39956126.61,12.0958156321,51262313.79,128.2965045395,-11306187.18,-28.2965045395,,,2017-10-31
127,603580,*ST艾艾,13867713.57,,23310608.19,168.0926568921,-5336853.45,-38.4840184581,-5333581.74,-38.4604261768,2017-10-31
128,603578,三星新材,-2691477.71,,19691520.24,731.6248678872,-2704118.9,-100.4696747052,-19685062.0,-731.3849164294,2017-10-31
129,603458,勘设股份,116655197.36,,188463089.33,161.5556731248,-30692458.26,-26.3104078983,-41115434.4,-35.245265818,2017-10-31
130,603399,永杉锂业,-248721597.58,-536.1101265372,57290219.18,23.0338739126,-40592795.13,-16.3205751028,-265415187.43,-106.7117572468,2017-10-31
131,603387,基蛋生物,23949836.02,,87844328.08,366.7846744614,-44292831.35,-184.9400192678,-19650000.0,-82.0464907718,2017-10-31
132,603363,傲农生物,-64485067.71,,58720906.49,91.0612465417,-225025952.85,-348.9582330315,101819978.65,157.8969864898,2017-10-31
133,603360,百傲化学,53340312.8,13420.1363370639,81470380.61,152.7369757194,-2995109.44,-5.6150953805,-25447238.17,-47.7073283492,2017-10-31
134,603359,东珠生态,-52128593.72,,104969634.22,201.3667101473,-20160364.29,-38.6742914998,-136937863.65,-262.6924186475,2017-10-31
135,603357,设计总院,5629930.17,,7745969.97,137.5855425574,-6215783.1,-110.4060425673,4099743.3,72.8205000099,2017-10-31
136,603337,杰克科技,55278089.81,1535.5621964003,232221341.12,420.0965371962,-11101953.01,-20.0838217242,-166249611.34,-300.7513680582,2017-10-31
137,603336,宏辉果蔬,-22852692.88,55.7989675942,5555185.49,24.3086690885,-2600612.84,-11.3798966873,-28621029.31,-125.2413860384,2017-10-31
138,603335,迪生力,-25406988.61,,35331374.6,139.0616382852,-34840273.75,-137.128702204,-25644545.56,-100.935006323,2017-10-31
139,603322,超讯通信,73581818.95,189.3102847508,-162430798.89,-220.7485506717,-13447609.49,-18.2757231092,249460227.33,339.0242737809,2017-10-31
140,603308,应流股份,273682141.15,118.1924694878,96987902.44,35.4381553844,-178833815.6,-65.3436190058,350322878.74,128.0035581671,2017-10-31
141,603232,格尔软件,-60161067.84,,-53408676.78,-88.7761449349,675793.82,1.1233075546,-7428184.88,-12.3471626198,2017-10-31
142,603229,奥翔药业,31317608.64,,61407450.57,196.0796281603,-33975438.14,-108.4866936379,3885596.21,12.4070654777,2017-10-31
143,603226,菲林格尔,52676046.74,,58658916.38,111.3578561989,-2464546.5,-4.6786853846,-3517513.84,-6.6776344424,2017-10-31
144,603203,快克智能,-16400677.61,-150.5045830674,78724382.67,480.006890825,-12756833.36,-77.7823554816,-82800000.0,-504.8571892512,2017-10-31
145,603198,迎驾贡酒,-407305632.75,-1484.8415604616,254309098.3,62.4369215282,-263084731.05,-64.591478707,-398530000.0,-97.8454428212,2017-10-31
146,603196,日播时尚,-5221206.95,,80744200.55,1546.4661968628,-68775024.79,-1317.2246464967,-17200376.41,-329.4329563014,2017-10-31
147,603159,上海亚虹,94245229.11,282.372510003,23091003.43,24.5009786151,-48345228.08,-51.2972683461,119400296.1,126.6910773389,2017-10-31
148,603158,腾龙股份,89584525.37,30.8406998039,68721609.48,76.7114735454,509423.73,0.5686514807,17405340.18,19.4289584145,2017-10-31
149,603136,天目湖,29134.67,,189917494.41,651860.805047732,-37549261.07,-128881.71058742,-152339098.67,-522879.094460311,2017-10-31
150,603131,上海沪工,245516611.54,3437.3036210021,32219604.22,13.1231870699,-1598557.9,-0.6510996914,210826366.75,85.8705101164,2017-10-31
