序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,300376,易事特,84900644.14,42.941057058418,956557919.85,8.1846127256,715896220.13,55118761.91,18132339.19,30973035.78,867245893.43,91625004.25,94025678.54,2022-11-16
2,002396,星网锐捷,-7195084.22,-62.35,1306083218.24,64.0290044909,999405051.18,200679486.22,42089398.74,8010851.58,1441848741.64,-44454388.82,-43963127.28,2022-09-24
3,300716,ST泉为,20792109.89,40.83384391428,241398708.95,45.2294871021,185918892.53,4880026.2,10709349.5,4772988.26,216351288.51,26028625.9,26008246.0,2022-08-29
4,301386,未来电器,10377300.0,,74639600.0,,,,,,,,,2022-05-31
5,002217,合力泰,290960519.13,40.557832473459,3653812129.21,52.4477359937,3035132149.79,34983316.33,151617024.44,53174729.61,3429592612.85,315699095.85,337959242.56,2021-06-25
6,301418,协昌科技,15554930.33,141.32,78902609.24,20.5706347303,53405303.52,1282579.4,4883047.08,39360.82,59904706.62,19136402.62,19641124.64,2020-11-16
7,002366,融发核电,183788344.25,13.67017714155,464631849.73,7.6063095345,174253382.27,923490.25,18800149.03,35715311.56,283244524.46,181387325.27,220754712.74,2020-08-21
8,688680,海优新材,4698023.04,166.501082078147,158716188.74,32.6529038503,136056596.9,4426903.88,2647437.08,3149898.58,154915076.46,5148552.39,5301593.04,2020-07-17
9,000796,凯撒旅业,27886604.41,20.086561879886,1798527949.48,11.0123578582,1475253555.77,182557312.54,62518094.96,19002617.77,1745229433.17,53298516.31,56904223.28,2020-06-30
10,000980,众泰汽车,140950446.19,351.36853277823,5445618511.81,917.681372618,4463943212.69,294394748.52,161779182.87,54116395.59,5259307147.31,186326321.06,187852245.06,2020-06-24
11,300967,晓鸣股份,-5030660.71,-373.011454039796,80701618.02,12.9313294897,75369049.32,6556731.15,3202798.66,401171.06,85978721.36,-5097103.34,-5117103.34,2020-06-17
