序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002842,翔鹭钨业,53229064.5,43.98,772527086.21,83.10525094,652135157.47,4355699.5,18858735.23,10928234.75,709354760.84,59628673.11,59745500.82,2022-12-03
2,300376,易事特,363386100.48,14.469167760224,2989228300.14,-13.3990519166,2337006901.51,107655832.16,39217064.74,68732385.0,2638276790.74,332799319.55,398733628.2,2022-11-16
3,002396,星网锐捷,116294471.43,128.96,3517413943.36,47.3922460161,2561433003.88,474420516.57,94917776.83,-7704047.39,3563125422.64,183514225.92,184168801.51,2022-09-24
4,300716,ST泉为,30342846.28,10.117860182326,499739369.76,43.272189585,403633195.61,9844143.47,21798742.74,5186085.85,459378458.22,37435376.27,37392829.16,2022-08-29
5,300424,航新科技,30765485.37,41.50295664142,287993745.94,47.9754241403,180867588.65,7286237.79,54584261.46,2287300.58,260942158.68,34477719.67,34646461.93,2022-03-01
6,605069,正和生态,15305400.0,,446857800.0,,,,,,,22177600.0,,2021-08-04
7,002217,合力泰,661736534.07,29.66,8502080571.16,39.5101165719,7053410450.49,86805324.88,242441625.21,188421928.89,7854708760.6,734830382.7,740002543.09,2021-06-25
8,300201,海伦哲,21606553.64,-23.692812447081,646307355.46,11.6446064765,489195240.77,42056832.86,51839407.06,14080818.18,622439445.78,24199324.79,25352100.27,2021-06-15
9,002387,维信诺,16125069.24,116.473400798974,475382455.39,3778.6160930529,412842616.75,15934742.28,215312312.5,353584562.71,1112836102.63,83291265.41,83987890.61,2021-05-29
10,688283,坤恒顺维,-2167373.43,-121.8,13000787.87,-43.3509367037,6408123.82,3274224.27,2744718.17,40433.54,15441704.1,-2330712.68,-2066591.23,2021-05-27
11,301172,君逸数码,6631671.89,-62.76,83224878.52,-18.4739361541,59330298.71,3594625.14,5240667.82,-120866.07,70521689.8,7976723.97,8011076.79,2021-05-27
12,688292,浩瀚深度,-1088838.03,54.68,108482376.88,-14.7555860675,56450941.3,19582892.07,13587185.04,417665.61,115540294.84,-3836458.84,-4116346.78,2021-04-26
13,300094,国联水产,167629634.34,136.58,2188097201.93,22.68,1891800864.52,80362764.66,45015314.37,44858813.7,2072381258.25,192837066.94,192364527.27,2021-02-03
14,301152,天力锂能,30400118.6,9.278543644376,466937045.33,60.1029986289,394502867.19,2700145.19,4760897.51,4395260.0,431867981.85,36423280.67,36273673.64,2020-10-14
15,300311,ST任子行,74707534.71,62.65218542781,548651694.6,19.3135774767,305487462.44,72594315.98,45907932.43,2316218.5,502895568.74,71595575.77,82610349.1,2020-10-13
16,300226,上海钢联,60491706.92,165.013405451232,44571678294.35,39.8081243458,44247338891.42,103348230.01,66551870.62,14876152.78,44466294890.32,100245105.92,101306919.93,2020-09-17
17,688395,正弦电气,21083777.18,74.92328490843,107268960.92,33.3178921042,66104155.11,10315534.0,6578783.03,151340.06,88667707.38,23605560.75,24424034.58,2020-09-15
18,688716,中研股份,6375147.47,720.74,40568404.48,189.9977761221,20966344.79,5368799.03,6563113.0,-15007.94,35571233.02,5517441.4,6348658.57,2020-09-07
19,301178,天亿马,12524086.45,200.81,75267805.23,17.051637856,41428363.63,6575290.07,6659017.28,-789555.41,61923567.09,14495255.58,14515236.11,2020-08-31
20,688179,阿拉丁,22324499.51,121.678549297173,72881016.83,42.8220556972,20251813.26,5248385.2,15618144.53,94219.01,45305520.16,29936947.31,29851876.19,2020-08-28
