序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002726,龙大美食,17540783.58,-89.07,3340323108.47,-45.6716510605,3217964526.38,48995518.96,61572369.02,34570653.98,3369052264.41,34111929.78,35330167.36,2026-01-31
2,688270,臻镭科技,6916900.56,-27.36,31320850.51,12.7733872633,3437944.19,1902911.72,5516819.1,-778170.77,21892387.3,6916900.56,6916900.56,2025-12-25
3,603887,城地香江,32634689.88,-56.93,558048228.73,-1.671591035,429834130.85,15348470.2,50703422.85,34375434.84,546998224.8,49142878.65,49636682.06,2025-06-30
4,688246,嘉和美康,-27858515.6,-38.123606358147,98027811.38,33.9432486083,55859826.69,25840903.44,21937750.54,-2007438.46,150663048.75,-45205360.05,-45243906.72,2025-05-01
5,603959,百利科技,30754740.66,2.49,334787989.25,65.9910760456,266217231.65,6373215.31,24644073.33,8431624.6,323318318.92,34279761.17,35803622.19,2025-05-01
6,688053,ST思科瑞,18878213.63,4.27,50693382.15,22.0583182278,15062087.59,2633919.25,5775338.84,456438.39,29587608.32,21134546.97,21627737.95,2025-04-26
7,300730,科创信息,-18557195.47,8.74,54161211.8,221.2039787527,43040631.5,11334742.42,8578868.1,260719.04,76810885.02,-19052236.56,-18696716.07,2025-04-25
8,300131,英唐智控,30823885.92,-0.7,1206950659.59,-22.4034838181,1080563548.37,27129932.34,30729671.37,15446953.94,1161102411.8,42222240.98,42176844.84,2025-04-24
9,002512,ST达华,-38277930.99,60.23,342377964.14,-54.4871631278,307156881.78,11268623.65,36463844.77,15843767.92,393906842.51,-42358994.16,-41937092.14,2025-01-27
10,000833,粤桂股份,35593889.85,2883.39,441203979.16,3.4555804595,340437601.18,5064175.24,29108538.22,7599687.55,403418416.1,46400057.31,46220566.34,2025-01-25
11,600576,祥源文旅,-5033234.03,-44.7,49085543.93,-11.2656693091,38215273.37,2970636.19,11019863.14,641054.3,54857909.82,-8876777.3,-8734501.29,2025-01-03
12,688687,凯因科技,24898632.42,18.77,171572290.44,-0.0185542038,25942688.96,89936471.22,27354874.72,-4876587.34,161660847.81,28300387.51,27282602.96,2024-12-20
13,600590,泰豪科技,151203734.86,-59.92,983235347.98,5.4965355616,792220126.33,43854740.65,52775997.41,52451858.06,964175965.88,168251082.38,170172297.73,2024-11-09
14,002097,山河智能,-48978765.87,-116.47,1661684966.28,-49.9505163255,1319021520.08,134132485.9,117785599.6,82462133.3,1738838603.05,-98877758.24,-102449181.7,2024-10-31
15,300149,睿智医药,9470996.67,480.41,386301922.7,-0.8735787274,233431931.86,18191596.33,67840856.38,20061323.85,368984885.99,11449336.64,11452290.01,2024-10-18
