序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,605299,舒华体育,-55152026.39,-82.4992091548,106815043.79,193.67383355,-27756826.28,-50.3278448623,-134914008.12,-244.6220328624,2026-03-11
2,603061,金海通,-108212762.63,-179.5848706271,127809505.47,118.1094561896,-275274340.78,-254.3825091327,41422632.42,38.2788789541,2026-03-11
3,601138,工业富联,22448694000.0,303.3142789449,5237909000.0,23.3328005629,-29746356000.0,-132.5081806541,47396943000.0,211.134523015,2026-03-11
4,600963,岳阳林纸,-334945625.89,-199.6136158144,-476802626.51,-142.3522475456,-428914319.57,-128.0549099366,571490031.91,170.621733122,2026-03-11
5,600605,汇通能源,-793406529.15,-897.4157904553,-162536603.79,-20.4859170953,-598524114.69,-75.437256022,-32387685.93,-4.0821047899,2026-03-11
6,600433,冠豪高新,-465236738.37,-169.0074411067,-312418334.21,-67.1525501844,-712985374.78,-153.2521651833,572065259.91,122.9621852123,2026-03-11
7,600132,重庆啤酒,-335005304.08,79.3095506557,2624190299.49,783.327985417,-787488035.39,-235.0673335017,-2171707568.18,-648.2606519153,2026-03-11
8,002668,TCL智家,-18710484.98,-106.7092928907,2545097539.94,13602.5204192222,-1616034704.25,-8637.054068761,-1024267342.75,-5474.2960636502,2026-03-11
9,002316,亚联发展,22658213.65,45.1721917338,67347144.84,297.230602025,-6988494.43,-30.8430953029,-37700347.82,-166.3871141934,2026-03-11
10,688345,博力威,144354050.62,199.1986646936,338752310.95,234.6676864938,-107737171.66,-74.6339788854,-93548613.99,-64.804980247,2026-03-10
11,605339,南侨食品,-383214196.09,34.9513325776,52926470.77,13.8111978392,-358529205.33,-93.558435201,-77723128.6,-20.2819022346,2026-03-10
12,603268,*ST松发,5307740860.0,1712.4092973335,-1457675614.45,-27.4632023849,-9599888535.69,-180.8658106886,16406204512.16,309.0995763527,2026-03-10
13,603031,安孚科技,556624648.24,-6.3617190358,1054762996.08,189.4926858548,384387625.71,69.0568818548,-864003488.68,-155.2219240402,2026-03-10
14,301536,星宸科技,47711012.29,1399.0678088825,446420010.54,935.6749922356,-641666811.65,-1344.902949763,247610439.68,518.9796397003,2026-03-10
15,301087,可孚医疗,154589162.16,151.3198358473,695725816.71,450.0482485246,-68960070.24,-44.6086059828,-468746784.54,-303.2209878043,2026-03-10
16,300750,宁德时代,29770008000.0,-6.9519967137,133219982000.0,447.4972999671,-94475790000.0,-317.3522492839,-6309543000.0,-21.194293935,2026-03-10
17,300033,同花顺,1970038924.81,118.8300146727,3774236497.7,191.5818235959,-112731413.69,-5.7222937207,-1666560000.0,-84.5952828146,2026-03-10
18,003033,征和工业,16533962.13,-4.0858307411,350499369.01,2119.8752377329,-227308883.57,-1374.7998319021,-109022479.76,-659.385082068,2026-03-10
19,002981,朝阳科技,21566093.45,195.2487752988,165272671.83,766.3542412685,-95715254.65,-443.8228688562,-40043840.51,-185.679620664,2026-03-10
20,002868,*ST绿康,34101665.37,211.0468431774,-25078447.71,-73.5402433808,-135263544.16,-396.6479135034,195442215.53,573.1163373092,2026-03-10
21,002709,天赐材料,287148267.94,143.8892418244,1182243395.29,411.7187973208,-331538134.12,-115.4588660759,-556655125.72,-193.8563410859,2026-03-10
22,603316,诚邦股份,39095760.16,162.6801197,138866102.75,355.194788851,-43063822.97,-110.1495988152,-56609392.4,-144.7967558843,2026-03-07
23,600830,香溢融通,-114461503.55,-157.6927174057,-1006857989.02,-879.6477049423,5763439.12,5.0352642078,886633046.35,774.6124407344,2026-03-07
24,600529,山东药玻,57376142.97,114.2826430166,576924963.36,1005.5136743187,-148592430.43,-258.9794690586,-376750003.57,-656.6318056043,2026-03-07
25,600299,安迪苏,3039322336.0,1230.6533323687,3330708477.0,109.5872075676,-3254659127.0,-107.0850264366,2910945301.0,95.7761296497,2026-03-07
26,600113,浙江东日,-225512494.27,33.2704211192,68887631.9,30.5471464555,-116011231.82,-51.4433722156,-178394943.66,-79.1064567121,2026-03-07
27,300889,爱克股份,-94878163.83,-882.5055925615,38608730.6,40.6929572005,-127888095.82,-134.791916978,-6754753.11,-7.1193969585,2026-03-07
28,001207,联科科技,-560905364.8,-627.3153315896,395123937.47,70.4439576204,-838699579.98,-149.5260399727,-117888406.09,-21.01752158,2026-03-07
29,000063,中兴通讯,-2544017000.0,88.9326807835,3918746000.0,154.0377285215,-6876231000.0,-270.2902928715,530043000.0,20.8348843581,2026-03-07
30,688781,视涯科技,309629097.17,50.89182483,455925544.27,147.2489337847,-723284631.09,-233.597112707,580872902.21,187.6028149548,2026-03-06
31,603659,璞泰来,-946816054.27,57.2735139185,2697297972.24,284.8808868497,-2974025889.13,-314.1080968914,-670314632.62,-70.7967117369,2026-03-06
