序号,股票代码,股票简称,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比,公告日期
1,300094,国联水产,-59889676.07,-155.4377184566,18632924.14,31.1120803496,-5867655.25,-9.7974402853,-72604286.71,-121.2300541167,2021-02-03
2,000713,国投丰乐,-183437966.99,-172.9383040376,-66114542.88,-36.0419077713,-75626751.49,-41.2274256693,-41696672.62,-22.7306665595,2017-10-21
3,600637,东方明珠,-400883033.85,-91.0975610931,-699072924.85,-174.383265397,-186161716.42,-46.4379134812,483877629.64,120.7029454434,2017-07-28
4,002715,登云股份,-11730533.4,-110.1802005945,-9876719.29,-84.1966767683,-5358848.29,-45.6829038141,3489556.83,29.7476398644,2017-06-10
5,600128,苏豪弘业,50451764.69,141.4945304644,52000038.72,103.0688203664,-24482992.65,-48.5275248555,22934718.62,45.4587044892,2017-04-28
6,603693,江苏新能,546975348.0,,5808828.68,1.0619909474,-420818485.98,-76.9355488357,961983861.32,175.8733487419,2017-04-27
7,600764,中国海防,5964104.83,108.9389772524,10486332.51,175.8240810465,-6059112.04,-101.5929835693,1536189.6,25.7572534988,2017-04-10
8,002490,山东墨龙,-3380441.22,-102.4452857873,-28074565.91,-830.5000466773,-54144947.27,-1601.7124317872,76532925.16,2263.99218857,2017-03-31
9,000737,北方铜业,23566538.68,175.2199720029,148605317.85,630.5776162883,-10010444.29,-42.4773634598,-114938375.11,-487.7185261302,2017-01-26
10,688472,阿特斯,241247204.16,,399235310.43,165.4880568751,-143620587.69,-59.5325397407,-14613964.58,-6.0576721007,2016-08-31
11,600097,开创国际,-80723336.05,-432.4270968248,-77636033.38,-96.1754520798,-349786.28,-0.433314946,-2941420.0,-3.6438285927,2016-08-11
12,002807,江阴银行,-433110000.0,,2270575000.0,524.2490360417,-2593020000.0,-598.6977903997,-105707000.0,-24.4065018125,2016-08-02
13,300533,冰川网络,61610142.24,,43254575.65,70.2069076249,61702007.23,100.1491069273,-43382220.8,-70.4140896656,2016-07-29
14,300535,达威股份,-5671965.55,,3779630.89,66.6370565315,-2485774.43,-43.8256263739,-6762016.47,-119.2182218032,2016-07-28
15,601997,贵阳银行,-3538352000.0,,8125802000.0,229.6493395796,-10657254000.0,-301.1925890923,-1007156000.0,-28.4639854938,2016-07-27
16,600936,北投科技,-78107875.97,,71054580.5,90.9698024912,-135661828.98,-173.6852107361,-13500627.49,-17.2845917551,2016-07-26
17,603843,*ST正平,-319207978.83,,-427984379.69,-134.076968019,-33959872.81,-10.6387919671,142736273.67,44.7157599861,2016-07-25
18,002808,*ST恒久,-55517884.72,,1905595.2,3.4323987839,-48017487.12,-86.49012361,-9318000.0,-16.7837806627,2016-07-25
19,603569,长久物流,-63486225.05,,-42033328.91,-66.208581274,-7340125.88,-11.5617614281,-13152318.45,-20.7168065823,2016-07-21
20,300528,幸福蓝海,-25622621.06,,67731814.53,264.3438170178,-71933894.13,-280.743698943,-21419444.44,-83.5958366236,2016-07-18
21,603322,超讯通信,-74786637.17,-35.3956777489,-58248935.28,-77.8868224113,-513397.0,-0.686482264,-16024304.89,-21.4266953247,2016-07-14
22,601068,中铝国际,-1898032158.92,,-689660691.68,-36.3355640967,75298442.28,3.9671847458,-1286032721.68,-67.7561081163,2016-07-14
23,300529,健帆生物,-12546793.32,,34670182.42,276.3270385967,-13916975.71,-110.9205783108,-33300000.0,-265.4064600468,2016-07-14
24,002806,华锋股份,334453.9,,11225848.91,3356.4712236873,-3343058.47,-999.5573291267,-7734103.57,-2312.4572833506,2016-07-12
25,603663,三祥新材,1635191.58,,2489379.92,152.2378142383,-638677.07,-39.0582411145,-36673.35,-2.2427555553,2016-07-11
26,300522,世名科技,848895.67,,1231435.39,145.0632196062,-11851977.52,-1396.164209437,11467691.03,1350.8952201394,2016-07-04
27,300519,新光药业,34266930.93,,64394178.75,187.9193058799,-2161737.82,-6.3085247535,-27965510.0,-81.6107811264,2016-06-23
28,300521,爱司凯,-2047868.38,,-1578516.49,-77.0809542945,-469353.79,-22.9191384849,,,2016-06-22
29,002803,吉宏股份,-26298923.7,,-7081598.49,-26.9273319729,-3265317.44,-12.4161637839,-15952080.66,-60.6567814028,2016-06-22
30,002801,微光股份,36208130.96,,12366988.1,34.1552788617,30369006.86,83.8734451484,-7176000.0,-19.8187528871,2016-06-21
31,300520,科大国创,-61137329.18,,-61681418.28,-100.889945811,-2905625.0,-4.7526201078,3288818.33,5.379394838,2016-06-20
32,002805,丰元股份,-9292528.14,,-4477406.59,-48.1828682415,-4507759.43,-48.5095052938,-307236.11,-3.306270429,2016-06-20
33,601127,赛力斯,,,25332100.0,,,,,,2016-06-14
34,603016,新宏泰,-14929662.06,,11919868.9,79.8401789143,-5408310.96,-36.225273809,-21265555.56,-142.4382914666,2016-06-08
