序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
38,688796,百奥赛图,47999099.31,194.722476309069,620963245.36,51.2704535629,159014453.15,58514785.44,102602442.5,33240342.93,567446037.57,60027637.46,59619597.09,2025-11-20
39,688795,摩尔线程,-270942340.8,,701761937.72,,216539568.24,71534095.98,152594407.6,18759234.19,1017425832.4,-271078324.14,-270936593.68,2025-11-14
40,688727,恒坤新材,41600402.35,-5.677367201715,294337252.67,23.7413400185,171759029.92,15296455.39,42414213.93,-4257230.9,269689089.16,44916106.65,44509773.81,2025-11-13
41,301638,南网数字,13029431.26,,1557704001.54,,1040928556.97,76541149.39,251690542.6,-1918096.97,1518864341.25,46326464.31,39799069.62,2025-11-13
42,001280,中国铀业,764993460.22,7.880594636058,9551333536.99,18.7379074447,7715200106.99,16239987.23,288947798.69,102855796.25,8220240788.29,1187318073.17,1177415661.28,2025-11-13
43,001233,海安集团,340829989.76,13.840145383351,1079510975.43,0.8324110835,586703247.46,47818729.85,74711379.06,-51488429.89,705759970.59,394904666.05,394699579.89,2025-11-06
44,603983,丸美生物,174410644.57,5.21,1764646729.2,30.4931343298,448184341.2,999196374.25,60753973.5,-10678914.35,1550885924.71,229120922.85,228852497.48,2025-10-31
45,603334,丰倍生物,85063308.58,23.514476855368,1478129194.9,49.6241346018,1337752954.4,9011097.94,15129104.23,1340183.6,1403179057.94,93634888.52,93573300.75,2025-10-31
46,300237,ST美晨,-91368676.43,52.34,863103724.46,1.405526461,774893094.33,18743751.62,55356593.51,65237037.48,957926754.99,-100069338.01,-98944201.3,2025-10-31
47,603376,大明电子,114370280.45,-2.168271144715,1297315715.91,11.3043276302,1062052674.89,14033126.31,23928580.91,11446659.84,1174276536.23,126853264.98,126125724.63,2025-10-30
48,001235,里得电科,24675163.11,134.92,158852144.89,20.3353967784,93101334.32,17603855.05,18417873.59,603475.42,136732417.82,29102217.98,29024666.16,2025-10-30
49,688802,沐曦股份,-185893300.0,63.741387781597,914931000.0,404.5128354436,,,,,,,-183072000.0,2025-10-24
50,688759,必贝特,-73892927.8,1.294873654697,,,,712235.74,25078099.3,-102970.29,79938478.78,-73837747.31,-73839088.89,2025-10-23
51,688765,禾元生物,-81627815.84,-3.862703871596,12710455.19,33.3231695627,5263245.8,2695026.46,36646653.59,2255262.16,104059673.66,-81627815.84,-81627815.84,2025-10-20
52,603092,德力佳,393715001.17,67.808572807012,2484855497.2,81.1250324853,1842729167.82,4923321.89,27865068.87,-10149630.29,1959451340.67,465230950.01,462259370.39,2025-10-17
53,601026,道生天合,86325144.22,65.057034815773,1784804012.39,46.7696100467,1562982530.09,33373196.52,32102888.86,3545993.25,1679836004.01,102007709.37,101804061.87,2025-10-13
54,603175,超颖电子,158798669.29,-11.852316436923,2184777067.02,12.6124071805,1703784746.21,53045014.48,129436335.87,17260523.75,1989341331.17,177246361.38,177773610.56,2025-09-26
55,601519,大智慧,-3470132.15,97.480982137958,379037034.98,13.1906121593,141788905.97,66218464.39,119962625.05,-4431715.15,411499692.54,-416048.29,-206014.26,2025-09-26
56,688783,西安奕材,-340254488.66,9.429631502581,1302441956.37,45.9867988841,1239942879.81,28039134.44,100981996.87,84728881.26,1594034293.33,-340037018.95,-340254306.79,2025-09-25
57,001386,马可波罗,654676100.28,-7.895896358799,3218204296.42,-11.8168641976,1981661579.95,156304563.86,157048870.34,-12777868.31,2442360569.02,757453231.28,764160577.33,2025-09-25
58,300482,万孚生物,189198935.53,-46.82,1245654367.05,-20.9234045978,462548481.08,318913059.05,91430935.82,16687711.52,1069201644.31,207841628.6,204776981.39,2025-09-23
59,001400,江顺科技,49555054.89,-40.73,494136941.77,-14.1095863526,322171042.76,25935762.61,57841724.32,1106514.02,435614964.99,59864718.41,59501567.02,2025-09-23
60,300863,卡倍亿,91726527.17,1.33,1830410996.32,10.9392897503,1609836311.73,8753200.11,44333719.84,26264067.44,1744160157.99,102101896.64,99826860.88,2025-09-19
61,603218,日月股份,283512725.85,-32.74,3225736850.46,80.412093215,2717880086.48,5436118.75,97302012.87,-63854696.28,2925161924.7,331547264.19,326114940.29,2025-09-18
62,600186,莲花控股,161347721.01,60.01,1620757763.22,32.677805335,1163899273.05,129726243.44,55166062.74,13329540.22,1391169259.91,226500752.32,224836053.51,2025-09-17
