序号,股票代码,股票简称,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,公告日期
1,002842,翔鹭钨业,34712155.94,,354677256.51,,289372171.98,2667521.21,22796724.09,1164070.98,316784170.98,38220979.27,41184579.29,2022-12-03
2,002396,星网锐捷,38529506.46,78.172615396014,1875525293.92,40.6118904328,1113307110.55,382342689.79,387243832.43,-6703009.47,1886173143.54,-5134428.8,85585997.41,2022-09-24
3,301418,协昌科技,20548712.01,93.52,127982851.32,51.1741642158,90580724.75,2034481.87,7764438.44,1689851.25,102643473.15,25339378.17,26010776.63,2020-11-16
4,300311,ST任子行,48360522.93,261.026007843501,243544421.3,102.9786853859,83172415.06,42353938.16,62994099.45,-1714845.76,193983546.44,51610874.86,62452113.52,2020-10-13
5,688716,中研股份,1169301.3,245.115375717103,7103109.63,91.49488217,3294062.44,784461.15,2878077.15,893659.09,7913953.03,-810843.4,1159747.32,2020-09-08
6,301178,天亿马,4870441.93,-28.846215331673,67469580.0,34.9181189257,46813263.8,4661470.3,9576160.84,-90382.02,61935605.42,5648044.9,5945513.83,2020-09-01
7,688283,坤恒顺维,3611521.44,530.770718609677,12327925.9,1024.7642991972,3643120.19,944547.09,3678063.06,-6012.24,8844094.17,3483831.73,3983811.99,2020-04-29
8,688579,地纬智能,13486552.93,32.149412998239,72904028.37,16.0999506082,32053711.23,4090386.89,31769655.29,-648018.99,68483002.12,4421026.25,15040826.22,2019-12-05
9,300614,百川畅银,24272589.73,32.072278650828,76999321.39,-33.4066716871,41475465.99,,10607935.0,3033260.11,57249589.03,19749732.36,26052050.35,2019-06-28
10,301172,君逸数码,4173991.64,54.317447589629,43290117.91,30.6985245255,29954287.58,3784289.54,4854690.24,-15156.04,41061540.71,2546744.33,4343991.85,2019-04-30
11,002775,文科股份,61508335.2,48.907612212321,573169247.67,28.3445443348,439105702.41,,43900099.31,8129823.57,499780940.93,73388306.74,73681906.74,2019-04-23
12,301007,德迈仕,17278760.02,31.678876883284,142376497.86,-4.2224408392,103121892.55,2851723.51,14858675.95,2163469.99,123986189.73,19626330.34,20116007.87,2019-03-25
13,300838,浙江力诺,6035941.85,-49.964137386698,87895082.86,-7.6139184167,58276172.4,12774421.15,9320347.49,-3373.92,85583486.75,2412658.02,6733979.34,2018-12-25
14,002778,中晟高科,16917690.65,-5.031952880671,262974812.61,-10.0973568701,222575541.79,6693630.52,15350184.56,2442403.48,248701728.61,14931467.56,19301063.84,2018-11-13
15,600172,黄河旋风,181938124.25,72.666867239228,1157472065.03,36.5665572127,699503182.42,19732177.26,130679395.87,68267108.49,957943058.7,206491550.58,211719649.1,2018-09-26
16,300825,阿尔特,-6109624.35,-254.195320166961,147029619.54,-1.9482409434,83356644.14,10244039.28,56221000.85,523050.82,158146590.92,-10778507.53,-9263848.52,2018-09-07
