序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,688511,*ST天微,272989703.65,146658238.7,85245886.85,939348794.77,-2.9499691028,40010118.49,,101067728.1,-1.4412959864,10.7593397322,838281066.67,2026-02-28
2,688316,青云科技,139492052.54,66211689.0,915331.24,474977021.99,-12.0188793806,37131261.95,,410533788.37,11.6393681683,86.4323471165,64443233.62,2026-02-28
3,301152,天力锂能,337054034.82,715898087.96,319065013.52,3025614883.53,-7.5682173346,500590951.27,,1640079770.62,20.6096286622,54.2064946715,1385535112.91,2026-02-13
4,002726,龙大美食,1035385794.88,439979006.39,942436290.26,5904927014.34,-0.5495007219,373826167.75,,4311263417.25,0.1242826185,73.0112905169,1593663597.09,2026-01-31
5,001266,宏英智能,478317573.95,366079863.08,134690669.34,1636872043.03,19.3301863754,279148047.17,0.0,641796351.72,70.0988488401,39.2087062915,995075691.31,2026-01-24
6,301487,盟固利,289753490.11,878873480.04,474076977.41,3241829846.54,-10.8854540643,361474934.84,17628.0,1368246255.89,-16.6953582505,42.2059861455,1873583590.65,2026-01-21
7,300189,神农种业,51372254.41,81674743.2,54987885.31,1163344581.28,18.6182239172,36242846.92,1686679.5,366854878.64,178.374003983,31.5344984232,796489702.64,2026-01-13
8,301379,天山电子,491497191.92,435894250.32,293622994.99,2014257549.69,16.8760123264,335271772.34,,624652358.83,55.7479270403,31.0115436294,1389605190.86,2026-01-12
9,300831,派瑞股份,207259425.76,43447293.04,138835965.94,990220652.05,6.7703909805,21669213.3,,60590206.09,9.91945318,6.1188590608,929630445.96,2025-12-26
10,688270,臻镭科技,533062754.47,383679718.2,102880555.57,2264512034.35,1.9858933296,69565840.3,1445371.2,108508926.35,12.0651120855,4.7917133892,2156003108.0,2025-12-25
11,301667,纳百川,347603049.75,461981780.97,220132493.23,1981374805.44,,311643793.68,,1338343572.64,,67.5462092768,643031232.8,2025-12-12
12,688802,沐曦股份,5694613345.14,615065236.69,802249426.86,10461424363.37,,165518999.11,,868048302.5,,8.297611036,9593376060.87,2025-12-11
13,600169,ST太重,2629155153.69,8065142761.02,8790815116.82,32724862288.39,0.3105888736,6095398860.56,,27037990811.46,3.6614128682,82.6221683477,5686871476.93,2025-11-01
14,603789,*ST星农,60425866.54,275917945.67,216902986.45,1176373778.7,-8.4153043043,300331736.34,1821778.64,929366165.95,10.0028592105,79.0026250821,247007612.75,2025-09-27
15,300391,*ST长药,9012776.1,1023063349.86,46773287.62,2042496723.36,-40.4861447333,242306391.04,,2553248300.65,2.3031407198,125.0062372903,-510751577.29,2025-08-26
16,002878,元隆雅图,549846401.05,663243286.91,277432524.15,2105335020.9,-13.8663917534,129249926.78,,807915294.17,-11.970749829,38.3746665566,1297419726.73,2025-08-23
17,600463,空港股份,151401014.18,271157614.56,346828798.5,2758984925.88,13.179380474,398231926.62,9814295.67,1766757782.24,31.6714598429,64.0365145046,992227143.64,2025-08-21
18,300065,海兰信,198881920.28,404571059.48,91635380.89,2255360921.61,5.8584760526,188067805.08,81600.0,512243842.48,19.2715963664,22.7122780027,1743117079.13,2025-08-13
19,600173,卧龙新能,439054472.91,825508582.47,3131505319.78,8101017338.21,32.5828847799,1103374412.29,108709473.24,3476848902.65,51.8278466933,42.918670057,4624168435.56,2025-08-09
20,300709,精研科技,487371106.63,568162188.36,497800251.64,3318614601.94,3.0797473763,540503065.77,,1187757314.19,-1.4933738993,35.7907577908,2130857287.75,2025-08-02
21,688712,北芯生命,,,,793860900.0,,,,117519300.0,,14.8035128068,,2025-07-25
22,601026,道生天合,,,,3866355100.0,,,,2006505900.0,,51.8965756663,,2025-07-25
23,301632,广东建科,585338993.72,727995323.9,38726761.27,2688044022.39,,230378490.56,,660595091.65,,24.5753077758,2027448930.74,2025-07-24
24,300500,启迪设计,639338507.86,997159400.02,4786632.66,2879578057.86,-14.0450949956,759297879.28,,1728766935.27,-17.0527715548,60.0354253482,1150811122.59,2025-07-22
25,603406,天富龙,758222821.23,249119874.26,698177292.69,3929401408.86,,117128508.56,314133.66,335912528.56,,8.5486946638,3593488880.3,2025-07-18
26,603376,大明电子,,,,2655521400.0,,,,1528746500.0,,57.5686002756,,2025-07-18
27,301491,汉桑科技,961657797.34,125382842.63,267356239.82,1533639660.55,,157088992.26,,431173724.93,,28.1144088811,1102465935.62,2025-07-17
28,001221,悍高集团,971472999.0,158994628.79,144120105.15,2658762120.53,33.7599270181,305399565.27,9298620.96,796795034.31,,29.9686469939,1861967086.22,2025-07-11
29,600777,*ST新潮,1345687655.97,892032441.82,71389993.76,35913132636.08,4.4272730787,673146269.12,,12961169419.43,-7.0126408643,36.0903337249,22951963216.65,2025-07-05
30,688765,禾元生物,,,,1214016300.0,,,,655301000.0,,53.9779408234,,2025-07-04
31,603262,技源集团,184556279.74,227637926.64,216464219.07,1235024564.86,,88646116.45,,246194438.05,,19.9343758055,988830126.81,2025-07-04
32,301609,山大电力,416999418.78,164174858.59,283507860.68,1126450174.14,22.2220831861,130931735.82,,493459399.16,18.1475711937,43.8065890963,632990774.98,2025-07-04
33,603175,超颖电子,,,,7049677800.0,,,,5131397400.0,,72.7891053404,,2025-07-03
34,300225,*ST金泰,173219205.03,287355496.22,100526060.67,1420296076.66,11.770925377,131226311.23,142290.83,550790769.62,27.3872109112,38.7799965564,869505307.04,2025-07-02
35,300551,古鳌科技,172242773.59,41742984.58,111450821.57,675023358.63,-52.065030594,41793369.06,,117645767.76,-74.3175517273,17.4283995148,557377590.87,2025-06-30
36,603418,友升股份,,,,4043222000.0,,,,2005112400.0,,49.5919442464,,2025-06-27
37,600930,华电新能,13802831520.0,48558302212.0,86874301.0,459461497485.0,,24592362298.0,126944958.0,336002226652.0,,73.1295720079,123459270833.0,2025-06-27
38,301680,固德电材,,,,1130132900.0,,,,428649300.0,,37.9291055061,,2025-06-27
39,301630,同宇新材,95582424.04,255083320.17,93676230.69,1541721356.37,,106737985.89,,705759043.5,,45.77734106,835962312.87,2025-06-27
40,603356,华菱精工,119334576.1,312830186.39,149802654.6,1418362363.85,-18.0018004651,197043048.77,,899819959.62,-6.5461523967,63.4407667994,518542404.23,2025-06-26
41,001235,里得电科,136800376.83,190470345.29,67935505.23,816024750.44,,40760267.12,630612.1,168961385.17,,20.7054240792,647063365.27,2025-06-25
42,301656,联合动力,,,,17844942200.0,,,,12663649900.0,,70.9649252885,,2025-06-23
43,603370,华新精科,,,,1882213800.0,,,,740995400.0,,39.3682906798,,2025-06-20
44,300964,本川智能,205482399.52,157154722.8,107768829.62,1352928878.97,3.9325481168,147630562.56,,350192877.76,16.8511662293,25.8840566717,1002736001.21,2025-06-20
45,688729,屹唐股份,2471670554.12,357664680.64,3678306228.84,10300729755.15,,565487182.12,,4161012824.69,,40.3953207549,6139716930.46,2025-06-19
46,603629,利通电子,403816175.51,726254295.58,394236487.3,5992201631.05,26.906170077,582720486.44,91062907.7,4294093489.73,41.3702878695,71.6613651229,1698108141.32,2025-06-14
47,301584,建发致新,,,,13605987200.0,,,,11768898700.0,,86.4979404067,,2025-06-13
48,001388,信通电子,352389868.81,492252243.11,227126646.26,1482013888.29,,299445103.19,,621047562.84,,41.9056506654,860966325.45,2025-06-12
49,688333,铂力特,450944219.57,975691876.87,1193192132.17,7687086221.79,19.2716172143,1058356700.05,,2917359097.31,74.0460106475,37.9514293601,4769727124.48,2025-06-11
