序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
1,002586,ST围海,1728856903.9,2004557617.86,246858791.14,11124346747.53,27.9124939259,1567743349.83,209517285.78,5782897962.7,33.1877825731,51.9841577573,5341448784.83,2025-11-29
2,300343,ST联创,132839770.46,1690112114.91,45849607.08,3332999544.38,-39.6530088699,778493242.64,12505353.16,1619123826.92,2.8110600257,48.5785793055,1713875717.46,2025-11-28
3,600169,ST太重,3546197838.22,5969708006.91,9419966354.62,31370277960.5,3.6000593954,6185573291.08,1596111221.66,27474026932.36,4.4520924587,87.5798007495,3896251028.14,2025-11-01
4,300237,ST美晨,723722382.86,998178956.87,3743592563.65,8125525886.25,13.081252208,1930449267.0,4203204.44,5495664701.51,20.3904989223,67.6345725611,2629861184.74,2025-10-31
5,603616,韩建河山,162191772.52,858991001.05,189478879.28,2289100473.97,22.7646703401,324252559.2,50419346.51,1478517868.05,37.4358705754,64.5894701811,810582605.92,2025-04-30
6,601212,白银有色,4199693133.99,529181880.71,10048016087.81,45696878957.71,-2.7372683339,1505001197.96,383273624.93,32897666300.45,-0.7710649177,71.9910572687,12799212657.26,2025-04-30
7,600360,*ST华微,1762931029.73,434729189.24,175226880.67,4385065062.59,7.500148491,341300405.11,1726534.49,2149276176.71,9.0065702393,49.0135527303,2235788885.88,2025-04-30
8,603559,ST通脉,167932270.8,681676165.0,224032265.29,1600734463.69,79.6147052167,304139633.86,160270808.38,740183220.33,107.1466565517,46.2402251666,860551243.36,2025-04-29
9,002602,世纪华通,5818840102.06,2375107217.56,464061670.77,30658595336.82,160.1227259418,1180817381.15,27937720.38,4774922893.57,117.34106922,15.5744998788,25883672443.25,2025-04-29
10,600293,三峡新材,407118613.47,1412804798.46,202430176.98,7011336458.07,-2.0982969355,317241203.62,105266646.0,3053369547.87,-9.3090873799,43.5490375641,3957966910.2,2025-04-25
11,002122,ST汇洲,103978109.86,800570303.83,956818401.23,7787609483.5,-9.4703968686,426071400.43,193668845.29,4384975499.82,-3.78149969,56.3070799725,3402633983.68,2025-04-25
12,600227,赤天化,341620210.54,846104120.93,247092772.38,6668953203.82,-3.5501209668,281801189.95,179172600.03,1808626986.97,-20.6317918205,27.120103136,4860326216.85,2025-04-24
13,603869,ST智知,920824572.52,1444717866.24,1128997378.11,6929876503.75,12.5575813944,400781451.85,272178510.69,2927991238.14,23.5291419432,42.251708765,4001885265.61,2025-04-04
14,300437,清水源,289386379.25,872988741.53,562614005.15,3834449062.29,25.547570648,483936542.09,50222436.03,2233528499.88,32.4548331019,58.2490069263,1600920562.41,2025-02-28
15,002528,ST英飞拓,648886057.3,1344231022.03,506019461.06,5455051535.86,23.5672974219,558585093.23,110409984.28,1785607698.75,20.5119598904,32.7331041148,3669443837.11,2024-12-31
16,002808,*ST恒久,160416538.74,115708365.92,106658120.35,687339463.82,10.3453853485,49709548.09,4656208.4,120714522.11,47.3186975727,17.5625769309,566624941.71,2024-09-03
17,300376,易事特,1191027091.14,2657309016.95,351403590.89,11954016138.37,11.1970003445,898095599.13,240145583.62,6972998258.95,9.7345822088,58.331845785,4981017879.42,2024-08-30
18,002569,*ST步森,154590373.27,58867898.34,156582049.55,659072236.64,-7.4949310234,37416839.66,39410511.63,355582293.09,60.8210390251,53.9519453744,303489943.55,2024-08-30
