报告期,序号,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比
20141231,991,顾家家居,164466834.93,179008522.8,524797293.92,2066058755.25,29.1156016984,207862217.72,177986487.43,1061696138.08,45.3370098508,51.3875094492,1004362617.17,2016-09-19,424370483.21,5.13834690874,3239713903.21,20.8060450004,1919570716.56,649532842.29,101199994.14,13781796.94,2720389546.63,525635050.89,563087142.05,-45002093.07,62.8621943645,228504789.11,507.7648027494,-285482237.3,-634.3754652832,11707775.56,26.0160689455
20150930,333,顾家家居,,,,,,,,,,,,2016-10-29,344461103.04,,2567255511.96,,1493522156.47,534655781.89,88050158.35,10502706.72,2159564710.07,419934935.65,444619157.06,7750164.76,,542884734.25,7004.8153950472,-185502222.64,-2393.5261815002,-351699663.68,-4537.9637023355
20151231,3440,顾家家居,262744361.02,218724890.39,446236597.61,2371996371.85,14.8077887825,283003569.68,258178713.71,1334966032.98,25.7389930224,56.2802729727,1037030338.87,2017-03-21,498311897.0,17.423788108611,3684846009.81,13.7398585153,2169295030.07,769791083.77,125713612.56,15368016.57,3124054564.53,548419693.15,638358004.72,100635352.51,323.6237153536,762093685.73,757.2822737957,-250277498.51,-248.6973933789,-422294374.96,-419.6282563009
20160331,697,顾家家居,,,,,,,,,,,,2017-04-28,140092237.99,,898660747.55,,524083090.38,194979214.8,36858761.32,5612403.2,769775441.8,147730212.26,180133292.49,13401853.21,,79326044.39,591.9035460768,-77604481.23,-579.0578363602,12306877.76,91.8296713683
20160630,368,顾家家居,331717658.87,261465136.1,505201139.87,2653165653.23,,323964944.16,262708588.03,1474937767.03,,55.5916199667,1178227886.2,2016-09-19,272059726.99,,2011947661.34,,1165252046.97,404733168.4,73502227.84,10886832.94,1681789901.14,325065387.03,355945305.21,49013080.35,,266566678.35,543.868445824,-138332152.29,-282.23517335,-84114796.88,-171.6170383076
20160930,396,顾家家居,493642402.56,271955503.74,578608017.35,2924717510.62,,341451064.21,399982343.21,1585574807.03,,54.2129214624,1339142703.59,2016-10-29,419631472.11,21.822600115541,3248274935.25,26.5271384215,1890763663.84,697938639.4,117394234.44,16909599.84,2758750745.53,453979153.38,545926129.93,201458158.13,2499.4048432333,477330112.8,236.937594005,-114929089.54,-57.0486152593,-166890633.61,-82.8413379528
20161231,1569,顾家家居,1248557884.16,340975820.13,683492121.76,5219640842.65,120.0526486716,440574798.66,654583645.48,1770699683.22,32.640055213,33.9237839652,3448941159.43,2018-04-26,575051539.07,15.399921722118,4794534971.74,30.1149344905,2855808130.59,1057734109.73,172146727.4,3122849.56,4146432238.19,601447711.6,737790949.56,927591198.74,821.7349327095,974597075.39,105.0675207693,-1601449316.83,-172.6460232703,1533205357.49,165.2889073951
20170331,757,顾家家居,841109146.49,354149393.86,751991274.13,5276778187.85,,480863703.67,566934931.84,1636037856.34,,31.0044841397,3640740331.51,2017-04-28,187848743.4,34.089330069385,1380053186.45,53.5677607164,857265336.87,290287937.17,48819842.66,439799.41,1212081860.65,180636835.26,234592940.04,-344288853.79,-2668.9645185272,97479273.34,28.3132236978,-403238195.02,-117.1220591608,-39000542.41,-11.3278550789
20170630,2281,顾家家居,688756277.71,448472377.24,719983947.4,5114990751.23,92.7882167856,443096578.7,550953952.84,1552317736.64,5.2463209865,30.3483977223,3562673014.59,2017-08-23,387987113.06,42.61100580839,3111051607.21,54.6288537714,1921116552.44,638928885.99,93479624.5,17720710.75,2712498274.92,427056982.62,489715255.61,-497952683.49,-1115.9587602618,242317993.76,48.6628552861,-351365427.87,-70.5620111147,-372378076.27,-74.7818193609
20170930,153,顾家家居,855773614.76,399944616.57,702117889.19,5564753583.28,90.2663612152,432368885.27,679227848.03,1760465113.2,11.0300886085,31.6359940625,3804288470.08,2017-10-31,620008050.55,47.750607796994,4847982198.75,49.2479022062,3067050297.34,984477145.81,93605521.96,38367348.19,4294878881.68,599944940.19,760830302.48,-340387087.8,-268.9616796657,732182131.49,215.1027925948,-692626052.99,-203.4818821908,-350686353.37,-103.025750958
