报告期,序号,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比
20140331,1309,横店东磁,435538632.63,570554273.77,427713637.69,4441207022.48,5.3588476094,419431140.53,16003178.69,1467046653.56,-0.9330509702,33.0326113179,2974160368.92,2014-04-26,58293731.22,29.180424839245,777671630.6,22.338202002,601568794.91,31719139.39,75450089.81,4624616.14,720667265.86,63399754.03,68470494.0,271543330.54,741.1065600827,160269119.16,59.0215634614,123081183.01,45.326535093,-16917412.7,-6.2300969302
20140630,1056,横店东磁,803337701.75,670030549.71,483941046.92,4658186184.22,8.7481983927,486189660.58,11767462.78,1571618308.52,6.0717797696,33.7388469753,3086567875.7,2014-08-26,170374979.75,49.331222658337,1743899797.41,20.3324357469,1292464108.99,70737682.34,173566291.43,13143815.76,1569174551.33,192502355.29,200937009.27,690713660.16,20962.8474134174,323334355.57,46.8116347221,349801616.61,50.6435063886,12954529.43,1.8755281931
20140930,2125,横店东磁,561472983.97,626840108.16,486583613.52,4809434628.23,9.6704614009,516175090.93,12941736.68,1630936742.32,8.0615834228,33.9111947327,3178497885.91,2014-10-24,261992450.76,38.577210173787,2678164795.96,17.0273021546,2009674780.63,105529419.34,260809333.82,14434930.72,2415768298.95,288741861.92,308965801.7,426188462.38,3643.9924156177,451392589.31,105.9138454357,-965176.57,-0.2264670809,-31681032.61,-7.4335735025
20141231,3074,横店东磁,626344088.86,592202313.85,492418428.99,4782851886.82,8.9055178275,476528311.64,17205523.55,1484828642.24,4.1073109298,31.0448384641,3298023244.58,2016-03-30,381282244.93,36.488776100969,3668800086.31,12.2471077411,2757614860.25,132857105.87,360619457.46,32193318.99,3297349566.81,414875401.55,434997937.36,459154619.97,846.3986439552,692513560.48,150.8236072034,-150716825.3,-32.8248521837,-78567725.3,-17.1113872937
20150331,1556,横店东磁,1204739320.8,608289790.05,440441731.45,4721674897.36,6.3151272494,441603097.21,15277989.28,1466575920.15,-0.0320871466,31.0605018776,3255098977.21,2015-04-27,68706488.17,17.862567264227,851125768.71,9.4453925307,650225196.77,31025043.46,91770929.4,5039755.67,783246398.95,76849913.06,82398496.2,-395769827.95,-245.7483147028,159106121.34,40.2016803969,-529512545.55,-133.7930554971,-22643349.46,-5.7213430284
20150630,1042,横店东磁,978547315.09,702123526.34,475673847.52,4820642807.43,3.4875510936,440528257.11,12488544.95,1486622903.1,-5.4081455376,30.8386860941,3334019904.33,2015-08-27,148171254.72,-13.032268624525,1800482184.38,3.2445893425,1372530854.93,61968259.29,194877876.01,-2175121.62,1645913823.5,163875338.41,176140883.79,-270582442.79,-139.1743291608,278290306.3,102.8486192343,-387671021.45,-143.2727923707,-164399767.84,-60.7577365866
20150930,1575,横店东磁,684328570.06,723906607.9,425446474.49,5129503515.0,6.6550210474,500575719.05,13281680.32,1672345234.64,2.5389392026,32.6024776033,3457158280.36,2015-10-28,265723091.75,1.423949804347,2882584677.61,7.6328343184,2198639584.94,97955263.81,301853479.24,-19625293.18,2598530725.52,298239900.0,316700391.07,-407365376.18,-195.5833890728,544111694.07,133.5684684772,-811969141.37,-199.3220800904,-163576687.84,-40.1547842318
20151231,3665,横店东磁,404396102.1,649138729.56,456196218.11,5139545930.29,7.4577689611,512076030.84,54560227.14,1597932715.3,7.6173148768,31.0909317082,3541613214.99,2017-03-15,323173774.04,-15.240277160209,3958288174.47,7.8905386325,3017553962.76,136276128.5,440339966.28,-4760611.98,3658074224.86,338267925.04,375676333.12,-435989250.76,-194.9547781504,805035837.52,184.6457994358,-1061992310.93,-243.582223433,-192813918.08,-44.2244660261
20160331,1311,横店东磁,742738609.62,643630785.19,468038703.82,5228059918.66,10.7246905454,452783505.39,30625671.23,1574448129.39,7.3553784538,30.1153420941,3653611789.27,2016-04-28,95476058.61,38.962216164745,1110104682.45,30.4278078823,836449232.5,39663541.14,127047282.41,3858893.27,1013057478.48,105848957.34,112481221.1,53533675.95,113.5264671962,185765181.87,347.006213516,-88429380.49,-165.1845850686,-43841527.01,-81.8952299314
20160630,1518,横店东磁,708266709.69,653706553.96,417873352.89,5354972448.96,11.0841989933,488576570.91,32410861.62,1653540244.21,11.227954363,30.8785948008,3701432204.75,2016-08-26,206828252.87,39.587299345507,2355084537.5,30.8029903284,1767526733.23,73789335.74,278127687.64,8578247.69,2142932461.95,232142835.36,243897529.95,57677987.5,121.3162343075,386032530.12,669.2891809375,-212641945.34,-368.6708821801,-116387882.16,-201.7890831576
20160930,2680,横店东磁,386930483.95,659629866.61,360577614.02,5503103492.01,7.2833555122,566560033.43,21042419.92,1680365868.25,0.4796039385,30.5348767416,3822737623.76,2016-10-22,309535914.72,16.488150382964,3547014256.6,23.0497852899,2665072812.92,109919678.76,437869209.6,10223721.0,3248355474.55,332934289.54,365137514.11,-17773694.93,95.6369156612,763586653.88,4296.1615853502,-668552377.28,-3761.4709823311,-116989610.96,-658.2177280568
20161231,4096,横店东磁,768937840.2,631354485.52,455464287.3,5828657243.27,13.4080193528,672381252.78,22183790.91,1857054875.8,16.2160870742,31.8607665246,3971602367.47,2018-03-10,441183781.48,36.515960427344,4710421226.97,19.0014728425,3537573961.67,147766007.37,578706004.16,-9335935.35,4291931393.73,462109470.33,505588038.93,178470527.52,140.9346164404,938834574.71,526.0446011764,-665136072.73,-372.6867858647,-116082600.08,-65.0430083292
20170331,2213,横店东磁,713639405.45,728785710.43,436285451.8,5329289716.98,1.9362784646,720979953.49,20450976.13,1278789556.57,-18.7785527704,23.9954970452,4050500160.41,2017-04-26,62320506.59,-34.726561299973,1232411602.61,11.0176024022,999483285.18,41404350.52,125096228.89,-3442404.76,1169069825.99,74435453.62,73707296.65,122033258.61,127.9560602638,-47150148.38,-38.6371296785,699528610.84,573.2278387121,-535000000.0,-438.4050758734
20170630,2416,横店东磁,932494650.01,766525161.5,532587738.87,5469628825.14,2.1411198148,791395230.82,28258011.84,1294005551.97,-21.7433288061,23.6580139775,4175623273.17,2017-08-23,221785083.94,7.231522223127,2738442269.17,16.2778756162,2162566804.65,85347092.23,272840511.84,-14290422.94,2515831956.69,261211463.56,258533733.17,407634711.69,606.7422588037,52031538.01,12.7642559669,928743939.28,227.83730449,-584308000.0,-143.3410804437
