报告期,序号,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期,净利润,净利润同比,营业总收入,营业总收入同比,营业总支出-营业支出,营业总支出-销售费用,营业总支出-管理费用,营业总支出-财务费用,营业总支出-营业总支出,营业利润,利润总额,净现金流-净现金流,净现金流-同比增长,经营性现金流-现金流量净额,经营性现金流-净现金流占比,投资性现金流-现金流量净额,投资性现金流-净现金流占比,融资性现金流-现金流量净额,融资性现金流-净现金流占比
20140331,969,粤高速A,833968297.59,101822320.98,,12557087619.08,-7.7677059765,179391859.91,4322001.33,7441348516.64,-11.7410106952,59.2601464796,5115739102.44,2014-04-28,94292392.18,322.491850864763,323221984.23,4.369577265,169526484.43,,38620773.53,107150285.35,327153713.12,121332395.05,121841063.62,-142500388.23,-127.6662170609,221359511.96,155.3395851825,-106829191.25,-74.9676492653,-257031280.68,-180.3723371372
20140630,2340,粤高速A,953022518.7,92524304.33,,12664784092.41,-3.6636165461,181187568.9,4964353.56,7500187156.17,-7.038920166,59.2208055143,5164596936.24,2014-08-07,178192944.02,209.298863012124,688716891.86,9.3243777667,369614599.73,,76476533.85,205409981.84,674784919.23,235623120.17,234631767.95,-23446167.12,-111.351601393,500941101.24,2136.558605405,-172731374.19,-736.7147615469,-351378336.78,-1498.6600367625
20140930,824,粤高速A,582876524.85,47500213.97,,12095478409.17,-7.418148667,149928067.9,5061837.86,6734367112.52,-15.1553771458,55.6767321201,5361111296.65,2014-10-30,301008457.71,210.555392936916,1068012591.73,8.6390103254,555031258.74,,109605183.61,304216666.75,1001280543.7,399156376.14,405046622.57,-393592160.97,-264.2595304454,779283830.65,197.9927213818,-49114645.89,-12.4785630306,-1123483680.18,-285.443611837
20141231,3230,粤高速A,561800403.72,23621958.13,,12513505946.42,-1.4255773497,150799208.6,4868022.79,6642489404.23,-13.0761167035,53.0825608161,5871016542.19,2016-03-29,318754807.85,149.460393787307,1455054983.7,9.6081563783,848547244.47,,167805309.46,401972752.87,1462489187.28,412529519.67,411989815.46,-414668282.1,-332.9814819105,967241746.79,233.2567472708,-83708180.71,-20.1867816574,-1297923881.65,-313.0029321454
20150331,999,粤高速A,585055559.95,59128695.43,,12388847009.14,-1.3398059729,126959257.81,4727944.57,6444856572.18,-13.3912817311,52.0214396661,5943990436.96,2015-04-29,89949365.89,-4.605913785398,357469802.88,10.5957578138,172908806.38,,37040337.4,95831777.19,318457896.36,128541662.77,133127449.98,23255156.23,116.3193634199,240651340.48,1034.8300312408,12124670.31,52.1375568931,-229521124.54,-986.9687490807
20150630,2735,粤高速A,579914053.08,72092863.12,,12400203367.83,-2.0891056859,141853033.21,4554050.73,6283735975.96,-16.2189443394,50.6744590356,6116467391.87,2015-08-04,338837143.73,30.114787274617,1250134143.23,5.1800668971,527672324.82,,85292103.26,257512886.37,914491445.9,533189244.72,538373240.25,158597395.16,776.4320767155,804186516.45,507.0616170201,152771749.66,96.3267710077,-797860532.8,-503.0729111251
20150930,933,粤高速A,758817861.23,83838652.93,,12110281652.65,0.1223865893,175056081.87,4149508.48,6155917126.86,-8.5895226084,50.8321548864,5954364525.79,2015-10-30,569900003.49,30.657659027942,1964338360.43,6.3050677203,840635532.67,,125170256.1,375993065.54,1410380734.86,870402566.79,894425897.6,401701177.14,202.0602585555,1331384901.95,331.4366443806,262465559.35,65.3385088933,-1191648946.01,-296.6505984608
20151231,3099,粤高速A,1199629276.85,77396705.54,800998.8,15126912516.7,-3.2424004935,173079084.6,35079806.09,8010225735.33,-9.9831331569,52.9534743226,7116686781.37,2017-03-29,696100201.88,47.256416289377,2657616508.59,6.215820462,1230637822.36,,200500502.25,478177404.36,2002076529.84,1088899703.21,1110526033.52,462166829.99,211.4545891114,1705886449.05,369.1062054555,522820436.03,113.1237471199,-1766039716.94,-382.1216933674
20160331,2101,粤高速A,1287640539.06,59694250.62,800998.8,12131854608.39,-2.074385135,129364999.39,5307842.88,5966634387.57,-7.4202145425,49.1815520394,6165220220.82,2016-04-26,189257712.78,41.398824173523,656556265.87,7.6183511336,273397575.9,,37284987.45,99919219.53,433158879.19,307793219.23,308436842.54,451802998.81,1842.8078415881,445375345.51,98.5773327497,73847867.51,16.3451477092,-67420214.21,-14.9224804589
20160630,2182,粤高速A,1677591492.62,85563075.45,800998.8,15175588214.81,22.3817687876,138652556.81,34264444.93,6935576936.38,10.3734619487,45.7021951189,8240011278.43,2016-08-23,505899144.29,49.304512108956,1333492179.77,6.6679273573,558947473.08,,79766582.6,190618235.21,862251224.53,698671642.56,761474459.11,477962215.77,201.3682635127,932882829.38,195.1792000707,-1656094323.59,-346.4906364872,1201696913.84,251.4209019439
